"rownum","Id","WitnessesRequired","AreaLevel","i32","i32","BaseItemType","i32","MinMapTier","rid","i32","WitnessAreas","rid","bool","[rid]","Achievements1","Achievements2"
0,"Void1",4,83,974,4,10365,225,0,2333,1100,"[1247,1249,1248,1246]",2297,1,[],[8796],[10253]
1,"Void2",4,83,975,4,10366,225,0,2333,1101,"[1751,1750,1748,1749]",2298,1,[],[8797],[10255]
2,"Void3",4,83,976,4,10367,225,0,2333,1102,"[457,455,454,456]",2299,1,[],[8798],[10252]
3,"Void4",4,83,977,4,10368,225,0,2333,1103,"[1076,1078,1079,1080]",2300,1,[],[8799],[10254]
4,"Void5",5,83,978,5,10369,225,0,2333,1104,"[453,1077,757,1250,1288]",2348,1,[],[8800],[10251]
5,"Void6",4,83,1162,4,10370,225,0,2333,1161,"[1752,1753,1754,1755]",2350,1,[],[8801],[10250]
6,"Atlas1",3,73,979,2,10371,225,6,2334,1019,[],2301,"",[],[],[]
7,"Atlas2",4,75,980,2,10372,979,8,2334,1019,[],2302,"",[],[],[]
8,"Atlas3",5,78,981,3,10373,980,10,2334,1019,[],2303,"",[],[],[]
9,"Atlas4",6,80,982,3,10374,981,12,2334,1019,[],2304,"",[],[],[]
10,"Atlas5",10,83,983,10,10376,982,14,2334,1019,[],2349,"",[],[],[]
