"rownum","Id","WorldAreasKey","BaseItemTypesKeys","SocketColour"
0,"ProxyKey1",1376,[5520],"R_G_B"
1,"ProxyKey2",1376,[5627],"R_G_B"
2,"ProxyKey3",1376,[5296],"R_G_B"
3,"ProxyKey4",1376,[5805],"R_G_B"
4,"ProxyKey5",1376,[5766],"R_G_B"
5,"ProxyKey6",1376,[5492],"R_G_B"
6,"ProxyKey7",1376,[5464],"R_G_B"
7,"ProxyKey8",1376,[5411],"R_G_B"
8,"ProxyKey9",1376,[5322],"R_G_B"
9,"ProxyKey28",1376,[6202],""
10,"ProxyKey29",1376,[6225],""
11,"ProxyKey30",1376,[5864],"R_G_B"
12,"ProxyKey31",1376,[1],""
13,"ProxyKey32",1376,[1],""
14,"ProxyKey33",1376,[1],""
15,"ProxyKey34",1376,[1],""
16,"ProxyKey35",1376,[1],""
17,"ProxyKey10",1376,[6425],""
18,"ProxyKey11",1376,[6432],""
19,"ProxyKey12",1376,[6433],""
20,"ProxyKey13",1376,[6436],""
21,"ProxyKey14",1376,[6440],""
22,"ProxyKey15",1376,[6444],""
23,"ProxyKey16",1376,[6450],""
24,"ProxyKey17",1376,[6452],""
25,"ProxyKey18",1376,[6488],""
26,"ProxyKey19",1376,[6490],""
27,"ProxyKey20",1376,[6493],""
28,"ProxyKey21",1376,[6516],""
29,"ProxyKey22",1376,[6546],""
30,"ProxyKey23",1376,[6564],""
31,"ProxyKey24",1376,[6567],""
32,"ProxyKey25",1376,[6604],""
33,"ProxyKey26",1376,[6659],""
34,"ProxyKey27",1376,[6680],""
35,"ProxyKey36",1376,[6700],""
36,"ProxyKey37",1376,[6706],""
37,"ProxyKey38",1376,[6710],""
