"rownum","Hideout_NPCsKey","Regular_NPCsKeys","HideoutDoodadsKey","NPCMasterKey","rid","rid","i32","rid","i32","bool","rid"
0,169,[171],1351,1,"","",112,108,54,"",""
1,326,"[341,325]",1352,2,"","",606,110,54,"",""
2,339,"[24,226,338]",1348,3,"",242,1344,11,54,1,""
3,334,"[329,332]",1353,4,"","",68,111,54,"",76
4,337,[335],1354,5,"","",592,118,54,"",87
5,394,"[392,393]",1355,13,"","",372,122,54,"",""
6,409,[407],1357,15,"","",353,106,54,"",15
7,508,[508],1358,21,"","",1092,"",54,1,""
8,517,[509],1359,22,"","",1093,"",54,1,""
9,518,[510],1360,23,"","",1094,"",54,1,""
10,519,[511],1361,24,"","",1095,"",54,1,""
11,530,"[528,529]",1362,26,"","",1155,"",41,1,""
12,532,"[189,295,310,311]",1363,0,"","",1163,73,54,1,""
