"rownum","Id","BaseItemTypesKeys1","BaseItemTypesKeys2","BaseItemTypesKeys3","BaseItemTypesKeys4","BaseItemTypesKeys5","BaseItemTypesKeys6","BaseItemTypesKeys7","BaseItemTypesKeys8","BaseItemTypesKeys9","BaseItemTypesKeys10","BaseItemTypesKeys11","BaseItemTypesKeys12","WorldAreasKey","BaseItemTypesKeys13","BaseItemTypesKeys14"
0,"Descent1","[6225,6188,6203,1,1]","[6225,6225,1,1]","[6225,6188,6203,1,1]","[6225,6225,1,1]","[6225,6188,6203,1,1]","[6225,6225,1,1]","[6225,6188,6203,1,1]","[6225,6225,1,1]","[6225,6188,6203,1,1]","[6225,6225,1,1]","[6225,6188,6203,1,1]","[6225,6225,1,1]",1324,"[6225,6188,6203,1,1]","[6225,6225,1,1]"
1,"Descent2","[6565,6701,6,5751,6736]","[6565,6701,10,11,11,5750,6736]","[6565,6701,6,5751,6736]","[6565,6701,10,11,11,5750,6736]","[6448,6564,6450,6,5751,6713]","[6448,6564,6450,10,11,11,5750,6713]","[6562,6,5751,6724,6719]","[6562,10,11,11,5750,6724,6719]","[6571,6,5751,6724,6719]","[6571,10,11,11,5750,6724,6719]","[6701,6571,6565,6,5751,6719,6736]","[6701,6571,6565,10,11,11,5750,6719,6736]",1325,"[6565,6571,6701,6,5751,6736,6719]","[6565,6571,6701,10,11,11,5750,6719,6736]"
2,"Descent3","[10,15,10,15,6189,6204,5697,5698,5699,5654,5654,5628,5465,5465,5767]","[10,15,10,15,6189,6204,5697,5698,5699,5654,5655,5656,5628,5465,5465,5767]","[10,15,10,15,6189,6204,5697,5698,5699,5654,5654,5412,5382,5603,5578]","[10,15,10,15,6189,6204,5697,5698,5699,5654,5655,5656,5412,5382,5603,5578]","[10,15,10,15,6189,6204,5697,5698,5699,5654,5654,5412,5412,5521,6243]","[10,15,10,15,6189,6204,5697,5698,5699,5654,5655,5656,5412,5412,5521,6243]","[10,15,10,15,6189,6204,5697,5698,5699,5654,5654,5323,5323,5297,5297]","[10,15,10,15,6189,6204,5697,5698,5699,5654,5655,5656,5323,5323,5297,5297]","[10,15,10,15,6189,6204,5697,5698,5699,5654,5654,5297,5297,5493,5493]","[10,15,10,15,6189,6204,5697,5698,5699,5654,5655,5656,5297,5297,5493,5493]","[10,15,10,15,6189,6204,5697,5698,5699,5654,5654,5493,5493,5550]","[10,15,10,15,6189,6204,5697,5698,5699,5654,5655,5656,5493,5493,5550]",1326,"[10,15,10,15,6189,6204,5697,5698,5699,5654,5654,5493,5493,5603,5382,5382]","[10,15,10,15,6189,6204,5697,5698,5699,5654,5655,5656,5493,5493,5603,5382,5382]"
3,"Descent4","[5696,10,14,1,1,1,6589,6453]","[6,6,6589,6453]","[5696,10,14,1,1,1,6589,6453]","[6,6,6589,6453]","[5696,10,14,1,1,1,6456,6459,6453]","[6,6,6459,6456,6453]","[5696,10,14,1,1,1,6456,6462,6459,6598,6728]","[6,6,6456,6459,6462,6598,6728]","[5696,10,14,1,1,1,6462,6456,6459,6728]","[6,6,6459,6462,6456,6728]","[5696,10,14,1,1,1,6462,6453,6589]","[6,6,6453,6462,6589]",1327,"[5696,10,14,1,1,1,6459,6462,6453]","[6,6,6453,6462,6459]"
4,"Descent5","[6427,0,0,0,0,6,2]","[6427,0,0,0,0,10,11,11,11,11,15,15]","[6427,0,0,0,0,6,2,6441]","[6427,0,0,0,0,10,11,11,11,11,15,15,6441]","[6685,6441,0,0,0,0,6,2]","[6685,6441,0,0,0,0,10,11,11,11,11,15,15]","[6510,0,0,0,0,6,2,6699,6549]","[6699,0,0,0,0,10,11,11,11,11,15,15,6510,6549]","[6510,6699,0,0,0,0,6,2,6549]","[6510,6699,0,0,0,0,10,11,11,11,11,15,15,6549]","[6699,0,0,0,0,6,2,6510,6695,6427]","[6427,6695,0,0,0,0,10,11,11,11,11,15,15,6699,6510]",1328,"[6699,0,0,0,0,6,2,6427,6510]","[6427,0,0,0,0,10,11,11,11,11,15,15,6510,6699]"
5,"Descent6","[5659,6430,6190,6205,6,6,6733]","[5659,6190,6205,6430,11,11,11,11,15,15,6733]","[5659,6430,6190,6205,6595,6,6,6733]","[5659,6595,6190,6205,6430,11,11,11,11,15,15,6733]","[5659,6518,6595,6190,6205,6535,6,6]","[5659,6595,6535,6190,6205,6518,11,11,11,11,15,15]","[5659,6600,6190,6205,6618,6626,6,6,6727,6715]","[5659,6190,6205,6618,6626,6600,11,11,11,11,15,15,6727,6715]","[5659,6536,6190,6205,6626,6529,6426,6,6,6727,6715]","[5659,6426,6190,6205,6529,6626,6536,11,11,11,11,15,15,6727,6715]","[5659,6529,6190,6205,6426,6430,6591,6,6,6733]","[5659,6190,6205,6430,6426,6529,6591,11,11,11,11,15,15,6733]",1329,"[5659,6190,6205,6529,6430,6,6,6733]","[5659,6190,6205,6529,6430,11,11,11,11,15,15,6733]"
6,"Descent7","[0,0,0,0,21,21,21,21,21,20,20,19,19,2,6,5467,5467,5768,5629]","[0,0,0,0,21,21,20,20,20,20,20,19,19,2,6,5467,5467,5768,5629]","[0,0,0,0,21,21,21,21,21,20,20,19,19,2,6,5579,5604,5414,5383]","[0,0,0,0,21,21,20,20,20,20,20,19,19,2,6,5579,5604,5414,5383]","[0,0,0,0,21,21,21,21,21,20,20,19,19,2,6,5523,5414,5414,6243]","[0,0,0,0,21,21,20,20,20,20,20,19,19,2,6,6,5523,5414,5414,6243]","[0,0,0,0,21,21,21,21,21,20,20,19,19,2,6,5298,5298,5325,5325]","[0,0,0,0,21,21,20,20,20,20,20,19,19,2,6,5298,5298,5325,5325]","[0,0,0,0,21,21,21,21,21,20,20,19,19,2,6,5298,5298,5495,5495]","[0,0,0,0,21,21,20,20,20,20,20,19,19,2,6,5298,5298,5495,5495]","[0,0,0,0,21,21,21,21,21,20,20,19,19,2,6,5495,5495,5551]","[0,0,0,0,21,21,20,20,20,20,20,19,19,2,6,5495,5495,5551]",1330,"[0,0,0,0,21,21,21,21,21,20,20,19,19,2,6,5495,5495,5383,5383,5604]","[0,0,0,0,21,21,20,20,20,20,20,19,19,2,6,5495,5495,5383,5383,5604]"
7,"Descent8","[6674,6435,6569,5658,5660,5703,5704,5702,2,6,11]","[6674,6435,6569,5658,5660,5703,5704,5702,12,12,10,10,10,11]","[6674,6435,6569,5658,5660,5703,5704,5702,2,6,11]","[6674,6435,6569,5658,5660,12,12,10,10,10,11,5703,5704,5702]","[6674,6675,6442,6569,5658,5660,5703,5704,5702,2,6,11]","[6674,6675,6442,6569,5658,5660,12,12,10,10,10,11,5703,5704,5702]","[6676,6675,6569,5658,5660,5703,5704,5702,2,6,11]","[6676,6675,6569,5658,5660,12,12,10,10,10,11,5703,5704,5702]","[6676,6675,5658,5660,5703,5704,5702,2,6,11]","[6676,6675,5658,5660,12,12,10,10,10,11,5703,5704,5702]","[6674,6676,6435,5658,5660,5703,5704,5702,2,6,11]","[6674,6676,6435,5658,5660,12,12,10,10,10,11,5703,5704,5702]",1331,"[6675,6676,6674,5658,5660,5703,5704,5702,2,6,11]","[6675,6676,6674,5658,5660,12,12,10,10,10,11,5703,5704,5702]"
8,"Descent9","[4,4,4,6,6,5752,5944,6120,5866,6049,6496,6191,6206,6454,6526,4]","[5750,0,0,0,6,6,5630,5468,5769,6454,6526,6191,6206,6496,5468,0]","[4,4,4,6,6,5752,5996,6156,5897,6086,6496,6191,6206,6454,6526,4]","[5750,0,0,0,6,6,5605,5415,6526,6454,6191,6206,6496,5580,5385,0]","[4,4,4,6,6,5752,5962,6132,5877,6062,6624,6191,6206,6454,6526,6496,4]","[5750,0,0,0,6,6,5524,6243,6526,6454,6191,6206,5415,5415,6624,6496,0]","[4,4,4,6,6,5752,6030,6172,5924,6102,6519,6191,6206,6499,6707,4]","[5750,0,0,0,6,6,5751,5326,5326,6499,6707,6191,6206,6519,5299,5299,0]","[4,4,4,6,6,5752,5979,6144,5887,6074,6499,6191,6206,6519,4]","[5750,0,0,0,6,6,5751,6519,6191,6206,6499,5299,5299,5496,5496,0]","[4,4,4,6,6,5752,6013,6164,5910,6094,6499,6496,6191,6206,6454,6519,6526,4]","[5750,0,0,0,6,6,5751,5496,5496,6519,6526,6191,6206,6454,6496,6499,5552,0]",1332,"[4,4,4,6,6,5752,5996,6156,5897,6086,6499,6496,6191,6206,6519,6454,6526,4]","[5750,0,0,0,6,6,5605,6519,6454,6191,6206,6499,6526,6496,5496,5496,5385,5385,0]"
9,"Descent10","[21,21,20,20,19,19,21,21,20,20,19,19]","[21,21,20,20,19,19,10,11,11,14]","[21,21,20,20,19,19,21,21,20,20,19,19]","[21,21,20,20,19,19,10,11,11,14]","[21,21,20,20,19,19,21,21,20,20,19,19]","[21,21,20,20,19,19,10,11,11,14]","[21,21,20,20,19,19,21,21,20,20,19,19]","[21,21,20,20,19,19,10,11,11,14]","[21,21,20,20,19,19,21,21,20,20,19,19]","[21,21,20,20,19,19,10,11,11,14]","[21,21,20,20,19,19,21,21,20,20,19,19]","[21,21,20,20,19,19,10,11,11,14]",1333,"[21,21,20,20,19,19,21,21,20,20,19,19]","[21,21,20,20,19,19,10,11,11,14]"
