"rownum","BaseItemType","Scaling","Name"
0,10274,0.85,"Bazira"
1,10275,0.85,"Tsvet Matvei"
2,10276,0.85,"Bazira"
3,10277,0.85,"Count Geonor"
4,10278,0.85,"The Crimson Scribe"
5,10279,0.85,"The Midnight Tinkerer"
6,10280,0.85,"Aline Koltz"
7,10281,0.85,"Tsvet Matvei"
8,10282,0.85,"Administrator Qotra"
9,10283,0.85,"Count Geonor"
10,10284,0.85,"Nishem"
11,10285,0.85,"Aline Koltz"
12,10286,0.85,"Count Geonor"
13,10287,0.85,"Marcine Clavus"
14,10288,0.85,"Marcine Clavus"
15,10289,0.85,"Marcine Clavus"
16,10290,0.85,"Marcine Clavus"
17,10291,0.85,"Marcine Clavus"
18,10292,1.2,"Selwyn Eddard"
19,10293,1.2,"Kondor Larcius"
20,10294,1.2,"Grond Ironeye"
21,10295,1.2,"Bazira"
22,10296,1.2,"Bazira"
23,10297,1.2,"Kondor Larcius"
24,10298,1.2,"The Crimson Scribe"
25,10299,1.2,"Administrator Qotra"
26,10300,1.2,"Administrator Qotra"
27,10301,1.2,"The Crimson Scribe"
28,10302,1.2,"Remus Hestor"
29,10303,1.2,"Nishem"
30,10304,1.2,"The Crimson Scribe"
31,10305,1.2,"Anton Laffrey"
32,10306,1.5,"Tsvet Matvei"
33,10307,1.5,"Kondor Larcius"
34,10308,1.5,"The Midnight Tinkerer"
35,10309,1.5,"Bazira"
36,10310,1.5,"Kondor Larcius"
37,10311,1.5,"The Crimson Scribe"
38,10312,3,"Administrator Qotra"
39,10313,3,"Cardinal Uthelius"
40,10314,3,"Castor Pollinius III"
41,10315,0.3,""
42,10316,0.3,""
43,10317,0.3,""
44,10318,0.3,""
45,10319,0.3,""
46,10320,0.3,""
47,10321,0,"Karst"
48,10322,0,"Karst"
49,10323,0,"Karst"
50,10324,0,"Tibbs"
51,10325,0,"Tibbs"
52,10326,0,"Huck"
53,10327,0,"Huck"
54,10328,0,"Vinderi"
55,10329,0,"Vinderi"
56,10330,0,"Gianna"
57,10331,0,"Gianna"
58,10332,0,"Tullina"
59,10333,0,"Tullina"
60,10334,0,"Niles"
61,10335,0,"Niles"
62,10336,0,"Nenet"
63,10337,0,"Nenet"
64,10338,0,"Isla"
65,10339,0,"Isla"
66,10340,0,"Isla"
67,10341,0,"Adiyah"
68,10342,0,"Adiyah"
69,10343,0,"Adiyah"
70,10344,0,"Whakano"
71,10345,0,"Whakano"
72,10346,0,"Whakano"
73,10347,0,"Faustus"
74,10349,0,"Faustus"
75,10350,0,"Faustus"
76,10351,0,"Kurai"
77,10352,0,"Kurai"
78,10353,0,"Kurai"
79,10354,0,"Kurai"
