"rownum","Item","TriggeredQuestFlag","rid","i32","[rid]","bool","bool","rid","rid","Script","rid","rid","i32"
0,10356,2284,"",225,[],"","","","","","","",1344
1,10357,1870,"",351,[],"","","","","","","",1344
2,10358,1869,"",352,[],"","","","","","","",1344
3,10371,2301,"",979,[],"",1,888,"","","","",1344
4,10372,2302,"",980,[],"",1,888,"","","","",1344
5,10373,2303,"",981,[],"",1,888,"","","","",1344
6,10374,2304,"",982,[],"",1,888,"","","","",1344
7,6414,2583,"",1156,[],"","",903,"","","","",1344
8,6415,2584,"",1157,[],"","",904,"","","","",1344
9,6416,2594,"",1160,[],"","",905,"","","","",1344
10,10915,953,"",207,[],"",1,890,"","","","",1344
11,10917,954,"",212,[],"",1,6146,"","","","",1344
12,10919,955,"",323,[],"",1,891,"","","","",1344
13,10921,956,"",328,[],"",1,6147,"","","","",1344
14,6318,2007,"",662,[],"","",886,900,"skill_book","","",1344
15,6319,2008,"",663,[],"","",886,900,"skill_book","","",1344
16,6320,2009,"",664,[],"","",886,900,"skill_book","","",1344
17,6321,2010,"",665,[],"","",886,900,"skill_book","","",1344
18,6322,2012,"",675,[],"","",886,900,"skill_book","","",1344
19,6323,2013,"",676,[],"","",886,900,"skill_book","","",1344
20,6417,1518,1516,1344,[],"","",906,"","sentinel_controller","","",1344
21,11053,2160,"",416,[],"","",908,"","","","",1344
