"rownum","Id","Name","Description","Icon","NextUpgradeOptions","i32","Tier","Radius","i32","SpendResourceAchievement","StatsKey","StatsKeys","StatsKeys2","bool"
0,"EmptyNode","Tower Foundation","A powered base for one of Cassia's towers.","Art/2DArt/UIImages/InGame/Placeholder/temp_league_prototype_placeholder","[1,6,11,16,21,26]",1487001455,"",0,-1,"","",[],[],""
1,"ChillingTower1","Chilling Tower Mk I","Damage: Low\r\nChills and Damages nearby enemies\r\n\r\nIneffective against Blighted Monsters of the same type","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconCold",[2],-1090896293,"I",35,3,"",10417,"[10416,10418,10419,10420,12165,17530]","[24,3557,199,10420,12170,17529]",""
2,"ChillingTower2","Chilling Tower Mk II","Increased Damage\r\nIncreased effect of Chill\r\nAffects more Targets","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconCold",[3],1371628040,"II",35,3,"",10417,"[10416,10418,10419,10420,12165,17530]","[24,3557,199,10420,12170,17529]",""
3,"ChillingTower3","Chilling Tower Mk III","Increased Damage\r\nIncreased effect of Chill\r\nAffects more targets","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconCold","[4,5]",-48389433,"III",35,3,"",10417,"[10416,10418,10419,10420,12165,17530]","[24,3557,199,10420,12170,17529]",""
4,"FreezingTower","Freezebolt Tower","Damage: Very High\r\nShoots a Piercing projectile which Freezes enemies\r\n\r\nIneffective against Blighted Monsters of the same type","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconFreezing",[],-632665268,"IV",75,4,"",10422,"[10421,10423,10424,12154,12165,17530]","[24,10423,173,8661,12170,17529]",""
5,"IcePrisonTower","Glacial Cage Tower","Deals no Damage\r\nImprisons Enemies\r\n\r\nIneffective against Blighted Monsters of the same type","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconIcePrison",[],1141601187,"IV",60,5,"",10426,"[10425,10427,10428,12155,12165,17530]","[215,10427,3335,433,12170,17529]",""
6,"ShockingTower1","Shock Nova Tower Mk I","Damage: Low\r\nCreates Shocked Ground\r\nCasts Shock Nova\r\n\r\nIneffective against Blighted Monsters of the same type","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconLightning",[7],1459477666,"I",20,6,"",10407,"[10408,10429,10430,10431,10432,12165,17530]","[24,10429,3558,10500,2271,12170,17529]",1
7,"ShockingTower2","Shock Nova Tower Mk II","Increased Damage\r\nIncreased chance to Shock\r\nIncreased Area of Effect","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconLightning",[8],1368253867,"II",25,6,"",10407,"[10408,10429,10430,10431,10432,12165,17530]","[24,10429,3558,10500,2271,12170,17529]",1
8,"ShockingTower3","Shock Nova Tower Mk III","Increased Damage\r\nIncreased chance to Shock\r\nIncreased Area of Effect","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconLightning","[9,10]",94056515,"III",30,6,"",10407,"[10408,10429,10430,10431,10432,12165,17530]","[24,10429,3558,10500,2271,12170,17529]",1
9,"LightningStormTower","Lightning Storm Tower","Damage: High\r\nLightning rapidly strikes around the Tower\r\n\r\nIneffective against Blighted Monsters of the same type","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconLightningStorm",[],1277124932,"IV",45,7,"",10434,"[10433,10493,10436,12156,12165,17530]","[24,10435,212,12156,12170,17529]",1
10,"ArcingTower","Arc Tower","Damage: Medium\r\nCasts Arc\r\n\r\nIneffective against Blighted Monsters of the same type","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconArcing",[],-1027797953,"IV",45,8,"",10438,"[10437,10439,10440,12157,12165,17530]","[24,2271,172,8662,12170,17529]",""
11,"BuffTower1","Empowering Tower Mk I","Improves the effectiveness of other Towers\r\nDoes not Damage Enemies","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconBuff",[12],-1750551302,"I",35,15,"",10442,"[10441,10443,10444,10445,12165,17530]","[4524,216,10444,10445,12170,17529]",1
12,"BuffTower2","Empowering Tower Mk II","Improves the effectiveness of other Towers\r\nDoes not Damage Enemies","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconBuff",[13],-2021019078,"II",45,15,"",10442,"[10441,10443,10444,10445,12165,17530]","[4524,216,10444,10445,12170,17529]",1
13,"BuffTower3","Empowering Tower Mk III","Improves the effectiveness of other Towers\r\nDoes not Damage Enemies","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconBuff","[14,15]",1692746775,"III",55,15,"",10442,"[10441,10443,10444,10445,12165,17530]","[4524,216,10444,10445,12170,17529]",1
14,"BuffPlayersTower","Imbuing Tower","Improves the effectiveness of Players in range.\r\nDoes not Damage Enemies","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconBuffPlayer",[],-720723365,"IV",55,16,"",10447,"[10446,10448,10449,12158,12165,17528]","[4524,10448,10449,12158,12170,17529]",1
15,"WeakenEnemiesTower","Smothering Tower","Weakens Enemies in range\r\nDoes not Damage Enemies","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconWeakining",[],1166693452,"IV",55,17,"",10451,"[10450,10452,10453,12159,12165,17530]","[4524,10452,10453,12159,12170,17529]",1
16,"StunningTower1","Seismic Tower Mk I","Damage: Low\r\nRepeats 3 times\r\nAlways Stuns\r\nDamages and Stuns nearby Enemies\r\n\r\nIneffective against Blighted Monsters of the same type","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconPhysical",[17],-239063143,"I",45,9,"",10455,"[10454,10456,10457,10458,12165,17530]","[24,340,7737,10499,12170,17529]",""
17,"StunningTower2","Seismic Tower Mk II","Repeats 5 times","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconPhysical",[18],242248516,"II",45,9,"",10455,"[10454,10456,10457,10458,12165,17530]","[24,340,7737,10499,12170,17529]",""
18,"StunningTower3","Seismic Tower Mk III","Repeats 7 times","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconPhysical","[19,20]",-854560930,"III",45,9,"",10455,"[10454,10456,10457,10458,12165,17530]","[24,340,7737,10499,12170,17529]",""
