"rownum","QualityModifier","Description","BaseItemTypesKey","rid"
0,20936,"Quality (Elemental Damage Modifiers)",286,0
1,20937,"Quality (Caster Modifiers)",287,1
2,20938,"Quality (Attack Modifiers)",288,2
3,20939,"Quality (Defence Modifiers)",289,3
4,20940,"Quality (Life and Mana Modifiers)",290,4
5,20941,"Quality (Resistance Modifiers)",291,5
6,20942,"Quality (Attribute Modifiers)",292,6
7,20943,"Quality (Physical and Chaos Damage Modifiers)",293,7
8,20944,"Quality (Speed Modifiers)",294,8
9,20945,"Quality (Critical Modifiers)",295,9
