"rownum","Level","Life"
0,1,0
1,2,0
2,3,0
3,4,0
4,5,0
5,6,0
6,7,0
7,8,0
8,9,0
9,10,0
10,11,0
11,12,0
12,13,0
13,14,0
14,15,0
15,16,0
16,17,0
17,18,0
18,19,0
19,20,0
20,21,0
21,22,0
22,23,0
23,24,0
24,25,0
25,26,0
26,27,0
27,28,0
28,29,0
29,30,0
30,31,0
31,32,0
32,33,0
33,34,0
34,35,0
35,36,0
36,37,0
37,38,0
38,39,0
39,40,0
40,41,0
41,42,0
42,43,0
43,44,0
44,45,0
45,46,0
46,47,0
47,48,0
48,49,0
49,50,0
50,51,0
51,52,0
52,53,0
53,54,0
54,55,0
55,56,20
56,57,40
57,58,60
58,59,80
59,60,100
60,61,120
61,62,140
62,63,160
63,64,180
64,65,200
65,66,220
66,67,240
67,68,280
68,69,320
69,70,360
70,71,400
71,72,440
72,73,480
73,74,520
74,75,560
75,76,600
76,77,640
77,78,680
78,79,720
79,80,760
80,81,800
81,82,840
82,83,880
83,84,920
84,85,920
85,86,920
86,87,920
87,88,920
88,89,920
89,90,920
90,91,920
91,92,920
92,93,920
93,94,920
94,95,920
95,96,920
96,97,920
97,98,920
98,99,920
99,100,920
