"rownum","Id","Description","CharactersKey","Level","PassiveSkillsKeys","CharacterStartStateSetKey","rid","CharacterStartQuestStateKeys","bool","InfoText","rid"
0,"StrDefault","",0,1,[],0,"",[],"","",""
1,"IntDefault","",1,1,[],0,"",[],"","",""
2,"StrDexIntDefault","",2,1,[],0,"",[],"","",""
3,"DexDefault","",3,1,[],0,"",[],"","",""
4,"StrDexDefault","",4,1,[],0,"",[],"","",""
5,"DexIntDefault","",5,1,[],0,"",[],"","",""
6,"StrIntDefault","",6,1,[],0,"",[],"","",""
7,"StrAct2Race","Marauder",0,12,[],2,21,[0],"","",""
8,"DexAct2Race","Ranger",3,12,[],2,21,[0],"","",""
9,"IntAct2Race","Witch",1,12,[],2,21,[0],"","",""
10,"DexIntAct2Race","Shadow",5,12,[],2,21,[0],"","",""
11,"StrDexAct2Race","Duelist",4,12,[],2,21,[0],"","",""
12,"StrIntAct2Race","Templar",6,12,[],2,21,[0],"","",""
13,"StrDexIntAct2Race","Scion",2,12,[],2,21,[0],"","",""
14,"StrAct3Race","Marauder",0,22,[],3,41,"[0,1]","","",""
15,"DexAct3Race","Ranger",3,22,[],3,41,"[0,1]","","",""
16,"IntAct3Race","Witch",1,22,[],3,41,"[0,1]","","",""
17,"DexIntAct3Race","Shadow",5,22,[],3,41,"[0,1]","","",""
18,"StrDexAct3Race","Duelist",4,22,[],3,41,"[0,1]","","",""
19,"StrIntAct3Race","Templar",6,22,[],3,41,"[0,1]","","",""
20,"StrDexIntAct3Race","Scion",2,22,[],3,41,"[0,1]","","",""
21,"StrAct4Race","Marauder",0,32,[],4,"","[0,1,5]","","",""
22,"DexRangedAct4Race","Ranger (Bow)",3,32,[],4,"","[0,1,5]","","",""
23,"DexMeleeAct4Race","Ranger (Melee)",3,32,[],4,"","[0,1,5]","","",""
24,"IntAct4Race","Witch",1,32,[],4,"","[0,1,5]","","",""
25,"DexIntAct4Race","Shadow",5,32,[],4,"","[0,1,5]","","",""
26,"StrDexAct4Race","Duelist",4,32,[],4,"","[0,1,5]","","",""
27,"StrIntCasterAct4Race","Templar",6,32,[],4,"","[0,1,5]","","",""
28,"StrIntMeleeAct4Race","Templar (Melee)",6,32,[],6,"","[0,1,5]","","",""
29,"StrDexIntAct4Race","Scion",2,32,[],4,"","[0,1,5]","","",""
30,"StrBLAMTRace","Marauder",0,1,[],7,5,[],"","",""
31,"DexBLAMTRace","Ranger",3,1,[],7,5,[],"","",""
32,"IntBLAMTRace","Witch",1,1,[],7,5,[],"","",""
33,"DexIntBLAMTRace","Shadow",5,1,[],7,5,[],"","",""
34,"StrDexBLAMTRace","Duelist",4,1,[],7,5,[],"","",""
35,"StrIntBLAMTRace","Templar",6,1,[],7,5,[],"","",""
36,"StrDexIntBLAMTRace","Scion",2,1,[],7,5,[],"","",""
37,"StrIntConsoleDemo","Command (40)",6,40,"[1798,839,1824,1797,731,766,544,31,1837,79,767,699,83,26,27,525,1820,650,471,1810,557,1811,1255,438,1179,25,712,724,1818,398,722,748,32,1812,754,424,1821,435,649,1163,1180,768,454,837,443,1177,552]",8,74,[9],"","Claim the powers of your enemies and lead an army to victory.",""
38,"StrInt2ConsoleDemo","Stormcaller (40)",6,40,[],8,73,[9],"","Strike down your enemies with a wide range of lightning skills.",""
39,"StrInt2ConsoleDemoKitava","Stormcaller (45)",6,45,[],8,80,[14],"","Strike down your enemies with a wide range of lightning skills.",""
40,"DexIntConsoleDemo","Blademaster (40)",5,40,[],8,73,[9],"","Cut your foes to ribbons with physical spells and attacks.",""
41,"DexInt2ConsoleDemo","Chaos Weaver (40)",5,40,[],8,73,[9],"","Call forth the powers of the void with a wide range of chaos skills.",""
42,"DexInt2ConsoleDemoKitava","Chaos Weaver (45)",5,45,[],8,80,[14],"","Call forth the powers of the void with a wide range of chaos skills.",""
43,"StrConsoleDemo","Sunderer (40)",0,40,"[84,82,34,81,92,91,329,472,328,50,1169,330,351,2,1173,470,1178,1180,1179,454,650,25,26,32,441,436,1182,1183,1181,430,445,735,73,773,755,468,433,465,631,629,1243,756,673,769,1155,356,355]",8,73,[9],"","Make your foes tremble before your might with a wide range of physical attacks.",""
44,"StrConsoleDemoAct8","Earth Churner (60)",0,60,[],8,124,[13],"","Break the earth beneath the feet of your foes with a range of physical attacks.",""
45,"IntConsoleDemo","Winter Witch (40)",1,40,[],8,73,[9],"","Shatter your adversaries with a range of cold skills.",""
46,"IntConsoleDemoBrineKing","Winter Witch (51)",1,51,"[542,192,1028,389,585,1002,535,556,596,219,181,994,182,545,216,390,541,218,840,578,730,1092,996,569,550,595,434,1708,772,732,180,777,337,1050,998,481,540,410,771,653,183,570,527,1027,176,1709,1710,572,191,175,999,1000,1089,997,991,397,780,992,1049,1091,1026,652,1090]",8,101,[15],"","Shatter your adversaries with a range of cold skills.",""
47,"IntConsoleDemoAct8","Cryomancer (60)",1,60,[],8,124,[13],"","Lock your enemies in place with a range of cold skills.",""
48,"Int2ConsoleDemo","Necromancer (40)",1,40,[],8,73,[9],"","Master death with a range of necromancy skills.",""
49,"StrDexConsoleDemo","Combatant (40)",4,40,"[645,673,1153,484,597,1141,646,480,485,711,1129,343,613,857,55,1284,729,858,342,341,647,643,56,728,1300,756,488,500,769,1130,467,695,1144,1293,1302,804,1140,1147,478,856,381,1146,54,1287,1281,1243,734,1145]",8,73,[9],"","Go toe-to-toe with your enemies using a range of attacks.",""
