"rownum","Id","i32","f32","rid","rid","rid"
0,"Fire",4,24,3592,163,""
1,"Ice",4,0,6193,165,""
2,"CausticCloud",8,5,4585,468,""
3,"Tar",4,0,4934,166,""
4,"Smoke",8,0,12356,1484,""
5,"Desecration",4,24,2183,204,""
6,"Consecration",10,0,8666,205,1243
7,"Lightning",6,0,10259,229,""
8,"Maelstorm",4,4,4827,696,""
9,"Haste",4,0,"",782,""
10,"Sandstorm",0,24,"",871,""
11,"Blizzard",4,0,"",801,""
12,"Spores",4,24,7284,450,""
13,"DevouringDarkness",4,24,"",840,""
14,"Quicksand",0,24,7924,919,""
15,"Blood",0,24,14646,1117,""
16,"TemporalAnomaly",10,0,10059,1005,1395
17,"OrionMeteor",0,0,"",1421,229
18,"CrownOfThorns",4,24,"",1559,""
19,"VaalCloud",4,24,"",302,""
20,"Profane",10,0,"",1531,""
21,"ChaosOfferingOfJudgement",6,24,"",494,517
22,"FireOfferingOfJudgement",6,24,"",493,517
23,"DespairBearGeyser",0,24,"",864,""
24,"Fungal",0,0,"",1385,1387
25,"BestiarySpiderWeb",0,24,"",1035,""
26,"VaalColdSnap",4,24,7867,1111,""
27,"Oil",4,24,15882,1613,163
28,"Scorch",4,0,"",1702,""
29,"GravityWell",0,24,"",1741,""
30,"LightningVortex",4,4,13915,1767,229
31,"Brittle",4,0,"",2003,""
32,"Sapping",4,0,"",2004,""
33,"Sludge",4,0,"",2012,""
34,"Sanctum",4,0,17493,2095,""
35,"SanctumFire",4,0,3592,164,""
36,"SanctumChaos",8,5,4585,469,""
37,"PhysFireLifeRecover",4,24,19628,167,""
