"rownum","ScarabType","Tier","BaseItemTypesKey"
0,0,1,9557
1,0,2,9558
2,0,3,9559
3,0,4,9560
4,1,1,9545
5,1,2,9546
6,1,3,9547
7,1,4,9548
8,2,1,9549
9,2,2,9550
10,2,3,9551
11,2,4,9552
12,3,1,9553
13,3,2,9554
14,3,3,9555
15,3,4,9556
16,4,1,9565
17,4,2,9566
18,4,3,9567
19,4,4,9568
20,5,1,9569
21,5,2,9570
22,5,3,9571
23,5,4,9572
24,6,1,9577
25,6,2,9578
26,6,3,9579
27,6,4,9580
28,7,1,9581
29,7,2,9582
30,7,3,9583
31,7,4,9584
32,8,1,9585
33,8,2,9586
34,8,3,9587
35,8,4,9588
36,9,1,9589
37,9,2,9590
38,9,3,9591
39,9,4,9592
40,10,1,9593
41,10,2,9594
42,10,3,9595
43,10,4,9596
44,11,1,9597
45,11,2,9598
46,11,3,9599
47,11,4,9600
48,12,1,9601
49,12,2,9602
50,12,3,9603
51,12,4,9604
52,13,1,9573
53,13,2,9574
54,13,3,9575
55,13,4,9576
56,14,1,9605
57,14,2,9606
58,14,3,9607
59,14,4,9608
60,15,1,9609
61,15,2,9610
62,15,3,9611
63,15,4,9612
