version,fixed_size,row_count,row_width,var_offset,var_size
3.11.2b,175840,4396,40,175844,894066
3.12.0,191880,4797,40,191884,975552
3.12.1,191920,4798,40,191924,975600
3.12.2,192920,4823,40,192924,981348
3.12.2b,192960,4824,40,192964,981502
3.12.3,193080,4827,40,193084,982240
3.12.4,194680,4867,40,194684,990478
3.13.0,205920,5148,40,205924,1052780
3.13.1,206440,5161,40,206444,1055632
3.13.1e,206520,5163,40,206524,1056076
3.13.2b,206560,5164,40,206564,1056216
3.14.0,218560,5464,40,218564,1122850
3.14.1,218920,5473,40,218924,1124904
3.14.1c,219800,5495,40,219804,1129832
3.14.2,220040,5501,40,220044,1130886
3.14.3b,220080,5502,40,220084,1131048
3.15.0,230040,5751,40,230044,1182664
3.15.0d,230160,5754,40,230164,1183310
3.15.1,230360,5759,40,230364,1184800
3.15.2,230840,5771,40,230844,1187438
3.15.3,231000,5775,40,231004,1188344
3.16.0,244200,6105,40,244204,1264374
3.16.0b,244240,6106,40,244244,1264554
3.16.2,244680,6117,40,244684,1266986
3.17.0,254280,6357,40,254284,1321820
3.17.1,254480,6362,40,254484,1323046
3.17.2,254800,6370,40,254804,1325116
3.17.3,255360,6384,40,255364,1328148
3.17.4,255360,6384,40,255364,1328164
3.17.4b,256080,6402,40,256084,1331624
3.18.0,259920,6498,40,259924,1352906
3.18.0c,259920,6498,40,259924,1352914
3.18.0d,260080,6502,40,260084,1353746
3.18.0e,260080,6502,40,260084,1353920
3.18.1,260400,6510,40,260404,1355036
3.18.1e,260840,6521,40,260844,1357440
3.19.0,264680,6617,40,264684,1375444
3.19.1,265920,6648,40,265924,1382262
3.19.2,266040,6651,40,266044,1383008
3.19.2b,267000,6675,40,267004,1388482
3.20.0,300300,6825,44,300304,1420276
3.20.1,300652,6833,44,300656,1422432
3.20.2b,300784,6836,44,300788,1423066
3.20.2c,301488,6852,44,301492,1426048
3.21.0,308792,7018,44,308796,1461434
