version,fixed_size,row_count,row_width,var_offset,var_size
3.11.2b,30440,761,40,30444,143368
3.12.0,17600,440,40,17604,76186
3.12.3,17680,442,40,17684,76534
3.12.4,17760,444,40,17764,76906
3.12.5c,18000,450,40,18004,77958
3.12.5d,18040,451,40,18044,78158
3.13.0,19080,477,40,19084,82386
3.13.1,19200,480,40,19204,82958
3.13.2b,19240,481,40,19244,83130
3.14.0,20480,512,40,20484,89358
3.14.2,20840,521,40,20844,90670
3.14.3b,20880,522,40,20884,90858
3.15.0,21960,549,40,21964,95810
3.15.1,22080,552,40,22084,96286
3.15.2,22120,553,40,22124,96512
3.15.3c,22160,554,40,22164,96712
3.16.0,22520,563,40,22524,98790
3.16.0b,22560,564,40,22564,98914
3.16.1,22680,567,40,22684,99444
3.16.2,22720,568,40,22724,99634
3.16.2b,22760,569,40,22764,99814
3.16.3b,22840,571,40,22844,100240
3.17.0,24480,612,40,24484,107782
3.17.4b,24720,618,40,24724,108956
3.18.0,24840,621,40,24844,109380
3.18.1e,24960,624,40,24964,109880
3.19.0,25520,638,40,25524,112068
3.19.2b,25800,645,40,25804,113324
3.20.0,52008,1182,44,52012,202112
3.20.1,52404,1191,44,52408,203838
3.20.2c,52800,1200,44,52804,205380
3.21.0,53856,1224,44,53860,209728
3.22.1.2,56936,1294,44,56940,223238
