version,fixed_size,row_count,row_width,var_offset,var_size
3.11.2b,7124,137,52,7128,41838
3.12.0,7592,146,52,7596,44594
3.12.4,7592,146,52,7596,44948
3.12.5c,12080,151,80,12084,49224
3.13.0,12720,159,80,12724,51734
3.13.1,13356,159,84,13360,51734
3.13.2b,13440,160,84,13444,52118
3.14.0,17928,166,108,17932,53862
3.14.3b,18144,168,108,18148,55486
3.15.0,19116,177,108,19120,58118
3.15.3c,19332,179,108,19336,59690
3.16.0,21344,184,116,21348,63010
3.16.2,21808,188,116,21812,62198
3.16.2b,21808,188,116,21812,66216
3.17.0,23200,200,116,23204,69132
3.17.3b,23200,200,116,23204,69516
3.17.4b,23316,201,116,23320,69944
3.18.0,18768,204,92,18772,69944
3.18.1e,18768,204,92,18772,69934
3.19.0,19044,207,92,19048,70934
3.19.2b,19044,207,92,19048,71286
3.20.0,19320,210,92,19324,72766
3.20.1,19596,213,92,19600,73482
3.20.2c,21300,213,100,21304,73906
3.21.0,21800,218,100,21804,75962
3.22.1.2,22900,229,100,22904,79960
