version,fixed_size,row_count,row_width,var_offset,var_size
3.11.2b,5248,164,32,5252,29280
3.12.0,5280,165,32,5284,29334
3.13.0,5280,165,32,5284,29478
3.13.1,5312,166,32,5316,29648
3.15.0,5376,168,32,5380,29928
3.15.3,5376,168,32,5380,30084
3.16.0,5408,169,32,5412,30308
3.16.3b,5472,171,32,5476,30760
3.17.0,6228,173,36,6232,31212
3.17.4b,6264,174,36,6268,31416
3.19.0,6732,187,36,6736,34436
3.20.0,7092,197,36,7096,36426
3.21.0,7128,198,36,7132,36624
3.23.0.1.3,7200,200,36,7204,37040
3.23.2.2,7236,201,36,7240,37250
