version,fixed_size,row_count,row_width,var_offset,var_size
3.14.2,2016,42,48,2020,756
3.15.0,4080,85,48,4084,1930
3.15.0d,4272,89,48,4276,2076
3.15.1,4368,91,48,4372,2140
3.15.2,4656,97,48,4660,2322
3.16.0,8064,168,48,8068,3986
3.16.2,8208,171,48,8212,4034
3.17.0,8448,176,48,8452,4114
3.17.1,8496,177,48,8500,4130
3.17.2,8688,181,48,8692,4228
3.17.3,8736,182,48,8740,4244
3.18.0,9072,189,48,9076,4356
3.18.0d,9504,198,48,9508,4522
3.19.0,10128,211,48,10132,4798
3.19.1,10896,227,48,10900,5374
3.19.2,10992,229,48,10996,5406
3.20.0,11376,237,48,11380,5604
3.20.2b,11472,239,48,11476,5636
3.21.0,12576,262,48,12580,6312
