version,fixed_size,row_count,row_width,var_offset,var_size
3.11.2b,248140,1306,190,248144,294018
3.12.0,319770,1683,190,319774,332572
3.12.2,321670,1693,190,321674,333778
3.12.3,320150,1685,190,320154,332810
3.12.4,320150,1685,190,320154,332818
3.13.0,354540,1866,190,354544,357498
3.13.1e,354540,1866,190,354544,357536
3.14.0,356440,1876,190,356444,360016
3.15.0,361190,1901,190,361194,366998
3.16.0,340860,1794,190,340864,353008
3.16.1,340860,1794,190,340864,353056
3.17.0,324330,1707,190,324334,339752
3.17.1b,324330,1707,190,324334,339758
3.18.0,325850,1715,190,325854,341768
3.19.0,325090,1711,190,325094,370938
3.20.0,343926,1737,198,343930,377988
3.20.2c,344916,1742,198,344920,379428
3.21.0,344916,1742,198,344920,320750
3.22.1.2,346698,1751,198,346702,323988
3.23.0.1.3,351648,1776,198,351652,332286
