version,fixed_size,row_count,row_width,var_offset,var_size
3.14.2,2016,42,48,2020,1192
3.15.0,18720,390,48,18724,11628
3.15.0d,18960,395,48,18964,11790
3.15.1,19248,401,48,19252,12006
3.15.2,19824,413,48,19828,12584
3.15.3,20208,421,48,20212,12912
3.16.0,53712,1119,48,53716,36994
3.16.2,54144,1128,48,54148,37138
3.17.0,60624,1263,48,60628,40726
3.17.1,60864,1268,48,60868,40902
3.17.2,65136,1357,48,65140,43306
3.17.3,68976,1437,48,68980,44746
3.18.0,72192,1504,48,72196,47118
3.18.0d,72912,1519,48,72916,47536
3.18.1,72816,1517,48,72820,47504
3.18.1e,72960,1520,48,72964,47668
3.19.0,74544,1553,48,74548,48744
3.19.1,77952,1624,48,77956,50906
3.19.2,78144,1628,48,78148,50970
3.20.0,80832,1684,48,80836,53074
3.20.2b,80928,1686,48,80932,53106
3.21.0,83568,1741,48,83572,54848
3.22.1.2,85296,1777,48,85300,55922
