version,fixed_size,row_count,row_width,var_offset,var_size
3.11.2b,4072640,9256,440,4072644,3477458
3.12.0,4542123,9939,457,4542127,3705024
3.12.2,4542123,9939,457,4542127,3706266
3.12.2b,4542123,9939,457,4542127,3707894
3.12.3,4542123,9939,457,4542127,3707782
3.12.3c,4542123,9939,457,4542127,3707956
3.12.4,4545322,9946,457,4545326,3711354
3.12.4b,4548064,9952,457,4548068,3714272
3.12.5b,4548521,9953,457,4548525,3716154
3.12.5c,4583253,10029,457,4583257,3757146
3.12.5d,4594678,10054,457,4594682,3770636
3.13.0,4730407,10351,457,4730411,3885602
3.13.0c,4730407,10351,457,4730411,3886292
3.13.1,4733149,10357,457,4733153,3889086
3.13.1c,4733149,10357,457,4733153,3889528
3.13.1e,4734063,10359,457,4734067,3890890
3.13.2b,4743203,10379,457,4743207,3905274
3.14.0,4870249,10657,457,4870253,3994740
3.14.1,4870706,10658,457,4870710,4005084
3.14.1c,4873905,10665,457,4873909,4009750
3.14.2,4877104,10672,457,4877108,4011172
3.14.3b,4892642,10706,457,4892646,4027658
3.15.0,5112029,11089,461,5112033,4169858
3.15.0e,5112029,11089,461,5112033,4170326
3.15.1,5119866,11106,461,5119870,4173666
3.15.2,5119866,11106,461,5119870,4175350
3.15.3,5119866,11106,461,5119870,4178124
3.15.3c,5137845,11145,461,5137849,4199200
3.16.0,5380837,11473,469,5380841,4327012
3.16.1,5381775,11475,469,5381779,4333752
3.16.2,5411322,11538,469,5411326,4334836
3.16.2b,5413198,11542,469,5413202,4372072
3.16.3b,5429144,11576,469,5429148,4389916
3.17.0,5605488,11952,469,5605492,4446536
3.17.1,5606895,11955,469,5606899,4449312
3.17.1b,5606895,11955,469,5606899,4449572
3.17.2,5609240,11960,469,5609244,4452366
3.17.3,5610647,11963,469,5610651,4454036
3.17.3b,5610647,11963,469,5610651,4456500
3.17.4,5610647,11963,469,5610651,4456464
3.17.4b,6398132,12004,533,6398136,4465592
3.18.0,6553768,12296,533,6553772,4443700
3.18.0b,6553768,12296,533,6553772,4444338
3.18.0c,6553768,12296,533,6553772,4444486
3.18.0d,6556433,12301,533,6556437,4445070
3.18.1,6556433,12301,533,6556437,4444096
3.18.1b,6556433,12301,533,6556437,4444200
3.18.1c,6556433,12301,533,6556437,4445350
3.18.1e,6571357,12329,533,6571361,4456888
3.19.0,6695546,12562,533,6695550,4550764
3.19.0d,6695546,12562,533,6695550,4550944
3.19.1,6699810,12570,533,6699814,4551610
3.19.1b,6699810,12570,533,6699814,4552094
3.19.1c,6699810,12570,533,6699814,4552310
3.19.1d,6699810,12570,533,6699814,4552778
3.19.2,6700343,12571,533,6700347,4553004
3.19.2b,6721130,12610,533,6721134,4568734
3.20.0,6837324,12828,533,6837328,4641178
3.20.1,6887426,12922,533,6887430,4682540
3.20.2,6887426,12922,533,6887430,4684400
3.20.2b,6890624,12928,533,6890628,4685086
3.20.2c,6908213,12961,533,6908217,4705866
3.21.0,7062783,13251,533,7062787,4314600
3.21.0c,7062783,13251,533,7062787,4315046
3.21.1,7062783,13251,533,7062787,4315232
3.22.1.2,7235475,13575,533,7235479,4420774
3.22.1.3.2,7235475,13575,533,7235479,4420894
