version,fixed_size,row_count,row_width,var_offset,var_size
3.11.2b,1076440,1583,680,1076444,365054
3.12.0,1142280,1670,684,1142284,375204
3.12.5b,1142964,1671,684,1142968,375282
3.13.0,1193984,1696,704,1193988,379932
3.14.0,1207140,1705,708,1207144,380852
3.14.1,1207140,1705,708,1207144,380866
3.14.3b,1227600,1705,720,1227604,380978
3.15.0,1255416,1734,724,1255420,384012
3.15.1,1256864,1736,724,1256868,384226
3.16.0,947104,1741,544,947108,388260
3.16.1,947104,1741,544,947108,388292
3.16.2,947648,1742,544,947652,388342
3.17.0,953632,1753,544,953636,402250
3.17.4,981680,1753,560,981684,402250
3.17.4b,982800,1755,560,982804,402438
3.18.0,990948,1757,564,990952,403924
3.19.0,1083600,1806,600,1083604,424776
3.19.1,1083600,1806,600,1083604,424952
3.20.0,1147536,1839,624,1147540,428306
3.20.1,1148160,1840,624,1148164,428490
3.20.2c,1149408,1842,624,1149412,428624
3.21.0,1181440,1846,640,1181444,429330
3.21.1,1182080,1847,640,1182084,429742
3.22.1.1,1192688,1852,644,1192692,432450
