version,fixed_size,row_count,row_width,var_offset,var_size
3.11.2b,15024,313,48,15028,16118
3.12.0,17712,369,48,17716,19212
3.12.4,18384,383,48,18388,19992
3.13.0,20208,421,48,20212,21786
3.13.1,20256,422,48,20260,21848
3.14.0,21552,449,48,21556,23344
3.14.2,21696,452,48,21700,23564
3.15.0,22752,474,48,22756,24858
3.16.0,23616,492,48,23620,25756
3.17.0,24480,510,48,24484,26800
3.17.4b,24528,511,48,24532,26844
3.18.0,24720,515,48,24724,27010
3.19.0,24816,517,48,24820,27104
3.19.1,24912,519,48,24916,27244
3.20.0,25824,538,48,25828,28270
3.20.1,25968,541,48,25972,28430
3.20.2c,26016,542,48,26020,28480
3.21.0,26352,549,48,26356,28860
