version,fixed_size,row_count,row_width,var_offset,var_size
3.11.2b,1570932,7934,198,1570936,428374
3.12.0,1677456,8472,198,1677460,458900
3.12.2,1678050,8475,198,1678054,459114
3.12.3,1678644,8478,198,1678648,459296
3.12.4,1682604,8498,198,1682608,460638
3.13.0,1761804,8898,198,1761808,484526
3.13.1c,1762002,8899,198,1762006,484574
3.14.0,1807740,9130,198,1807744,497540
3.14.1,1808334,9133,198,1808338,497672
3.14.3b,1839420,9290,198,1839424,505264
3.15.0,1887138,9531,198,1887142,518698
3.15.0d,1887534,9533,198,1887538,518790
3.15.2,1888326,9537,198,1888330,518942
3.16.0,1911690,9655,198,1911694,543090
3.16.0b,1911888,9656,198,1911892,543148
3.17.0,1967328,9936,198,1967332,560988
3.17.1,1967328,9936,198,1967332,561020
3.17.2,1968318,9941,198,1968322,561538
3.17.3,1968516,9942,198,1968520,561576
3.18.0,2114220,10020,211,2114224,566472
3.18.1,2354700,10020,235,2354704,566792
3.19.0,2358930,10038,235,2358934,567712
3.19.0f,2359400,10040,235,2359404,567850
3.19.2b,2359870,10042,235,2359874,567952
3.20.0,2422615,10309,235,2422619,584054
3.20.1,2422615,10309,235,2422619,584086
3.21.0,2460920,10472,235,2460924,593474
3.22.1.2,2525075,10745,235,2525079,608658
3.22.1.6,2525310,10746,235,2525314,608722
3.23.0.1.3,2653385,11291,235,2653389,629808
