version,fixed_size,row_count,row_width,var_offset,var_size
3.11.2b,295029,1561,189,295033,244216
3.12.0,413908,1636,253,413912,302654
3.12.1,413908,1636,253,413912,302670
3.12.2,413908,1636,253,413912,302692
3.12.3,414667,1639,253,414671,303334
3.12.4,414920,1640,253,414924,303242
3.12.4b,415173,1641,253,415177,303330
3.12.5,415173,1641,253,415177,303430
3.12.5b,415426,1642,253,415430,303642
3.13.0,442497,1749,253,442501,318796
3.13.1,442750,1750,253,442754,318964
3.13.1c,442750,1750,253,442754,318916
3.13.1e,443003,1751,253,443007,318998
3.14.0,461472,1824,253,461476,331382
3.14.1,461472,1824,253,461476,331378
3.15.0,485814,1883,258,485818,338410
3.15.0d,485814,1883,258,485818,338394
3.15.3,485814,1883,258,485818,338378
3.16.0,536218,1957,274,536222,350186
3.16.0c,536218,1957,274,536222,350162
3.16.0d,536218,1957,274,536222,350130
3.17.0,557864,2036,274,557868,365132
3.17.1,557864,2036,274,557868,365164
3.17.2,557590,2035,274,557594,365184
3.17.3,557590,2035,274,557594,365216
3.17.3b,557590,2035,274,557594,365260
3.17.4,549918,2007,274,549922,362572
3.17.4b,550740,2010,274,550744,362752
3.18.0,587250,2025,290,587254,366746
3.18.0c,587250,2025,290,587254,366754
3.18.1,587830,2027,290,587834,367016
3.18.1e,589570,2033,290,589574,367626
3.19.0,597400,2060,290,597404,372888
3.19.1,597400,2060,290,597404,372974
3.19.1c,597690,2061,290,597694,373078
3.19.2,597980,2062,290,597984,373146
3.19.2b,598560,2064,290,598564,373308
3.20.0,629376,2112,298,629380,379904
3.20.1,629972,2114,298,629976,380192
3.20.2,630270,2115,298,630274,380794
3.20.2c,630568,2116,298,630572,380928
3.21.0,683279,2183,313,683283,389998
3.21.1,683279,2183,313,683283,389994
