version,fixed_size,row_count,row_width,var_offset,var_size
3.11.2b,64960,2320,28,64964,384670
3.12.0,66304,2368,28,66308,392016
3.13.0,67088,2396,28,67092,397598
3.14.0,67424,2408,28,67428,399836
3.14.3b,67592,2414,28,67596,400802
3.15.0,68460,2445,28,68464,407912
3.15.1,68516,2447,28,68520,408276
3.17.0,68712,2454,28,68716,409586
3.17.4b,68768,2456,28,68772,409882
3.18.0,68824,2458,28,68828,410274
3.19.0,69104,2468,28,69108,412024
3.20.0,70196,2507,28,70200,418828
3.20.1,70224,2508,28,70228,419014
3.21.0,70308,2511,28,70312,419606
3.22.1.1,70448,2516,28,70452,420454
