version,fixed_size,row_count,row_width,var_offset,var_size
3.11.2b,51736,446,116,51740,46326
3.12.0,59396,479,124,59400,52438
3.12.3,59520,480,124,59524,52540
3.12.5b,59644,481,124,59648,52620
3.13.0,70280,502,140,70284,55078
3.14.0,74888,506,148,74892,54184
3.14.3b,75036,507,148,75040,54254
3.15.0,76664,518,148,76668,57006
3.16.0,76960,520,148,76964,57288
3.17.0,78884,533,148,78888,59244
3.17.1,78884,533,148,78888,59228
3.18.0,79032,534,148,79036,59300
3.18.1e,79772,539,148,79776,59792
3.19.0,88000,550,160,88004,60964
3.19.2b,88711,551,161,88715,61070
3.20.0,100713,569,177,100717,63236
3.20.2b,91609,569,161,91613,63236
3.20.2c,96330,570,169,96334,63386
3.21.0,97344,576,169,97348,64058
