version,fixed_size,row_count,row_width,var_offset,var_size
3.11.2b,3240,90,36,3244,3550
3.12.0,4136,94,44,4140,4114
3.12.5b,4268,97,44,4272,4114
3.13.0,5252,101,52,5256,4818
3.14.0,5460,105,52,5464,5414
3.15.0,6540,109,60,6544,11244
3.16.0,6780,113,60,6784,11920
3.16.2,7080,118,60,7084,12232
3.17.0,7500,125,60,7504,13726
3.18.0,8160,136,60,8164,15578
3.19.0,9180,153,60,9184,20082
3.19.2,9240,154,60,9244,20418
3.20.0,10260,171,60,10264,24404
3.20.2b,10320,172,60,10324,24708
3.21.0,11820,197,60,11824,30652
3.21.0c,11820,197,60,11824,30724
3.22.1.2,13080,218,60,13084,35688
3.22.2.1,13260,221,60,13264,35960
3.23.0.1.3,14520,242,60,14524,41390
