version,fixed_size,row_count,row_width,var_offset,var_size
3.11.2b,14175,525,27,14179,27454
3.12.0,15255,565,27,15259,29008
3.13.0,15336,568,27,15340,29102
3.14.0,15390,570,27,15394,29178
3.14.3b,15444,572,27,15448,29256
3.15.0,15822,586,27,15826,29850
3.16.0,15903,589,27,15907,29968
3.16.0b,15957,591,27,15961,30050
3.17.0,16038,594,27,16042,30142
3.18.0,16119,597,27,16123,30218
3.19.0,16200,600,27,16204,30324
3.20.0,16389,607,27,16393,30576
3.21.0,16443,609,27,16447,30626
3.22.1.2,17010,630,27,17014,31760
3.23.0.1.3,17118,634,27,17122,31934
