"rownum","Id","Mods","string","string","i32","i32","[rid]","i32","[i32]","[rid]"
0,"ProphecySignature",[],"","",0,0,[],0,[],[]
1,"BLAMTEasyBrutus",[],"","",0,0,[],0,[],[]
2,"PathOfEndurance",[],"Path of Endurance","http://poe.qq.com/redirect/g25.htm",60,0,[],0,[],[]
3,"EverythingEverywhere","[9866,9870,9874,9878,9882,9901,9905,9907,9911,9912,9913,9914,9915,9916,9917,9918,9919,9920,9921,9922]","","",0,60,[],0,"[1,2]","[2579,2580]"
4,"EverythingSomewhere","[9867,9871,9875,9879,9883,9887,9891,9894,9896]","","",0,60,[],1,[],[]
5,"EverythingSomewhereSingle","[9868,9872,9876,9880,9884,9888,9892,9895,9897,9898,9900,9902,9903,9904,9906]","","",0,60,[],3,[],[]
6,"EverythingSomewhereSingleTencent","[9868,9876,9880,9884,9892,9898,9900,9902,9903,9904,9906]","","",0,60,[],3,[],[]
7,"PerandusSingleTencent",[9888],"","",0,0,[],0,[],[]
8,"EverythingSomewhereSingleNoDelirium","[9868,9872,9876,9880,9884,9888,9892,9895,9897,9898,9900,9902,9903,9904]","","",0,60,[],3,[],[]
9,"DeliriumSingleTencent",[9906],"","",0,0,[],0,[],[]
