"rownum","Id","Act","Name","Icon_DDSFile","QuestId","bool","Type","[i32]","i32","TrackerGroup","bool","bool","[rid]","[rid]"
0,"TheMiller",1,"Reaching Clearfell","Art/2DArt/QuestIcons/Four/Miller.dds",0,"",0,[],52,"","","",[2],[2]
1,"MudBurrower",1,"Treacherous Ground","Art/2DArt/QuestIcons/Four/TreacherousGround.dds",0,"",1,[],52,"","","","[3,0]","[4,0]"
2,"TreeOfSouls",1,"Secrets in the Dark","Art/2DArt/QuestIcons/Four/TreeofSouls.dds",0,"",0,[],52,"","","",[],[]
3,"TreeOfSouls2",1,"Secrets in the Dark","",0,"",0,[],52,"","","",[],[]
4,"ReviveHoodedMentor",1,"The Mysterious Shade","Art/2DArt/QuestIcons/Four/MysteriousShade.dds",0,"",0,[],52,"","","",[],[]
5,"RenlysTools",1,"Finding the Forge","Art/2DArt/QuestIcons/Four/RenlysTools.dds",0,"",1,[],52,"","","",[16],[16]
6,"UnaLute",1,"The Lost Lute","Art/2DArt/QuestIcons/Four/UnaLute.dds",0,"",1,[],52,"","","",[1],[1]
7,"GraveyardFight",1,"Sorrow Among Stones","Art/2DArt/QuestIcons/Four/SorrowAmongStones.dds",0,"",0,[],52,"","","",[2],[3]
8,"TheOutcast",1,"Ominous Altars","Art/2DArt/QuestIcons/Four/Outcast.dds",0,"",1,[],52,"","","","[18,19]",[18]
9,"TheExecutioner",1,"The Trail of Corruption","Art/2DArt/QuestIcons/Four/GuillotineExcecutioner.dds",0,"",0,[],52,"","","",[2],[2]
10,"TheIronCount",1,"The Mad Wolf of Ogham","Art/2DArt/QuestIcons/Four/IronCount.dds",0,"",0,[],52,"","","",[],[]
11,"GoToAct2",1,"[DNT-UNUSED] The Mysterious Boat","",0,"",0,[],52,"","","",[],[]
12,"SentToG2_4",2,"[DNT-UNUSED] Treasure Hunter","",0,"",0,[],52,"","","",[],[]
13,"SentToG2_5",2,"[DNT-UNUSED] Matriarch 1","",0,"",0,[],52,"","","",[],[]
14,"SentToG2_6",2,"[DNT-UNUSED] Matriarch 2","",0,"",0,[],52,"","","",[],[]
15,"SentToG2_8",2,"[DNT-UNUSED] Matriarch 3","",0,"",0,[],52,"","","",[],[]
16,"CaravanRescue",2,"Earning Passage","Art/2DArt/QuestIcons/Four/CaravanRescue.dds",0,"",0,[],52,"","","",[2],[2]
17,"OpenTheDesertGates",2,"The Trail of Corruption","Art/2DArt/QuestIcons/Four/OpenDesertGates.dds",0,"",0,[],52,"","","",[],[]
18,"BurnTheWaterGoddess",2,"The City of Seven Waters","Art/2DArt/QuestIcons/Four/WaterGoddess.dds",0,"",0,[],52,"","","",[3],"[3,0]"
19,"StealTheMastodonTusks",2,"A Theft of Ivory","Art/2DArt/QuestIcons/Four/TheftofIvory.dds",0,"",0,[],52,"","","",[3],"[2,0]"
20,"PryTheFlameRuby",2,"A Crown of Stone","Art/2DArt/QuestIcons/Four/FlameRuby.dds",0,"",0,[],52,"","","",[3],"[4,0]"
21,"KillTheTraitor",2,"The Forgotten Prisoner","Art/2DArt/QuestIcons/Four/Balbala.dds",0,"",0,[],52,"","","",[],[]
22,"DjinnHunter",2,"Back in the Bottle","Art/2DArt/QuestIcons/BackintheBottle.dds",0,"",0,[],52,"","","",[],[]
23,"FindTheSuicideNote",2,"Tradition's Toll","Art/2DArt/QuestIcons/Four/TraditionsToll.dds",0,"",1,[],52,"","","",[1],[1]
24,"MysteriousRelics",2,"Ancient Vows","Art/2DArt/QuestIcons/Four/Medallion.dds",0,"",1,[],52,"","","",[5],[5]
25,"AscentToPower",2,"Ascent to Power","Art/2DArt/QuestIcons/Four/Balbala.dds",0,"",6,[],52,"","","",[],[]
26,"SearchForTheVaalRepository",3,"Legacy of the Vaal","Art/2DArt/QuestIcons/Four/LegacyoftheVaal.dds",0,"",0,[],52,"","","",[],[15]
27,"SearchForTheVaalRepositoryEndgame",10,"Legacy of the Vaal","Art/2DArt/QuestIcons/Four/LegacyoftheVaal.dds",0,"",0,[],52,"","","",[],[15]
28,"JungleDepthsLandmark",3,"","Art/2DArt/QuestIcons/base.dds",0,"",1,[],52,"","","",[],[]
29,"CleanseTheSnakePit",3,"The Slithering Dead","Art/2DArt/QuestIcons/Four/DenofSnakes.dds",0,"",1,[],52,"","","",[5],[5]
30,"RaidTheTreasureVault",3,"Treasures of Utzaal","Art/2DArt/QuestIcons/Four/TreasureVault.dds",0,"",1,[],52,"","","","[2,0]","[2,0]"
31,"KillTheBogWitch",3,"Tribal Vengeance","Art/2DArt/QuestIcons/Four/TribalVengeance.dds",0,"",1,[],52,"","","","[9,20]","[9,21]"
32,"FindTheSpearPieces",4,"The Search","Art/2DArt/QuestIcons/Four/SettingSail.dds",0,"",0,[],52,"","","",[],[]
33,"sanctum_timer_arena",0,"The Trial of the Sekhemas","",0,"",3,[30],52,"","","",[],[]
34,"sanctum_portal_arena",0,"The Trial of the Sekhemas","",0,"",3,[30],52,"","","",[],[]
35,"sanctum_explore",0,"The Trial of the Sekhemas","",0,"",3,[30],52,"","","",[],[]
36,"sanctum_kill_monsters",0,"The Trial of the Sekhemas","",0,"",3,[30],52,"","","",[],[]
37,"sanctum_rare_lair",0,"The Trial of the Sekhemas","",0,"",3,[30],52,"","","",[],[]
38,"sanctum_puzzle",0,"The Trial of the Sekhemas","",0,"",3,[30],52,"","","",[],[]
39,"sanctum_boss",0,"The Trial of the Sekhemas","",0,"",3,[30],52,"","","",[],[]
40,"sanctum_floor_boss",0,"The Trial of the Sekhemas","",0,"",3,[30],52,"","","",[],[]
41,"ultimatum_encounter",0,"Trialmaster's Challenge","",0,"",3,[37],52,"","","",[],[]
42,"Ultimatum",3,"The Trials of Chaos","Art/2DArt/QuestIcons/Four/UltimatumIntro.dds",0,"",6,[],52,"","","",[],[]
43,"EndgameQuestline",10,"Cataclysm's Wake","Art/2DArt/QuestIcons/Four/CataclysmsWake.dds",0,"",0,[],52,"","","",[17],[17]
44,"EndgameQuestInvestigateTower",10,"The Pinnacle of Flame","Art/2DArt/QuestIcons/Four/PinnacleOfFlame.dds",0,"",0,[],52,"","","",[],[]
45,"EndgameQuestObtainKey1",10,"Ezomyte Infiltration","Art/2DArt/QuestIcons/Four/EzomyteInfiltration.dds",0,"",0,[],52,"","","",[],[]
46,"EndgameQuestObtainKey2",10,"Faridun Foray","Art/2DArt/QuestIcons/Four/FaridunForay.dds",0,"",0,[],52,"","","",[],[]
47,"EndgameQuestObtainKey3",10,"Vaal Incursion","Art/2DArt/QuestIcons/Four/VaalIncursion.dds",0,"",0,[],52,"","","",[],[]
48,"SacredFlameInspectOrb",10,"Power Awaits You","Art/2DArt/QuestIcons/Four/PinnacleOfFlame.dds",0,"",0,[],52,"","","",[],[]
49,"EndgameLeagueBreach1",10,"Extraplanar Invasion","Art/2DArt/QuestIcons/Four/Breach.dds",0,"",0,[],52,"","","",[22],[22]
50,"EndgameLeagueBreach2",10,"Into the Breach","Art/2DArt/QuestIcons/Four/Breach.dds",0,"",0,[],52,"","","",[],[]
51,"EndgameLeagueDelirium1",10,"The Shadow Trickster","Art/2DArt/QuestIcons/Four/AlvaDelirium.dds",0,"",0,[],52,"","","",[22],[22]
52,"EndgameLeagueDelirium2",10,"Facing the Simulacrum","Art/2DArt/QuestIcons/Four/AlvaDelirium.dds",0,"",0,[],52,"","","",[],[]
53,"EndgameLeagueRitual1",10,"Mysterious Altars","Art/2DArt/QuestIcons/Four/Ritual.dds",0,"",0,[],52,"","","",[22],[22]
54,"EndgameLeagueRitual2",10,"The Edge of Nothingness","Art/2DArt/QuestIcons/Four/Ritual.dds",0,"",0,[],52,"","","",[],[]
