"rownum","Id","MonsterType","MovementSpeed","ObjectSize","MinimumAttackDistance","MaximumAttackDistance","ACTFiles","AOFiles","BaseMonsterTypeIndex","Mods","i32","string","string","ModelSizeMultiplier","i32","i32","rid","i32","i32","Tags","ExperienceMultiplier","[i32]","MinAgroRange","MaxAgroRange","SpotlightColour1","SpotlightColour2","SpotlightColour3","GrantedEffects","AISFile","Mods2","Stance","rid","Name","DamageMultiplier","LifeMultiplier","AttackSpeed","Weapon1_ItemVisualIdentity","Weapon2_ItemVisualIdentity","Back_ItemVisualIdentity","MainHand_ItemClass","OffHand_ItemClass","Helmet_ItemVisualIdentity","i32","KillSpecificMonsterCount_AchievementItems","Special_Mods","KillRare_AchievementItems","bool","i32","i32","i32","i32","i32","i32","HASH16","bool","string","KillWhileOnslaughtIsActive_AchievementItem","MonsterSegment","MonsterArmour","KillWhileTalismanIsActive_AchievementItem","Part1_Mods","Part2_Mods","Endgame_Mods","rid","i32","i32","[rid]","MultiPartAchievements","i32","SinkAnimation_AOFile","bool","[rid]","bool","bool","bool","i32","i32","f32","AilmentThreshold","SinkEffect","i32","MonsterConditionalEffectPack","bool","bool","i32","bool","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","BossHealthBar","rid","i32","bool","i32","i32","i32","i32","bool","rid","f32","f32","bool","[string]","rid","i32","i32","f32","rid","bool","i32","bool","i32","rid"
0,"Any",42,40,1,6,6,[],[],"Metadata/Monsters/Clone/Clone",[],1,"","",100,1,3,"",17,0,"[74,755]",100,[],105,105,700,500,0,[735],"",[],"",3,"[ANY MONSTER]",100,100,830,[],[],"","","","",0,[],[],[],"",0,6,135,0,0,135,6509,"","","","","","",[],[],[],"",200,0,[],[],10,"","",[],"","",1,0,0,0,80,0,0,"","","",3,1,0,0,0,0,0,0,0,0,162,0,0,0,"","",7,"",0,0,0,0,"","",1,1,"",[],"",0,100,0.05,0,1,0,"",10,2
1,"Metadata/Monsters/Monkeys/MonkeyJungle",0,46,2,4,9,"[""Metadata/Monsters/Monkeys/Jungle/MonkeyJungle.act""]","[""Metadata/Monsters/Monkeys/BloodMonkey/BloodMonkeyJungle.ao""]","Metadata/Monsters/Monkeys/Jungle/MonkeyJungle",[],1,"","",100,1,6,5,1,0,"[774,72,921,755,757,742,49,713,31,29,714,709,32,118,745,1025]",65,[4],105,105,700,500,0,"[742,965,3260]","Metadata/Monsters/Monkeys/Jungle/MonkeyJungle.ais",[],"",0,"Feral Primate",65,65,1005,[],[],"","","","",0,[],[],[614],1,1,4,3,0,0,3,18656,"","","","","","",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",0,15,0,80,0,0,"","",1,3,1,0,0,0,0,0,0,0,0,1030,0,-5,5,"","",7,"",0,-5,5,0,"","",1,1,"",[],48,3,65,0.05,0,1,0,"",25,4
2,"Metadata/Monsters/Monkeys/MonkeyJungleTamed",1,33,2,4,7,"[""Metadata/Monsters/Monkeys/Jungle/BloodApeTamed.act""]","[""Metadata/Monsters/Monkeys/Jungle/BloodApeTamed.ao""]","Metadata/Monsters/Monkeys/Jungle/BloodApeTamed",[],1,"","",100,1,6,5,1,0,"[774,72,757,742,49,754,713,31,29,714,709,118,745,1025]",65,[4],105,105,700,500,0,[742],"Metadata/Monsters/Monkeys/Jungle/BloodApeTamed.ais",[],"",0,"Feral Primate",65,65,1005,[],[],"","","","",0,[],[],[],"",1,6,135,0,0,135,16101,"","","","","","",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",0,0,0,80,0,0,"","",1,3,1,0,0,0,0,0,0,0,0,1786,0,-5,5,"","",7,"",0,0,0,1,"","",1,1,"",[],48,3,65,0.05,0,1,0,"",25,4
3,"Metadata/Monsters/Monkeys/MonkeyJungleTamedBossSpectator",1,33,2,4,7,"[""Metadata/Monsters/Monkeys/Jungle/BloodApeTamed.act""]","[""Metadata/Monsters/Monkeys/Jungle/BloodApeTamed.ao""]","Metadata/Monsters/Monkeys/Jungle/BloodApeTamedBoss",[],1,"","",100,1,6,5,1,0,"[774,72,757,742,49,754,713,31,29,714,709,118,745,1025]",65,[4],105,105,700,500,0,[742],"Metadata/Monsters/Monkeys/Jungle/BloodApeTamed.ais",[],"stance5",0,"Feral Primate",65,65,1005,[],[],"","","","",0,[],[],[],"",1,6,135,0,0,135,30687,"","","","","","",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",0,0,0,80,0,0,"","",1,3,1,0,0,0,0,0,0,0,0,2284,0,-5,5,"","",7,"",0,0,0,1,"","",1,1,"",[],48,3,65,0.05,0,1,0,"",25,4
4,"Metadata/Monsters/BloodChieftain/MonkeyChiefJungle",14,36,4,8,11,"[""Metadata/Monsters/BloodChieftain/Jungle/JungleChieftain.act""]","[""Metadata/Monsters/BloodChieftain/Jungle/JungleChieftain.ao""]","Metadata/Monsters/BloodChieftain/Jungle/JungleChieftain",[],1,"","",100,3,6,18,1,0,"[72,772,757,731,725,49,747,754,713,1040,30,31,714,709,118]",175,[],105,105,700,500,0,"[735,984,4302,4168,3260,2184,4092,4093]","Metadata/Monsters/BloodChieftain/Jungle/JungleChieftain.ais",[],"",0,"Alpha Primate",175,175,1905,[],[],"",12,"","",0,[],[],[602],"",1,3,135,0,0,3,57331,"","","","","","",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",-5,10,0,80,0,0,"","",1,3,1,0,0,0,0,0,0,0,0,3296,0,-5,5,"","",7,"",0,-5,5,0,"","",1,1,"",[],48,7,138,0.05,0,1,0,"",70,4
5,"Metadata/Monsters/InsectMinion/InsectTest",25,40,1,6,6,"[""Metadata/Monsters/InsectMinion/Minion/InsectMinion.act""]","[""Metadata/Monsters/InsectMinion/Minion/InsectMinion.ao""]","Metadata/Monsters/InsectMinion/Testling",[],1,"","",60,1,6,4,1,0,"[774,72,1024,743,755,757,75,121,742,713,714]",100,[],105,105,700,500,0,[735],"Metadata/Monsters/InsectMinion/InsectMinion.ais",[],"",40,"Testling",100,100,1500,[],[],"","","","",0,[],[],[],"",1,6,135,0,0,135,5091,"","","","","","",[],[],[],"",200,0,[],[],10,"","",[],"","","",0,0,0,80,0,0,"","","",3,1,0,0,0,0,0,0,0,0,4012,0,-50,50,"","",7,"",0,0,0,0,"","",1,1,"",[],"",0,100,0.05,0,1,0,"",10,4
6,"Metadata/Monsters/Spiker/Spiker",12,32,3,6,9,"[""Metadata/Monsters/Spiker/Spiker.act""]","[""Metadata/Monsters/Spiker/Spiker.ao""]","Metadata/Monsters/Spiker/Spiker",[6970],1,"","",100,3,6,4,1,0,"[723,774,72,1024,757,738,725,49,747,754,713,1091,714,118,708]",140,[],105,105,700,500,0,[],"Metadata/Monsters/Spiker/Spiker.ais",[],"",0,"Porcupine Goliath",140,140,1050,[],[],"","","","",0,[],[],[723],"",1,6,135,0,0,135,62270,"","","","","","",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",-5,5,0,80,0,0,"","","",3,1,0,0,0,0,0,0,0,0,4624,0,-5,5,"","",7,"",0,-5,5,0,"","",1,1,"",[],51,6,120,0.05,0,1,0,"",60,4
7,"Metadata/Monsters/Spiker/Spiker3_",12,32,3,6,9,"[""Metadata/Monsters/Spiker/SpikerNew.act""]","[""Metadata/Monsters/Spiker/Spiker_Variant.ao""]","Metadata/Monsters/Spiker/Spiker",[13335],1,"","",100,3,6,4,1,0,"[723,72,1024,49,754,713,1091,714,118,708]",140,[],105,105,700,500,0,"[735,1708,4477,814]","Metadata/Monsters/Spiker/Spiker.ais",[],"",0,"Porcupine Goliath",140,140,1050,[],[],"","","","",0,[],[],[723],"",1,6,135,0,0,135,8963,"","","","","","",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",-8,8,0,80,0,0,"","",1,3,1,0,0,0,0,0,0,0,0,5134,0,-10,5,"","",7,1,0,-5,5,0,"","",1,1,"",[],51,6,120,0.05,0,1,0,"",60,4
8,"Metadata/Monsters/Spiker/Spiker3SanctumTrial__",13,32,3,6,9,"[""Metadata/Monsters/Spiker/SpikerSanctum.act""]","[""Metadata/Monsters/Spiker/Spiker_Variant.ao""]","Metadata/Monsters/Spiker/SpikerSanctum",[13335],1,"","",100,3,6,4,1,0,"[723,72,1024,49,754,713,1091,714,118,708,1015]",140,[],105,105,700,500,0,"[735,1712,4478]","Metadata/Monsters/Spiker/SpikerSanctum.ais",[],"",0,"Porcupine Goliath",140,140,1050,[],[],"","","","",0,[],[],[723],"",1,6,135,0,0,135,60816,"","","","","","",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",-8,8,0,80,0,0,"","",1,3,1,0,0,0,0,0,0,1,0,5876,0,-10,5,"","",7,1,0,-5,5,0,"","",1,1,"",[],51,6,120,0.05,0,1,0,"",60,4
9,"Metadata/Monsters/Totems/StrengthTotem",21,0,3,6,6,"[""Metadata/Monsters/Totems/generic_totem/totem_strength.act""]","[""Metadata/Monsters/Totems/generic_totem/red.ao""]","Metadata/Monsters/Totems/Totem",[],1,"","",100,2,1,5,6,0,"[74,163,742,120,781,30,31,745,762,1025]",100,[],105,105,700,500,0,[],"Metadata/Monsters/NoAi.ais",[],"",39,"Totem",100,100,1000,[],[],"","","","",0,[],[],[],"",1,6,135,0,0,135,38406,"","","","","","",[],[],[],"",200,0,[],[],10,"","",[],"","",1,0,0,0,80,0,0,"","","",3,1,0,0,0,0,0,0,0,0,6486,0,0,0,"","",7,"",0,0,0,0,"","",1,1,"",[],"",4,100,0.05,0,1,0,"",40,2
