"rownum","i32","rid","i32"
0,0,1,0
1,0,2,0
2,0,3,0
3,0,4,0
4,1,1,0
5,1,2,0
6,1,3,0
7,1,4,0
8,2,1,0
9,2,2,0
10,2,3,0
11,2,4,0
12,3,1,0
13,3,2,0
14,3,3,0
15,3,4,0
16,4,1,0
17,4,2,0
18,4,3,0
19,4,4,0
20,5,1,0
21,5,2,0
22,5,3,0
23,5,4,0
24,6,1,0
25,6,2,0
26,6,3,0
27,6,4,0
28,7,1,0
29,7,2,0
30,7,3,0
31,7,4,0
32,8,1,0
33,8,2,0
34,8,3,0
35,8,4,0
36,9,1,0
37,9,2,0
38,9,3,0
39,9,4,0
40,10,1,0
41,10,2,0
42,10,3,0
43,10,4,0
44,11,1,0
45,11,2,0
46,11,3,0
47,11,4,0
48,12,1,0
49,12,2,0
50,12,3,0
51,12,4,0
52,13,1,0
53,13,2,0
54,13,3,0
55,13,4,0
56,14,1,0
57,14,2,0
58,14,3,0
59,14,4,0
60,15,1,0
61,15,2,0
62,15,3,0
63,15,4,0
