"rownum","HideoutNPC","Order","AddMod","Cost_BaseItemTypes","Cost_Values","RequiredLevel","Name","CraftingBenchCustomAction","ItemClasses","Links","SocketColours","Sockets","ItemQuantity","[i32]","Description","IsDisabled","IsAreaOption","RecipeIds","Tier","CraftingItemClassCategories","i32","UnlockCategory","UnveilsRequired","UnveilsRequired2","[rid]","KalandraAchievement","i32","i32","VeiledMod","AddEnchantment","SortCategory","ModType","bool","i32","Stat1","Stat2","Stat3"
0,4,0,"",[22],[1],0,"Two Sockets",7,[],0,"",2,0,[],"","","",[234],0,"[0,1,2,3,6,7,8,5,4]",1,"",0,0,[],[8850],4205,4205,"","",3,"","",0,"","",""
1,4,1,"",[22],[3],0,"Three Sockets",7,[],0,"",3,0,[],"","","",[234],0,"[0,1,2,3,6,7,8,5,4]",1,"",0,0,[],[8850],4205,4205,"","",3,"","",0,"","",""
2,4,2,"",[22],[10],0,"Four Sockets",7,[],0,"",4,0,[],"","","",[234],0,"[0,1,2,3,6,7,8,5,4]",1,"",0,0,[],[8850],4205,4205,"","",3,"","",0,"","",""
3,4,3,"",[22],[70],0,"Five Sockets",7,[],0,"",5,0,[],"","","",[237],0,"[0,1,2,3,6,7,8,5,4]",1,"",0,0,[],[8850],4205,4205,"","",3,"","",0,"","",""
4,4,4,"",[22],[350],0,"Six Sockets",7,[],0,"",6,0,[],"","","",[238],0,"[0,1,2,3,6,7,8,5,4]",1,"",0,0,[],[8850],4205,4205,"","",3,"","",0,"","",""
5,4,5,"",[21],[1],0,"Two Linked Sockets",7,[],2,"",0,0,[],"","","",[239],0,"[0,1,2,3,6,7,8,5,4]",1,"",0,0,[],[8849],4205,4205,"","",3,"","",0,"","",""
6,4,6,"",[21],[3],0,"Three Linked Sockets",7,[],3,"",0,0,[],"","","",[239],0,"[0,1,2,3,6,7,8,5,4]",1,"",0,0,[],[8849],4205,4205,"","",3,"","",0,"","",""
7,4,7,"",[21],[5],0,"Four Linked Sockets",7,[],4,"",0,0,[],"","","",[239],0,"[0,1,2,3,6,7,8,5,4]",1,"",0,0,[],[8849],4205,4205,"","",3,"","",0,"","",""
8,4,8,"",[21],[150],0,"Five Linked Sockets",7,[],5,"",0,0,[],"","","",[242],0,"[0,1,2,3,6,7,8,5,4]",1,"",0,0,[],[8849],4205,4205,"","",3,"","",0,"","",""
9,4,9,"",[21],[1500],0,"Six Linked Sockets",7,[],6,"",0,0,[],"","","",[243],0,"[0,1,2,3,6,7,8,5,4]",1,"",0,0,[],[8849],4205,4205,"","",3,"","",0,"","",""
10,4,10,"",[20],[4],0,"At Least One Red Socket",7,[],0,"R",0,0,[],"","","",[244],0,"[0,1,2,3,6,7,8,5,4,9,10]",1,"",0,0,[],[8848],4205,4205,"","",3,"","",0,"","",""
11,4,11,"",[20],[25],0,"At Least Two Red Sockets",7,[],0,"RR",0,0,[],"","","",[244],0,"[0,1,2,3,6,7,8,5,4]",1,"",0,0,[],[8848],4205,4205,"","",3,"","",0,"","",""
12,4,12,"",[20],[120],0,"At Least Three Red Sockets",7,[],0,"RRR",0,0,[],"","","",[244],0,"[0,1,2,3,6,7,8,5,4]",1,"",0,0,[],[8848],4205,4205,"","",3,"","",0,"","",""
13,4,13,"",[20],[4],0,"At Least One Green Socket",7,[],0,"G",0,0,[],"","","",[244],0,"[0,1,2,3,6,7,8,5,4,9,10]",1,"",0,0,[],[8848],4205,4205,"","",3,"","",0,"","",""
14,4,14,"",[20],[25],0,"At Least Two Green Sockets",7,[],0,"GG",0,0,[],"","","",[244],0,"[0,1,2,3,6,7,8,5,4]",1,"",0,0,[],[8848],4205,4205,"","",3,"","",0,"","",""
15,4,15,"",[20],[120],0,"At Least Three Green Sockets",7,[],0,"GGG",0,0,[],"","","",[244],0,"[0,1,2,3,6,7,8,5,4]",1,"",0,0,[],[8848],4205,4205,"","",3,"","",0,"","",""
16,4,16,"",[20],[4],0,"At Least One Blue Socket",7,[],0,"B",0,0,[],"","","",[244],0,"[0,1,2,3,6,7,8,5,4,9,10]",1,"",0,0,[],[8848],4205,4205,"","",3,"","",0,"","",""
17,4,17,"",[20],[25],0,"At Least Two Blue Sockets",7,[],0,"BB",0,0,[],"","","",[244],0,"[0,1,2,3,6,7,8,5,4]",1,"",0,0,[],[8848],4205,4205,"","",3,"","",0,"","",""
18,4,18,"",[20],[120],0,"At Least Three Blue Sockets",7,[],0,"BBB",0,0,[],"","","",[244],0,"[0,1,2,3,6,7,8,5,4]",1,"",0,0,[],[8848],4205,4205,"","",3,"","",0,"","",""
19,4,19,"",[20],[15],0,"At Least One Red and One Green Socket",7,[],0,"RG",0,0,[],"","","",[244],0,"[0,1,2,3,6,7,8,5,4]",1,"",0,0,[],[8848],4205,4205,"","",3,"","",0,"","",""
20,4,20,"",[20],[15],0,"At Least One Red and One Blue Socket",7,[],0,"RB",0,0,[],"","","",[244],0,"[0,1,2,3,6,7,8,5,4]",1,"",0,0,[],[8848],4205,4205,"","",3,"","",0,"","",""
21,4,21,"",[20],[15],0,"At Least One Green and One Blue Socket",7,[],0,"GB",0,0,[],"","","",[244],0,"[0,1,2,3,6,7,8,5,4]",1,"",0,0,[],[8848],4205,4205,"","",3,"","",0,"","",""
22,4,22,"",[20],[100],0,"At Least Two Red and One Green Socket",7,[],0,"RRG",0,0,[],"","","",[244],0,"[0,1,2,3,6,7,8,5,4]",1,"",0,0,[],[8848],4205,4205,"","",3,"","",0,"","",""
23,4,23,"",[20],[100],0,"At Least Two Red and One Blue Socket",7,[],0,"RRB",0,0,[],"","","",[244],0,"[0,1,2,3,6,7,8,5,4]",1,"",0,0,[],[8848],4205,4205,"","",3,"","",0,"","",""
24,4,24,"",[20],[100],0,"At Least Two Green and One Red Socket",7,[],0,"GGR",0,0,[],"","","",[244],0,"[0,1,2,3,6,7,8,5,4]",1,"",0,0,[],[8848],4205,4205,"","",3,"","",0,"","",""
25,4,25,"",[20],[100],0,"At Least Two Green and One Blue Socket",7,[],0,"GGB",0,0,[],"","","",[244],0,"[0,1,2,3,6,7,8,5,4]",1,"",0,0,[],[8848],4205,4205,"","",3,"","",0,"","",""
26,4,26,"",[20],[100],0,"At Least Two Blue and One Green Socket",7,[],0,"BBG",0,0,[],"","","",[244],0,"[0,1,2,3,6,7,8,5,4]",1,"",0,0,[],[8848],4205,4205,"","",3,"","",0,"","",""
27,4,27,"",[20],[100],0,"At Least Two Blue and One Red Socket",7,[],0,"BBR",0,0,[],"","","",[244],0,"[0,1,2,3,6,7,8,5,4]",1,"",0,0,[],[8848],4205,4205,"","",3,"","",0,"","",""
28,6,0,7642,[],[],68,"",7,"[35,38,86]",0,"",0,69,[],"",1,1,[],0,"[14,15,17]",0,"",0,0,[],[],4205,4205,"","",0,1883,"",0,"","",""
29,6,1,7643,[],[],70,"",7,"[35,38,86]",0,"",0,71,[],"",1,1,[],0,"[14,15,17]",0,"",0,0,[],[],4205,4205,"","",0,1883,"",0,"","",""
30,6,2,7644,[],[],72,"",7,"[35,38,86]",0,"",0,73,[],"",1,1,[],0,"[14,15,17]",0,"",0,0,[],[],4205,4205,"","",0,1883,"",0,"","",""
31,6,3,7645,[],[],74,"",7,"[35,38,86]",0,"",0,75,[],"",1,1,[],0,"[14,15,17]",0,"",0,0,[],[],4205,4205,"","",0,1883,"",0,"","",""
32,6,4,7646,[],[],76,"",7,"[35,38,86]",0,"",0,77,[],"",1,1,[],0,"[14,15,17]",0,"",0,0,[],[],4205,4205,"","",0,1883,"",0,"","",""
33,6,5,7647,[],[],78,"",7,"[35,38,86]",0,"",0,79,[],"",1,1,[],0,"[14,15,17]",0,"",0,0,[],[],4205,4205,"","",0,1883,"",0,"","",""
34,6,6,7648,[],[],80,"",7,"[35,38,86]",0,"",0,81,[],"",1,1,[],0,"[14,15,17]",0,"",0,0,[],[],4205,4205,"","",0,1883,"",0,"","",""
35,6,7,7649,[],[],82,"",7,"[35,38,86]",0,"",0,100,[],"",1,1,[],0,"[14,15,17]",0,"",0,0,[],[],4205,4205,"","",0,1883,"",0,"","",""
36,6,8,"",[3],[3],72,"Fortune Favours the Brave",2,[35],0,"",0,0,[],"One of the options available from this device will be applied at random, including options you have not yet unlocked.",1,"",[],0,[14],0,"",0,0,[],[7867],4205,4205,"","",3,"","",0,"","",""
37,6,9,"",[3],[1],101,"Alternate of Same Tier (Tier 1-10)",3,[35],0,"",0,0,[],"Requires a Rare Map of Tier 10 or below. Opens a random Map of the same Tier with random Mods. Excludes the Map placed in the device.",1,"",[],0,[14],0,"",0,0,[],[],4205,4205,"","",3,"","",0,"","",""
38,6,10,"",[3],[2],101,"Shaped (Tier 1-5)",4,[35],0,"",0,0,[],"Requires a Rare Map of Tier 5 or below. Opens a version of your Map that is 5 Tiers higher, with random Mods.",1,"",[],0,[14],0,"",0,0,[],[],4205,4205,"","",3,"","",0,"","",""
39,6,11,"",[3],[6],101,"Shaped (Tier 1-10)",5,[35],0,"",0,0,[],"Requires a Rare Map of Tier 10 or below. Opens a version of your Map that is 5 Tiers higher, with random Mods and a chance to be Corrupted.",1,"",[],0,[14],0,"",0,0,[],[],4205,4205,"","",3,"","",0,"","",""
40,6,12,"",[3],[15],101,"Elder (Tier 1-15)",6,[35],0,"",0,0,[],"Requires a Rare Map of Tier 15 or below. Opens a version of your Map that is set to Tier 16, with random Mods and a chance to be Corrupted.",1,"",[],0,[14],0,"",0,0,[],[],4205,4205,"","",3,"","",0,"","",""
41,6,13,7690,[],[],68,"Infused Anarchy",7,[35],0,"",0,0,[],"",1,1,[],0,[14],0,"",0,0,[],[7015],4205,4205,"","",0,2140,"",1,"","",""
42,6,14,7682,[],[],101,"Infused Nemesis",7,[35],0,"",0,0,[],"",1,1,[],0,[14],0,"",0,0,[],[7015],4205,4205,"","",0,2126,"",1,"","",""
43,6,15,7676,[],[],68,"Infused Domination",7,[35],0,"",0,0,[],"",1,1,[],0,[14],0,"",0,0,[],[7015],4205,4205,"","",0,2122,"",1,"","",""
44,6,16,7774,[],[],101,"Infused Bloodlines",7,[35],0,"",0,0,[],"",1,1,[],0,[14],0,"",0,0,[],[7015],4205,4205,"","",0,2165,"",1,"","",""
45,6,17,7703,[],[],68,"Infused Rampage",7,[35],0,"",0,0,[],"",1,1,[],0,[14],0,"",0,0,[],[7015],4205,4205,"","",0,2141,"",1,"","",""
