"rownum","WorldAreasKey","MonsterVarietiesKeys","TerrainMetadata"
0,1092,[5362],"Metadata/Monsters/KitavaDemon/KitavaDemonSpawnerPlaguewingMapElderClone"
1,1093,[2407],""
2,1094,"[2385,2379,2382]",""
3,1095,[2349],""
4,1096,[5603],""
5,1097,"[3692,3692,5050]",""
6,1098,[5941],"Metadata/Terrain/EndGame/MapDesert/Objects/MummyEventSpawnerKiraElderClone"
7,1099,[2365],""
8,1100,[4618],""
9,1101,[4178],""
10,1102,"[4445,4451,4452,4453,4454]",""
11,1103,[5062],""
12,1104,[2468],""
13,1105,"[4020,4065]",""
14,1106,[3951],""
15,1107,[2368],""
16,1108,[4006],""
17,1109,[2394],""
18,1110,[5990],""
19,1111,"[2495,2498]",""
20,1112,"[5040,5158,5162]",""
21,1113,[2345],""
22,1114,"[2596,2669,2647]",""
23,1115,"[2437,2450]",""
24,1117,[4588],""
25,1119,[4088],""
26,1120,[258],""
27,1121,[4122],""
28,1122,"[4471,4478,4479,4480,4481]",""
29,1123,"[4153,4166]",""
30,1124,[5912],""
31,1125,[5971],""
32,1126,[1401],""
33,1127,[2472],""
34,1128,[3328],""
35,1129,[3895],""
36,1130,[2543],""
37,1131,[1396],""
38,1132,[8699],""
39,1133,[4543],""
40,1134,[2376],""
41,1135,[1192],"Metadata/Terrain/EndGame/MapMausoleum/Objects/TolmanBossSpawnerMapElderClone"
42,1136,[5561],""
43,1137,[2461],"Metadata/Monsters/Spiders/SpiderBoss/MapBossSpawnerSimplifiedElderClone"
44,1138,[4261],""
45,1139,[1982],""
46,1140,[2486],""
47,1141,[4352],""
48,1142,[2447],""
49,1143,[1053],""
50,1145,[5869],""
51,1147,"[2421,2430]",""
52,1148,[2372],""
53,1243,[5591],""
54,1150,[2355],""
55,1151,[2031],""
56,1152,[2501],""
57,1153,[2361],""
58,1154,[1022],""
59,1155,[2399],""
60,1157,[3216],""
61,1159,[1516],""
62,1160,[2457],"Metadata/Monsters/Spiders/SpiderBoss/MapBossSpawnerElderClone"
63,1161,[1949],""
64,1162,[2049],""
65,1163,[1565],""
66,1164,[5531],""
67,1165,"[1430,1468,1485]",""
68,1167,[4091],""
69,1168,[2528],""
70,1169,"[1302,1329,1332]",""
71,1171,[2743],""
72,1172,[2388],""
73,1174,[2483],""
74,1176,[2402],""
75,1177,[5496],""
76,1179,"[5984,5979]",""
77,1180,"[3692,5326]",""
78,1181,[5378],""
79,1182,"[1057,1060]",""
80,1183,[75],""
81,1184,[4621],""
82,1185,[5520],""
83,1187,"[4555,4558,4561]",""
84,1188,[4254],""
85,1190,[4269],""
86,1191,[5616],""
87,1193,"[4417,4422,4423,4424,4425]",""
88,1194,[5581],""
89,1195,[2546],""
90,1196,[3976],""
91,1197,"[2591,2607,2637]",""
92,1198,[2491],""
93,1199,[1952],""
94,1200,[2342],""
95,1202,[4666],""
96,1203,"[2504,2507]",""
97,1205,[4762],""
98,1206,[2531],""
99,1207,[4277],""
100,1208,[2391],""
101,1209,"[194,4624]",""
102,1210,[4291],""
103,1211,[6031],""
104,1212,[2465],""
105,1213,[4181],""
106,1215,[5313],""
107,1216,"[5830,3692]",""
108,1217,[5996],""
109,1219,[2440],""
110,1220,"[4035,4056,4078]",""
111,1221,[1630],""
112,1222,[7301],""
113,1224,[3483],""
114,1226,"[4202,4196,4188]",""
115,1227,[4145],""
116,1228,[2524],""
117,1229,[1020],""
118,1230,[1383],""
119,1231,[5882],""
120,1232,"[2511,3692]",""
121,1233,[3042],""
122,1234,"[6091,3692]",""
123,1235,"[3692,4280]",""
124,1236,[4208],""
125,1237,"[4484,4486]",""
126,1238,[4758],""
127,1239,[5847],""
128,1240,[4662],""
129,1241,[5924],""
130,1242,"[1633,1640]",""
131,1149,[4523],""
132,1244,[5308],""
133,1245,[5578],""
134,1246,[5337],""
135,1247,[6014],""
136,1248,[5036],""
137,1249,[5029],""
138,1250,[5024],""
139,1251,[5033],""
140,1252,[5122],""
141,1253,"[3307,3310,3313]",""
142,1259,[8480],""
143,1261,[8455],""
144,1262,"[8427,8431,8435]",""
145,1263,[8495],""
146,1265,[8464],"Metadata/Terrain/EndGame/MapBurn/Objects/BossEventSarcophagusElder"
147,1266,[8472],""
148,1267,[8727],""
149,1268,[8486],""
150,1269,"[5483,5507]",""
151,1270,"[8439,8442,8445]",""
152,1271,[6490],""
