"rownum","rid","Tier","Text","i32","[rid]","[i32]","i32","RuneItem","[i32]","Stats","StatsValues","UpgradeTextAudio"
0,0,1,"Establish Recruitment",131,[],[],5,[],[],"[20433,20434,20476]","[15,3,1]",19238
1,0,2,"Can establish Farming, Smelting and Runesmithing\nRecruits can have job specialty up to rank 2\n(this improvement increases the reroll cost for new recruits)\nFaustus offers Black Market deals",1344,[6],[5],15,[],[],[20476],[1],19239
2,0,3,"+20 to Maximum Town Population\nRecruits can have job specialty up to rank 3\n(this improvement increases the reroll cost for new recruits)",1345,"[6,10]","[10,10]",50,[],[],"[20433,20476]","[20,1]",19240
3,0,4,"+2 to number of new Recruits when Rerolling\nRecruits can have job specialty up to rank 4\n(this improvement increases the reroll cost for new recruits)",1346,"[7,10,11]","[40,20,10]",370,[],[],"[20434,20476]","[2,1]",19241
4,0,5,"Can establish Disenchanting and Recombination\nRecruits can have job specialty up to rank 5\n(this improvement increases the reroll cost for new recruits)",1347,"[8,11,12]","[60,35,15]",900,[],[],[20476],[1],19242
5,0,6,"+25 to Maximum Town Population\nRecruits can have job specialty up to rank 6\n(this improvement increases the reroll cost for new recruits)",1348,"[8,10,12]","[200,40,150]",3170,[],[],"[20433,20476]","[25,1]",19243
6,0,7,"Can establish Mapping\nRecruits can have job specialty up to rank 7\n(this improvement increases the reroll cost for new recruits)",1349,"[9,12,13]","[225,125,250]",5760,[],[],[20476],[1],19244
7,0,8,"+2 to number of new Recruits when Rerolling\nRecruits can have job specialty up to rank 8\n(this improvement increases the reroll cost for new recruits)",1350,"[9,11,13]","[415,350,350]",12680,[],[],"[20434,20476]","[2,1]",19245
8,0,9,"+30 to Maximum Town Population\nRecruits can have job specialty up to rank 9\n(this improvement increases the reroll cost for new recruits)",1351,"[19,13,14]","[120,600,1100]",17410,[],[],"[20433,20476]","[30,1]",19246
9,0,10,"Recruits can have job specialty up to rank 10\n(this improvement increases the reroll cost for new recruits)",1352,"[19,13,14]","[160,1750,1500]",20225,[],[],[20476],[1],19247
10,0,11,"25% reduced Recruitment Reroll Cost\nRaulf offers an Improved Reroll",1353,"[10,13,14]","[2500,2000,2000]",100000,[],[],"[20483,20476,20807]","[-25,1,1]",19248
11,1,1,"Establish Mining",613,[],[],10,[],[],"[20419,20418]","[1,3]",""
12,1,2,"+2 to Maximum Miners\nCan Mine Orichalcum\n15% increased Mining Speed",1354,[5],[3],25,[],[],"[20419,20418,20400]","[1,2,15]",""
13,1,3,"+2 to Maximum Miners\nCan Mine Petrified Amber",1355,"[5,6,10]","[10,8,10]",120,[],[],"[20419,20418]","[1,2]",""
14,1,4,"+2 to Maximum Miners\nCan Mine Bismuth",1356,"[15,16,17,10]","[5,5,5,10]",700,[],[],"[20419,20418]","[1,2]",""
15,1,5,"10% increased Ore found in Areas",1357,"[15,17,18]","[30,15,10]",2240,[],[],[20573],[10],""
16,1,6,"+3 to Maximum Miners\nCan Mine Verisium",1358,"[16,18,11]","[40,25,20]",6200,[],[],"[20419,20418]","[1,3]",""
17,1,7,"15% increased Mining Speed",1359,"[15,16,19]","[80,70,25]",10645,[],[],[20400],[15],""
18,1,8,"15% increased Ore found in Areas",1360,"[16,17,19]","[150,100,35]",16685,[],[],[20573],[15],""
19,1,9,"Ores found in Areas are more likely to be rarer varieties",1361,"[15,17,19]","[200,120,50]",22515,[],[],[20571],[1],""
20,1,10,"20% increased Ore found in Areas",1362,"[16,18,12]","[250,100,100]",27155,[],[],[20573],[20],""
