"rownum","Id","MonsterVarieties","i32","bool","i32","i32","bool","bool","bool"
0,"FireMeteor",[8729],999,"",4000,4000,"","",1
1,"FireMeteorUber",[8730],999,"",4000,4000,"","",1
2,"ColdRotatingBeam",[8731],1,"",800,0,1,"",""
3,"ColdRotatingBeamUber",[8732],1,"",800,0,1,"",""
4,"ChaosSoulrendPortal",[8733],999,"",6000,6000,"","",1
5,"ChaosSoulrendPortalUber",[8734],999,"",6000,6000,"","",1
6,"NamelessFrog","[8749,8750]",10,1,4000,4000,"","",""
7,"LightningPylon",[8735],16,"",50,0,"",1,""
8,"LightningPylonUber",[8736],16,"",50,0,"",1,""
9,"Necromantic1","[3726,3727,3728,3729,3730,3731,3732,3733,3734,3735,3736,3737,3740,3741,3742,3743,3744,3745,3746,3747]",4,1,6000,0,"","",1
10,"Necromantic2","[3726,3727,3728,3729,3730,3731,3732,3733,3734,3735,3736,3737,3740,3741,3742,3743,3744,3745,3746,3747]",5,1,5000,0,"","",1
11,"Necromantic3","[3726,3727,3728,3729,3730,3731,3732,3733,3734,3735,3736,3737,3739,3740,3741,3742,3743,3744,3745,3746,3747]",6,1,4000,0,"","",1
12,"Necromantic4","[3726,3727,3728,3729,3730,3731,3732,3733,3734,3735,3736,3737,3739,3740,3741,3742,3743,3744,3745,3746,3747]",7,1,3000,0,"","",1
13,"Vaal",[8737],1,"",800,0,1,"",""
14,"Golden",[8738],999,"",4000,0,"","",1
15,"PhysicalBleed",[8740],999,"",8000,0,"","",1
16,"PhysicalBleedUber",[8741],4,"",5000,0,"",1,1
17,"ChaosGreenVines",[8747],1,"",800,0,1,"",""
18,"GenericLifeQuicksand",[8744],999,"",2000,2000,"","",1
19,"GenericCharges",[8742],1,"",300,0,1,"",""
20,"GenericMassive",[8743],1,"",300,0,1,"",""
21,"GenericSpeed",[8739],1,"",300,0,1,"",""
22,"GenericFortify",[8745],999,"",5000,0,"","",1
23,"GenericEnergyShield",[8746],1,"",300,0,1,"",""
24,"UltimatumChaosCloud1",[8917],1,"",1000,0,"","",""
25,"UltimatumChaosCloud2",[8918],1,"",1000,0,"","",""
26,"UltimatumChaosCloud3",[8919],1,"",1000,0,"","",""
27,"UltimatumChaosCloud4",[8920],1,"",1000,0,"","",""
28,"UltimatumLightningRune1",[8921],3,"",50,0,"",1,1
29,"UltimatumLightningRune2",[8922],3,"",50,0,"",1,1
30,"UltimatumLightningRune3",[8922],5,"",50,0,"",1,1
31,"UltimatumLightningRune4",[8923],5,"",50,0,"",1,1
32,"UltimatumLightningRune1Trial",[8921],3,"",50,0,"","",""
33,"UltimatumLightningRune2Trial",[8922],3,"",50,0,"","",""
34,"UltimatumFlameSpitter1",[8952],2,"",50,0,"",1,1
35,"UltimatumFlameSpitter2",[8952],4,"",50,0,"",1,1
36,"UltimatumFlameSpitter3",[8953],4,"",50,0,"",1,1
37,"UltimatumFlameSpitter4",[8954],4,"",50,0,"",1,1
38,"UltimatumFlameSpitter1Trial",[8952],1,"",0,0,"",1,1
39,"UltimatumFlameSpitter2Trial",[8952],2,"",50,0,"",1,1
40,"UltimatumFlameSpitter3Trial",[8953],2,"",50,0,"",1,1
41,"UltimatumFlameSpitter4Trial",[8954],2,"",50,0,"",1,1
42,"UltimatumFrostInfection1",[8931],1,"",0,0,1,"",""
43,"UltimatumFrostInfection2",[8932],1,"",0,0,1,"",""
44,"UltimatumFrostInfection3",[8933],1,"",0,0,1,"",""
45,"UltimatumFrostInfection4",[8934],1,"",0,0,1,"",""
46,"UltimatumGraveyard1",[8949],2,"",50,0,"",1,1
47,"UltimatumGraveyard2",[8949],4,"",50,0,"",1,1
48,"UltimatumGraveyard3",[8950],4,"",50,0,"",1,1
49,"UltimatumGraveyard4",[8951],4,"",50,0,"",1,1
50,"UltimatumGraveyard1Trial",[8949],1,"",0,0,"",1,1
51,"UltimatumGraveyard2Trial",[8949],2,"",50,0,"",1,1
52,"UltimatumGraveyard3Trial",[8950],2,"",50,0,"",1,1
53,"UltimatumGraveyard4Trial",[8951],2,"",50,0,"",1,1
54,"UltimatumRevenant1",[8937],1,"",0,0,"",1,1
55,"UltimatumRevenant2",[8938],1,"",0,0,"",1,1
56,"UltimatumRevenant3",[8939],1,"",0,0,"",1,1
57,"UltimatumRevenant4",[8940],1,"",0,0,"",1,1
58,"UltimatumSawblade1",[8941],1,"",0,0,1,"",""
59,"UltimatumSawblade2",[8942],1,"",0,0,1,"",""
60,"UltimatumSawblade3",[8943],1,"",0,0,1,"",""
61,"UltimatumSawblade4",[8944],1,"",0,0,1,"",""
62,"UltimatumTotemPhys",[8956],1,"",0,0,"",1,1
63,"UltimatumTotemEle",[8957],1,"",0,0,"",1,1
64,"UltimatumAltarDaemon1",[8958],1,"",1000,0,1,1,""
65,"UltimatumAltarDaemon2",[8959],1,"",1000,0,1,1,""
