"rownum","Id","rid","Portrait","TribeIcon","TribeName","FavourTracker","[rid]","Name","rid","rid","rid","rid","[rid]","rid","[rid]","i32","i32","i32","i32","rid"
0,"NoTribe",584,"Art/2DArt/UIImages/InGame/AncestralTrial/MatchSelection/NavaliPortrait","Art/2DArt/UIImages/InGame/AncestralTrial/MatchSelection/NavaliIcon","","Art/2DArt/UIImages/InGame/AncestralTrial/TradingPhase/NavaliFavourTracker",[],"","","","","",[],"",[],10,10,10,10,""
1,"Ngamahu",586,"Art/2DArt/UIImages/InGame/AncestralTrial/MatchSelection/NgamahuTribeLeaderPortrait","Art/2DArt/UIImages/InGame/AncestralTrial/MatchSelection/NgamahuTribeIcon","Ngamahu Tribe","Art/2DArt/UIImages/InGame/AncestralTrial/TradingPhase/NgamahuFavourTracker",[693],"Ngamahu",2169,1522,2332,2179,[9734],606,[9831],6,8,10,10,596
2,"Tasalio",587,"Art/2DArt/UIImages/InGame/AncestralTrial/MatchSelection/TasalioTribeLeaderPortrait","Art/2DArt/UIImages/InGame/AncestralTrial/MatchSelection/TasalioTribeIcon","Tasalio Tribe","Art/2DArt/UIImages/InGame/AncestralTrial/TradingPhase/TasalioFavourTracker",[],"Tasalio",2170,1523,2335,2180,[9735],607,[9832],6,6,6,10,597
3,"Arohongui",588,"Art/2DArt/UIImages/InGame/AncestralTrial/MatchSelection/ArohonguiTribeLeaderPortrait","Art/2DArt/UIImages/InGame/AncestralTrial/MatchSelection/ArohonguiTribeIcon","Arohongui Tribe","Art/2DArt/UIImages/InGame/AncestralTrial/TradingPhase/ArohonguiFavourTracker",[],"Arohongui",2171,1524,2336,2181,[9736],608,[9833],6,8,8,10,601
4,"Valako",589,"Art/2DArt/UIImages/InGame/AncestralTrial/MatchSelection/ValakoTribeLeaderPortrait","Art/2DArt/UIImages/InGame/AncestralTrial/MatchSelection/ValakoTribeIcon","Valako Tribe","Art/2DArt/UIImages/InGame/AncestralTrial/TradingPhase/ValakoFavourTracker",[],"Valako",2172,1525,2337,2184,[9737],609,[9834],8,10,8,8,600
5,"Hinekora",590,"Art/2DArt/UIImages/InGame/AncestralTrial/MatchSelection/HinekoraTribeLeaderPortrait","Art/2DArt/UIImages/InGame/AncestralTrial/MatchSelection/HinekoraTribeIcon","Hinekora Tribe","Art/2DArt/UIImages/InGame/AncestralTrial/TradingPhase/HinekoraFavourTracker",[],"Hinekora",2173,1526,2338,2185,[9738],610,[9835],10,8,8,10,605
6,"Tawhoa",591,"Art/2DArt/UIImages/InGame/AncestralTrial/MatchSelection/TawhoaTribeLeaderPortrait","Art/2DArt/UIImages/InGame/AncestralTrial/MatchSelection/TawhoaTribeIcon","Tawhoa Tribe","Art/2DArt/UIImages/InGame/AncestralTrial/TradingPhase/TawhoaFavourTracker",[],"Tawhoa",2174,1527,2339,2327,[9739],611,[9836],10,10,10,10,599
7,"Kitava",592,"Art/2DArt/UIImages/InGame/AncestralTrial/MatchSelection/KitavaTribeLeaderPortrait","Art/2DArt/UIImages/InGame/AncestralTrial/MatchSelection/KitavaTribeIcon","Kitava Tribe","Art/2DArt/UIImages/InGame/AncestralTrial/TradingPhase/KitavaFavourTracker","[1077,1085]","Kitava",2175,1902,2340,2328,[9740],612,[9837],8,10,10,8,598
8,"Ramako",593,"Art/2DArt/UIImages/InGame/AncestralTrial/MatchSelection/RamakoTribeLeaderPortrait","Art/2DArt/UIImages/InGame/AncestralTrial/MatchSelection/RamakoTribeIcon","Ramako Tribe","Art/2DArt/UIImages/InGame/AncestralTrial/TradingPhase/RamakoFavourTracker",[],"Ramako",2176,1971,2341,2329,[9741],613,[9838],10,8,8,8,603
9,"Tukohama",594,"Art/2DArt/UIImages/InGame/AncestralTrial/MatchSelection/TukohamaTribeLeaderPortrait","Art/2DArt/UIImages/InGame/AncestralTrial/MatchSelection/TukohamaTribeIcon","Tukohama Tribe","Art/2DArt/UIImages/InGame/AncestralTrial/TradingPhase/TukohamaFavourTracker",[],"Tukohama",2177,1987,2354,2330,[9742],614,[9839],6,8,10,8,604
10,"Rongokurai",595,"Art/2DArt/UIImages/InGame/AncestralTrial/MatchSelection/RongokuraiTribeLeaderPortrait","Art/2DArt/UIImages/InGame/AncestralTrial/MatchSelection/RongokuraiTribeIcon","Rongokurai Tribe","Art/2DArt/UIImages/InGame/AncestralTrial/TradingPhase/RongokuraiFavourTracker",[],"Rongokurai",2178,2068,2355,2331,[9743],615,[9840],6,6,10,6,602
