"rownum","Id","Icon_DDSFile","Stats","Stat1Value","Stat2Value","Stat3Value","Stat4Value","PassiveSkillGraphId","Name","Characters","IsKeystone","IsNotable","FlavourText","IsJustIcon","AchievementItem","IsJewelSocket","Ascendancy","IsAscendancyStartingNode","ReminderStrings","SkillPointsGranted","IsMultipleChoice","IsMultipleChoiceOption","Stat5Value","PassiveSkillBuffs","IsAnointmentOnly","i32","IsExpansion","IsProxyPassive","SkillType","MasteryGroup","Group","SoundEffect","AtlasnodeGroup","i32","i32","i32","i32","i32","bool","[rid]","i32","[rid]","bool","KeystoneId","bool","IsAttribute","AtlasSubTree","IsRootOfAtlasTree","GrantedSkill","WeaponPointsGranted"
0,"attributes1","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18749],2,0,0,0,3251,"Attribute",[],"","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0
1,"attributes2","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18749],1,0,0,0,3041,"Attribute",[],"","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0
2,"attributes3","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18749],1,0,0,0,4140,"Attribute",[],"","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0
3,"attributes4","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18749],1,0,0,0,32474,"Attribute",[],"","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0
4,"attributes5","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18749],1,0,0,0,59785,"Attribute",[],"","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0
5,"attributes6","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18749],1,0,0,0,62498,"Attribute",[],"","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0
6,"attributes7","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18749],1,0,0,0,8493,"Attribute",[],"","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0
7,"attributes8_","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18749],1,0,0,0,58814,"Attribute",[],"","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0
8,"attributes9","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18749],1,0,0,0,30657,"Attribute",[],"","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0
9,"attributes10","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18749],1,0,0,0,27705,"Attribute",[],"","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0
10,"attributes11","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18749],1,0,0,0,30808,"Attribute",[],"","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0
11,"attributes12","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18749],1,0,0,0,47976,"Attribute",[],"","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0
12,"attributes13","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18749],1,0,0,0,48552,"Attribute",[],"","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0
13,"attributes14","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18749],1,0,0,0,31238,"Attribute",[],"","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0
14,"attributes15","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18749],1,0,0,0,30141,"Attribute",[],"","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0
15,"attributes16","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18749],1,0,0,0,18448,"Attribute",[],"","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0
16,"attributes17_","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18749],1,0,0,0,28304,"Attribute",[],"","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0
17,"attributes18","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18749],1,0,0,0,37258,"Attribute",[],"","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0
18,"attributes19","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18749],1,0,0,0,24922,"Attribute",[],"","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0
19,"attributes20-","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18749],1,0,0,0,34201,"Attribute",[],"","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0
20,"attributes21","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18749],1,0,0,0,46819,"Attribute",[],"","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0
21,"attributes22_","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18749],1,0,0,0,32183,"Attribute",[],"","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0
22,"attributes23","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18749],1,0,0,0,4059,"Attribute",[],"","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0
23,"attributes24","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18749],1,0,0,0,10382,"Attribute",[],"","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0
24,"attributes25","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18749],1,0,0,0,42379,"Attribute",[],"","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0
25,"attributes26","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18749],1,0,0,0,41017,"Attribute",[],"","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0
26,"attributes27","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18749],1,0,0,0,14262,"Attribute",[],"","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0
27,"attributes28","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18749],1,0,0,0,11604,"Attribute",[],"","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0
28,"attributes29","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18749],1,0,0,0,63888,"Attribute",[],"","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0
29,"attributes30_","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18749],1,0,0,0,48635,"Attribute",[],"","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0
30,"attributes31","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18749],1,0,0,0,28002,"Attribute",[],"","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0
31,"attributes32","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18749],1,0,0,0,57703,"Attribute",[],"","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0
32,"attributes33","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18749],1,0,0,0,34840,"Attribute",[],"","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0
33,"attributes34","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18749],1,0,0,0,15671,"Attribute",[],"","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0
34,"attributes35","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18749],1,0,0,0,49996,"Attribute",[],"","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0
35,"attributes36","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18749],1,0,0,0,27500,"Attribute",[],"","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0
36,"attributes37","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18749],1,0,0,0,20952,"Attribute",[],"","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0
37,"attributes38","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18749],1,0,0,0,49046,"Attribute",[],"","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0
38,"attributes39","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18749],1,0,0,0,42736,"Attribute",[],"","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0
