"rownum","Id","Name","AOFile","ACTFile","BaseMaxLife","BaseMaxMana","WeaponSpeed","MinDamage","MaxDamage","MaxAttackDistance","Icon","IntegerId","BaseStrength","BaseDexterity","BaseIntelligence","[rid]","Description","StartSkillGem","rid","i32","i32","CharacterSize","i32","i32","i32","IntroSoundFile","StartWeapons","Gender","TraitDescription","rid","rid","[rid]","rid","rid","i32","PassiveTreeImage","i32","i32","AttrsAsId","LoginScreen","PlayerCritter","PlayerEffect","AfterImage","Mirage","CloneImmobile","ReplicateClone","LightningClone","f32","f32","SkillTreeBackground","Clone","[rid]","MirageWarrior","DoubleTwo","DarkExile","Attr","AttrLowercase","Script","rid","i32","f32","f32","f32","BaseClass","i32","rid","[rid]","f32","GemCuttingIcon"
0,"Metadata/Characters/Str/StrFour","Marauder","Metadata/Characters/Str/StrFour.ao","Metadata/Characters/Str/StrFour.act",16,30,833,2,8,8,"",0,15,7,7,[818],"Hear me, Ancestors! A warrior stands before you, a man who chooses his own Way. I fight without fear, and should I die, know that my war will continue in the Halls of the Dead. Neither monster nor man shall stand in my way.",458,0,5,0,0,0,1,2,"Audio/Dialogue/Character/Str42D/Mar_01.ogg",[1693],"M","Trait: Counters blocking with offhand","","",[],609,372,1,"Art/2DArt/BaseClassIllustrations/MarauderBaseIllustration.dds",240,0,"StrFour","Metadata/Characters/Str/StrFourLoginScene.ao","Metadata/Critters/PlayerCritters/StrCritter","Metadata/Effects/PlayerEffects/StrFourEffect","Metadata/Effects/Spells/maneuver_mechanics/AfterImage/StrFourAfterImage",91,85,97,151,350,-574,"Art/2DArt/UIImages/InGame/Classes/Str/PassiveSkillScreenStartNodeBackground",73,[],38,166,44,"Str","str","str_back",516,100,1,190,1,"Marauder",1,1693,[],103,"Art/Textures/Interface/2D/2DArt/UIImages/InGame/Gemcutting/GemcuttingIconMarauder.dds"
1,"Metadata/Characters/Int/IntFour","Witch","Metadata/Characters/Int/IntFour.ao","Metadata/Characters/Int/IntFour.act",16,30,833,2,5,8,"",1,7,7,15,[818],"I do not fear death. I am its master. Darkness and the dead are my weapons of war. My enemies will rot from the inside out, as my army of corpses tears them screaming limb from limb.",2825,0,5,0,0,0,1,2,"",[1810],"F","Trait: Natural resilience to Chaos","","",[],611,"",1,"Art/2DArt/BaseClassIllustrations/WitchBaseIllustration.dds",240,0,"IntFour","Metadata/Characters/Int/IntFourLoginScene.ao","Metadata/Critters/PlayerCritters/IntCritter","Metadata/Effects/PlayerEffects/IntFourEffect","Metadata/Effects/Spells/maneuver_mechanics/AfterImage/IntFourAfterImage",93,87,99,155,0,0,"Art/2DArt/UIImages/InGame/Classes/Int/PassiveSkillScreenStartNodeBackground",75,[],40,168,46,"Int","int","int_back",553,80,1,190,1,"Witch",3,1862,"[9,10,11]",92.5,"Art/Textures/Interface/2D/2DArt/UIImages/InGame/Gemcutting/GemcuttingIconWitch.dds"
2,"Metadata/Characters/Dex/DexFour","Ranger","Metadata/Characters/Dex/DexFour.ao","Metadata/Characters/Dex/DexFour.act",16,30,833,2,5,8,"",2,7,15,7,[818],"All I need is a single well-placed arrow. I'm fleet of foot, and have the eyes of a hawk. Put a bow in my hands, and they'll die trying to catch me. ",401,0,5,0,0,0,1,2,"Audio/Dialogue/Character/Dex42D/Ranger_01.ogg",[1836],"F","Trait: Arrows fly fast and true","","",[],610,"",1,"Art/2DArt/BaseClassIllustrations/RangerBaseIllustration.dds",240,0,"DexFour","Metadata/Characters/Dex/DexFourLoginScene.ao","Metadata/Critters/PlayerCritters/DexCritter","Metadata/Effects/PlayerEffects/DexFourEffect","Metadata/Effects/Spells/maneuver_mechanics/AfterImage/DexFourAfterImage",92,86,98,153,-536,-281.92,"Art/2DArt/UIImages/InGame/Classes/Dex/PassiveSkillScreenStartNodeBackground",74,[],39,167,45,"Dex","dex","dex_back",552,80,1,190,1,"Ranger",2,2178,"[0,1,2]",90,"Art/Textures/Interface/2D/2DArt/UIImages/InGame/Gemcutting/GemcuttingIconRanger.dds"
3,"Metadata/Characters/StrDex/StrDexFour","Duelist","Metadata/Characters/StrDex/StrDexFour.ao","Metadata/Characters/StrDex/StrDexFour.act",16,30,833,2,6,8,"",3,11,11,7,[818],"Life is all about making an impact. Leaving a mark. Simply surviving is not good enough. If you're not doing it with style, why fight at all? Put a sword in my hand. I'll give you a show you won't soon forget.",2702,0,5,0,0,0,1,2,"Audio/Dialogue/Character/StrDex/Gameplay/D23_LevelUp_01.ogg",[1667],"M","Trait: Fast attack with offhand weapons","","",[],612,372,1,"Art/2DArt/BaseClassIllustrations/DuelistBaseIllustration.dds",240,0,"StrDexFour","Metadata/Characters/StrDex/StrDexFourLoginScene.ao","Metadata/Critters/PlayerCritters/StrDexCritter","Metadata/Effects/PlayerEffects/StrDexFourEffect","Metadata/Effects/Spells/maneuver_mechanics/AfterImage/StrDexFourAfterImage",94,88,100,157,0,-699.2,"Art/2DArt/UIImages/InGame/Classes/StrDex/PassiveSkillScreenStartNodeBackground",76,[],41,169,47,"StrDex","strdex","strdex_back",554,90,1,190,1,"Duelist",4,1667,[],100,"Art/Textures/Interface/2D/2DArt/UIImages/InGame/Gemcutting/GemcuttingIconGladiator.dds"
4,"Metadata/Characters/DexInt/DexIntFour","Shadow","Metadata/Characters/DexInt/DexIntFour.ao","Metadata/Characters/DexInt/DexIntFour.act",16,30,833,2,5,8,"",4,7,11,11,[818],"You were born with quickness of body and sharpness of mind. How have you paid for these gifts? With innocent blood.\r\n \r\nYours is a predatory profession. The business of butchery. You have stolen many a life to fill your purse.\r\n \r\nNow you will earn your redemption in Wraeclast.",2699,0,5,0,0,0,1,2,"Audio/Dialogue/Character/DexInt/Gameplay/Shadow_Level_02.ogg",[1771],"M","Trait: Poison remain potent for longer ","","",[],613,"",1,"Art/2DArt/BaseClassIllustrations/ShadowBaseIllustration.dds",240,0,"DexIntFour","Metadata/Characters/DexInt/DexIntFourLoginScene.ao","Metadata/Critters/PlayerCritters/DexIntCritter","Metadata/Effects/PlayerEffects/DexIntFourEffect","Metadata/Effects/Spells/maneuver_mechanics/AfterImage/DexIntFourAfterImage",96,90,102,161,0,-291.4,"Art/2DArt/UIImages/InGame/Classes/DexInt/PassiveSkillScreenStartNodeBackground",78,[],43,171,49,"DexInt","dexint","dexint_back",556,80,1,190,1,"Shadow",6,1771,[],96,"Art/Textures/Interface/2D/2DArt/UIImages/InGame/Gemcutting/GemcuttingIconShadow.dds"
5,"Metadata/Characters/StrInt/StrIntFour","Templar","Metadata/Characters/StrInt/StrIntFour.ao","Metadata/Characters/StrInt/StrIntFour.act",16,30,833,2,6,8,"",5,11,7,11,[818],"Do not mistake me for humble and weak because I am a man of God. No. We Templars have learned we must handle earthly affairs on our own. Though God is absent, evil shall not go unpunished.",468,0,5,0,0,0,1,2,"Audio/Dialogue/Character/StrInt/Gameplay/Templar_Level_01.ogg",[1797],"M","Trait: His Spirit is stronger than most","","",[],614,372,1,"Art/2DArt/BaseClassIllustrations/TemplarBaseIllustration.dds",240,0,"StrIntFour","Metadata/Characters/StrInt/StrIntFourLoginScene.ao","Metadata/Critters/PlayerCritters/StrIntCritter","Metadata/Effects/PlayerEffects/StrIntFourEffect","Metadata/Effects/Spells/maneuver_mechanics/AfterImage/StrIntFourAfterImage",95,89,101,159,717,182.4,"Art/2DArt/UIImages/InGame/Classes/StrInt/PassiveSkillScreenStartNodeBackground",77,[],42,170,48,"StrInt","strint","strint_back",555,80,1,190,1,"Templar",5,2141,[],98,"Art/Textures/Interface/2D/2DArt/UIImages/InGame/Gemcutting/GemcuttingIconTemplar.dds"
6,"Metadata/Characters/Str/StrFourb","Warrior","Metadata/Characters/Str/StrFourB.ao","Metadata/Characters/Str/StrFour.act",16,30,833,2,8,8,"",6,15,7,7,[818],"I wanted very little for myself. A forge, a bed. They took that all away when they burned down my home. Give me one good hammer, and they will find that there is nothing more dangerous than a man of peace roused to war.",461,0,5,0,0,0,1,2,"Audio/Dialogue/Character/Str42D/Mar_01.ogg",[1719],"M","Trait: Knockback opponents when attacking","","",[],609,372,1,"Art/2DArt/BaseClassIllustrations/WarriorBaseIllustration.dds",240,0,"StrFourb","Metadata/Characters/Str/StrFourBLoginScene.ao","Metadata/Critters/PlayerCritters/StrCritter","Metadata/Effects/PlayerEffects/StrFourEffect","Metadata/Effects/Spells/maneuver_mechanics/AfterImage/StrFourBAfterImage",91,1547,97,152,350,-574,"Art/2DArt/UIImages/InGame/Classes/Str/PassiveSkillScreenStartNodeBackground",73,[],38,166,44,"Str","str","str_back",516,100,1,190,1,"Marauder",1,2117,"[3,4,5]",103,"Art/Textures/Interface/2D/2DArt/UIImages/InGame/Gemcutting/GemcuttingIconWarrior.dds"
7,"Metadata/Characters/Int/IntFourb","Sorceress","Metadata/Characters/Int/IntFourB.ao","Metadata/Characters/Int/IntFour.act",16,30,833,2,5,8,"",7,7,7,15,[818],"The elements are mine to control. I know why lightning strikes, why fire burns, and why cold freezes. They do so because I command it. The vengeance of the Maraketh will find those who have transgressed no matter where they run.",378,0,5,0,0,0,1,2,"Audio/Dialogue/Character/Int42D/Witch_001.ogg",[1823],"F","Trait: Natural resilience to elements","","",[],611,"",1,"Art/2DArt/BaseClassIllustrations/SorceressBaseIllustration.dds",240,0,"IntFourb","Metadata/Characters/Int/IntFourBLoginScene.ao","Metadata/Critters/PlayerCritters/IntCritter","Metadata/Effects/PlayerEffects/IntFourEffect","Metadata/Effects/Spells/maneuver_mechanics/AfterImage/IntFourBAfterImage",93,1549,99,156,0,0,"Art/2DArt/UIImages/InGame/Classes/Int/PassiveSkillScreenStartNodeBackground",75,[],40,168,46,"Int","int","int_back",553,80,1,190,1,"Witch",3,"","[6,7,8]",92.5,"Art/Textures/Interface/2D/2DArt/UIImages/InGame/Gemcutting/GemcuttingIconSorceress.dds"
8,"Metadata/Characters/Dex/DexFourb","Huntress","Metadata/Characters/Dex/DexFourB.ao","Metadata/Characters/Dex/DexFour.act",16,30,833,2,5,8,"",8,7,15,7,[818],"The Spirit bid me leave my forests, only to find violence and death. Give me a spear! If they want blood, I will show them what it means to fight for survival.",453,0,5,0,0,0,1,2,"Audio/Dialogue/Character/Dex42D/Ranger_01.ogg",[1745],"F","Trait: Trained to block incoming attacks","","",[],610,"",1,"Art/2DArt/BaseClassIllustrations/HuntressBaseIllustration.dds",240,0,"DexFourb","Metadata/Characters/Dex/DexFourBLoginScene.ao","Metadata/Critters/PlayerCritters/DexCritter","Metadata/Effects/PlayerEffects/DexFourEffect","Metadata/Effects/Spells/maneuver_mechanics/AfterImage/DexFourBAfterImage",92,1548,98,154,-536,-281.92,"Art/2DArt/UIImages/InGame/Classes/Dex/PassiveSkillScreenStartNodeBackground",74,[],39,167,45,"Dex","dex","dex_back",552,80,1,190,1,"Ranger",2,2152,[],90,"Art/Textures/Interface/2D/2DArt/UIImages/InGame/Gemcutting/GemcuttingIconHuntress.dds"
9,"Metadata/Characters/StrDex/StrDexFourb","Mercenary","Metadata/Characters/StrDex/StrDexFourB.ao","Metadata/Characters/StrDex/StrDexFour.act",16,30,833,2,6,8,"",9,11,11,7,[818],"You've got a weapon, I'll wield it. Just tell me where to point it. I've seen the highs and horrors of war, and I'll do whatever it takes to survive. If you've got coin, I'm your man.",3047,0,5,0,0,0,1,2,"Audio/Dialogue/Character/StrDex/Gameplay/D23_LevelUp_01.ogg",[1849],"M","Trait: Totems remain for longer","","",[],612,372,1,"Art/2DArt/BaseClassIllustrations/MercenaryBaseIllustration.dds",240,0,"StrDexFourb","Metadata/Characters/StrDex/StrDexFourBLoginScene.ao","Metadata/Critters/PlayerCritters/StrDexCritter","Metadata/Effects/PlayerEffects/StrDexFourEffect","Metadata/Effects/Spells/maneuver_mechanics/AfterImage/StrDexFourBAfterImage",94,1550,100,158,0,-699.2,"Art/2DArt/UIImages/InGame/Classes/StrDex/PassiveSkillScreenStartNodeBackground",76,[],41,169,47,"StrDex","strdex","strdex_back",554,90,1,190,1,"Duelist",4,"","[15,16,17]",100,"Art/Textures/Interface/2D/2DArt/UIImages/InGame/Gemcutting/GemcuttingIconMercenary.dds"
