"rownum","Metadata","AreaLevel","SpawnsMonsters","i32","i32","i32","i32","i32","i32","i32","i32","bool","bool","bool","bool","bool","bool","i32","i32","i32","i32","rid","bool","bool","Script1","bool","bool","Script2","[i32]","i32","i32","i32","i32","i32","i32","i32","i32"
0,"Metadata/Monsters/LeagueExpedition/Olroth/Objects/OlrothAddSpawnerPhase1",1,"[530,544]",4800,0,0,1600,3200,0,0,65793,"",1,"","","","",2,0,0,0,"","","","triggerer.DoAction(WalkEmerge);","",1,"","[3,1]",0,3000,0,0,1000,1000,2,2
1,"Metadata/Monsters/LeagueExpedition/Olroth/Objects/OlrothAddSpawnerPhase2",1,"[530,544]",4800,0,0,1600,3200,0,0,65793,"",1,"","","","",2,0,0,0,"","","","triggerer.DoAction(WalkEmerge);","",1,"","[3,1]",0,3000,0,0,1000,1000,2,2
2,"Metadata/Terrain/Leagues/Expedition/Objects/Spawners/ExpeditionFodderSpawnerInstant",1,"[528,529,531]",0,3,30,0,0,0,0,256,1,"","","","",1,0,0,0,0,1,"","","triggerer.DoAction( Emerge ); triggerer.PlayEffect( \""Metadata/Effects/Spells/monsters_effects/act4/skeletonsoldier/emerge/emergefx.ao\"" );","","","",[],0,200,0,0,3,3,3,3
3,"Metadata/Terrain/Leagues/Expedition/Objects/Spawners/ExpeditionFodderSpawnerInstant",10,"[528,529,531]",0,3,30,0,0,0,0,256,1,"","","","",1,0,0,0,0,1,"","","triggerer.DoAction( Emerge ); triggerer.PlayEffect( \""Metadata/Effects/Spells/monsters_effects/act4/skeletonsoldier/emerge/emergefx.ao\"" );","","","",[],0,200,0,0,3,3,3,3
4,"Metadata/Terrain/Leagues/Expedition/Objects/Spawners/ExpeditionFodderSpawnerInstant",15,"[528,529,531]",0,3,30,0,0,0,0,256,1,"","","","",1,0,0,0,0,1,"","","triggerer.DoAction( Emerge ); triggerer.PlayEffect( \""Metadata/Effects/Spells/monsters_effects/act4/skeletonsoldier/emerge/emergefx.ao\"" );","","","",[],0,150,0,0,4,4,4,4
5,"Metadata/Terrain/Leagues/Expedition/Objects/Spawners/ExpeditionFodderSpawnerInstant",20,"[528,529,531]",0,3,30,0,0,0,0,256,1,"","","","",1,0,0,0,0,1,"","","triggerer.DoAction( Emerge ); triggerer.PlayEffect( \""Metadata/Effects/Spells/monsters_effects/act4/skeletonsoldier/emerge/emergefx.ao\"" );","","","",[],0,150,0,0,5,5,5,5
6,"Metadata/Terrain/Leagues/Expedition/Objects/Spawners/ExpeditionFodderSpawnerInstant",30,"[528,529,531]",0,3,30,0,0,0,0,256,1,"","","","",1,0,0,0,0,1,"","","triggerer.DoAction( Emerge ); triggerer.PlayEffect( \""Metadata/Effects/Spells/monsters_effects/act4/skeletonsoldier/emerge/emergefx.ao\"" );","","","",[],0,100,0,0,6,6,6,6
7,"Metadata/Terrain/Leagues/Expedition/Objects/Spawners/ExpeditionFodderSpawnerInstant",40,"[528,529,531]",0,3,30,0,0,0,0,256,1,"","","","",1,0,0,0,0,1,"","","triggerer.DoAction( Emerge ); triggerer.PlayEffect( \""Metadata/Effects/Spells/monsters_effects/act4/skeletonsoldier/emerge/emergefx.ao\"" );","","","",[],0,100,0,0,7,7,7,7
8,"Metadata/Terrain/Leagues/Expedition/Objects/Spawners/ExpeditionFodderSpawnerInstant",60,"[528,529,531]",0,3,30,0,0,0,0,256,1,"","","","",1,0,0,0,0,1,"","","triggerer.DoAction( Emerge ); triggerer.PlayEffect( \""Metadata/Effects/Spells/monsters_effects/act4/skeletonsoldier/emerge/emergefx.ao\"" );","","","",[],0,100,0,0,8,8,8,8
9,"Metadata/Monsters/Werewolves/Spawners/SpawnerWerewolfProwlerBasic",1,[291],0,0,0,0,0,0,0,65792,"",1,"","","","",0,0,0,0,"","","","","","","",[],0,0,0,0,1,1,1,1
10,"Metadata/Terrain/Gallows/Act2/2_12/Objects/AmbushMonsterSpawner",1,[454],500,0,0,2000,4000,0,0,65792,"",1,"","","","",3,6,0,0,"","","","",1,1,"",[],0,0,0,0,100,100,1,1
11,"Metadata/Monsters/Lark/Objects/LarkPortalSpawner",1,[453],0,0,0,500,1500,0,0,65792,"",1,"","","","",0,0,0,0,"","","","","","","",[],0,0,0,0,1,1,1,1
12,"Metadata/Terrain/Gallows/Act2/2_10/Objects/EncounterMonsterSpawner",1,[454],500,0,0,1000,3000,0,0,65792,"",1,"","","","",2,5,0,0,"","","","this.ModifyState( minion_counter, +1 ); triggerer.AddLifeOnDeath( { this.spawner.ModifyState( minion_counter, -1 ); } );",1,"","SetStateTo( finished_spawning, 1 );",[],0,0,0,0,5,5,1,1
13,"Metadata/Monsters/Ghouls/GhoulCommanderBoss",1,[338],2000,8,16,2000,4000,0,0,65792,1,1,"","","","",10,0,0,0,"","","","","",1,"",[],0,0,0,0,100,100,1,1
14,"Metadata/Terrain/Gallows/Act2/2_3/Objects/EncounterSpawners/SpawnerEncounter1_1",1,"[490,488,486,500]",2000,0,0,1000,1500,0,0,16777472,"",1,"","","","",4,0,25,0,"",1,"","triggerer.DoAction( WalkEmerge );","","","",[],0,0,0,0,4,4,1,1
15,"Metadata/Terrain/Gallows/Act2/2_3/Objects/EncounterSpawners/SpawnerEncounter2_1",1,"[490,496,492,484,494]",2000,0,0,1000,1500,0,0,16777472,"",1,"","","","",4,0,25,0,"",1,"","triggerer.DoAction( WalkEmerge );","","","",[],0,0,0,0,4,4,1,1
16,"Metadata/Terrain/Gallows/Act2/2_2/Objects/Spawners/BlackStriderSpawnerClimbUp",1,[658],2000,0,0,0,500,20,0,65792,"",1,"","","","",4,0,0,0,"","","","triggerer.DoAction( Emerge );","","","",[],0,0,0,0,1,1,1,1
17,"Metadata/Terrain/Gallows/Act2/2_2/Objects/Spawners/BlackStriderSpawnerClimbUpEncounter",1,[658],0,0,0,3750,9750,35,0,65792,"",1,"","","","",6,0,0,0,"","","","triggerer.DoAction( Emerge );","","","",[],0,0,0,0,3,3,1,1
18,"Metadata/Terrain/Gallows/Act2/2_2/Objects/Spawners/BlackStriderSpawnerClimbDown",1,[658],2000,0,0,0,500,20,0,65792,"",1,"","","","",4,0,0,0,"","","","triggerer.DoAction( Emerge2 );","","","",[],0,0,0,0,1,1,1,1
19,"Metadata/Terrain/Gallows/Act2/2_2/Objects/Spawners/BlackStriderSpawnerClimbDownEncounter",1,[658],0,0,0,2000,5000,20,0,65792,"",1,"","","","",6,0,0,0,"","","","triggerer.DoAction( Emerge2 );","","","",[],0,0,0,0,1,1,1,1
