"rownum","BaseItemType","Scaling","Name"
0,977,0.85,"Bazira"
1,978,0.85,"Tsvet Matvei"
2,979,0.85,"Bazira"
3,980,0.85,"Count Geonor"
4,981,0.85,"The Crimson Scribe"
5,982,0.85,"The Midnight Tinkerer"
6,983,0.85,"Aline Koltz"
7,984,0.85,"Tsvet Matvei"
8,985,0.85,"Administrator Qotra"
9,986,0.85,"Count Geonor"
10,987,0.85,"Nishem"
11,988,0.85,"Aline Koltz"
12,989,0.85,"Count Geonor"
13,990,0.85,"Marcine Clavus"
14,991,0.85,"Marcine Clavus"
15,992,0.85,"Marcine Clavus"
16,993,0.85,"Marcine Clavus"
17,994,0.85,"Marcine Clavus"
18,995,1.2,"Selwyn Eddard"
19,996,1.2,"Kondor Larcius"
20,997,1.2,"Grond Ironeye"
21,998,1.2,"Bazira"
22,999,1.2,"Bazira"
23,1000,1.2,"Kondor Larcius"
24,1001,1.2,"The Crimson Scribe"
25,1002,1.2,"Administrator Qotra"
26,1003,1.2,"Administrator Qotra"
27,1004,1.2,"The Crimson Scribe"
28,1005,1.2,"Remus Hestor"
29,1006,1.2,"Nishem"
30,1007,1.2,"The Crimson Scribe"
31,1008,1.2,"Anton Laffrey"
32,1009,1.5,"Tsvet Matvei"
33,1010,1.5,"Kondor Larcius"
34,1011,1.5,"The Midnight Tinkerer"
35,1012,1.5,"Bazira"
36,1013,1.5,"Kondor Larcius"
37,1014,1.5,"The Crimson Scribe"
38,1015,3,"Administrator Qotra"
39,1016,3,"Cardinal Uthelius"
40,1017,3,"Castor Pollinius III"
41,1018,0.3,""
42,1019,0.3,""
43,1020,0.3,""
44,1021,0.3,""
45,1022,0.3,""
46,1023,0.3,""
47,1024,0,"Karst"
48,1025,0,"Karst"
49,1026,0,"Karst"
50,1027,0,"Tibbs"
51,1028,0,"Tibbs"
52,1029,0,"Huck"
53,1030,0,"Huck"
54,1031,0,"Vinderi"
55,1032,0,"Vinderi"
56,1033,0,"Gianna"
57,1034,0,"Gianna"
58,1035,0,"Tullina"
59,1036,0,"Tullina"
60,1037,0,"Niles"
61,1038,0,"Niles"
62,1039,0,"Nenet"
63,1040,0,"Nenet"
64,1041,0,"Isla"
65,1042,0,"Isla"
66,1043,0,"Isla"
67,1044,0,"Adiyah"
68,1045,0,"Adiyah"
69,1046,0,"Adiyah"
70,1047,0,"Whakano"
71,1048,0,"Whakano"
72,1049,0,"Whakano"
73,1050,0,"Faustus"
74,1052,0,"Faustus"
75,1053,0,"Faustus"
76,1054,0,"Kurai"
77,1055,0,"Kurai"
78,1056,0,"Kurai"
79,1057,0,"Kurai"
