"rownum","DamageParticleEffectTypes","Variation","rid","i32","rid","bool"
0,0,0,0,0,"",""
1,0,3,0,0,"",""
2,0,2,0,0,"",""
3,0,0,1,0,"",1
4,0,3,1,0,"",1
5,0,2,1,0,"",1
6,0,0,2,0,"",""
7,0,3,2,0,"",""
8,0,2,2,0,"",""
9,1,0,0,0,189,""
10,1,3,0,0,189,""
11,1,2,0,0,189,""
12,2,0,0,0,190,""
13,2,3,0,0,190,""
14,2,2,0,0,190,""
15,2,0,1,0,190,""
16,2,3,1,0,190,""
17,2,2,1,0,190,""
18,2,0,2,0,190,""
19,2,3,2,0,190,""
20,2,2,2,0,190,""
21,3,0,0,0,191,""
22,3,3,0,0,191,""
23,3,2,0,0,191,""
24,3,0,1,0,191,""
25,3,3,1,0,191,""
26,3,2,1,0,191,""
27,4,0,0,0,192,""
28,4,3,0,0,192,""
29,4,2,0,0,192,""
30,4,0,1,0,193,""
31,4,3,1,0,193,""
32,4,2,1,0,193,""
