"rownum","Level","bool","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32"
0,65,"",11,10,5,7,7,78,0,0,0,0,0,100,20
1,66,"",11,10,5,7,7,78,0,0,0,0,0,100,20
2,67,"",11,10,5,7,7,78,0,0,0,0,0,100,20
3,68,"",11,10,5,7,7,78,0,0,0,0,0,100,20
4,69,"",11,10,5,7,7,78,0,0,0,0,0,100,20
5,70,"",11,10,5,7,7,78,0,0,0,0,0,100,20
6,71,"",11,10,5,7,7,78,0,0,0,0,0,100,20
7,72,"",11,10,5,7,7,78,0,0,0,0,0,100,20
8,73,"",11,10,5,7,7,78,0,0,0,0,0,100,20
9,74,"",11,10,5,7,7,78,0,0,0,0,0,100,20
10,75,"",11,10,5,7,7,78,0,0,0,0,0,100,20
11,76,"",11,10,5,7,7,78,0,0,0,0,0,100,20
12,77,"",11,10,5,7,7,78,0,0,0,0,0,100,20
13,78,"",11,10,5,7,7,78,0,0,0,0,0,100,20
14,79,"",11,10,5,7,7,78,0,0,0,0,0,100,20
15,80,"",11,10,5,7,7,78,0,0,0,0,0,100,20
16,81,"",11,10,5,7,7,78,0,0,0,0,0,100,20
17,82,"",11,10,5,7,7,78,0,0,0,0,0,100,20
18,83,"",11,10,5,7,7,78,0,0,0,0,0,100,20
19,65,1,35,11,18,20,20,135,0,0,2,0,0,100,20
20,66,1,35,11,18,20,20,135,0,0,2,0,0,100,20
21,67,1,35,11,18,20,20,135,0,0,2,0,0,100,20
22,68,1,35,11,18,21,21,135,0,0,2,0,0,100,20
23,69,1,35,11,18,21,21,135,0,0,2,0,0,100,20
24,70,1,35,11,18,21,21,135,0,0,2,0,0,100,20
25,71,1,35,11,18,21,21,135,0,0,2,0,0,100,20
26,72,1,35,11,18,21,21,135,0,0,2,0,0,100,20
27,73,1,36,11,19,22,22,135,0,0,2,0,0,100,20
28,74,1,36,11,19,22,22,135,0,0,2,0,0,100,20
29,75,1,36,11,19,22,22,135,0,0,2,0,0,100,20
30,76,1,36,11,19,22,22,135,0,0,2,0,0,100,20
31,77,1,36,11,19,22,22,135,0,0,2,0,0,100,20
32,78,1,37,11,20,23,23,135,0,0,2,0,0,100,20
33,79,1,37,11,20,23,23,135,2000,0,2,0,0,100,20
34,80,1,37,11,20,23,23,135,2000,1,2,0,0,100,20
35,81,1,37,11,20,23,23,135,2000,1,2,0,0,100,20
36,82,1,37,11,20,23,23,135,2000,1,2,0,0,100,20
37,83,1,37,11,20,23,23,135,2000,1,2,0,0,100,20
