"rownum","Id","Command","bool","EnglishCommand","Description","bool"
0,"PerformDance","",1,"","",1
1,"ShowTimePlayed","played",1,"played","/played displays how long you have played this character for",1
2,"ShowCharacterAge","age",1,"age","/age displays how long ago you created this character",1
3,"ShowMonstersRemaining","remaining",1,"remaining","/remaining displays the number of monsters remaining in the area",1
4,"ShowDeaths","deaths",1,"deaths","/deaths displays how many deaths you have incurred",1
5,"ShowPvPStats","",1,"","",1
6,"ShowLadder","ladder",1,"ladder","/ladder shows the top ten characters on the current ladder",1
7,"ForceResync","",1,"","",1
8,"DestroyCursorItem","destroy",1,"destroy","/destroy destroys the item on your cursor (be careful!)",1
9,"Whois","whois",1,"whois","/whois displays some information about a character by name",1
10,"ShowHelp","help","","help","",1
11,"ShowCursorItemLevel","itemlevel",1,"itemlevel","/itemlevel displays the level of an item on your cursor",1
12,"FixMyHelmet","",1,"","",1
13,"ReportBug","bug",1,"bug","/bug reports a bug and gives you the report reference number",1
14,"Debug","debug",1,"debug","",1
15,"Ignore1","ignore","","ignore","/ignore ignores an account by character name",1
16,"Ignore2","squelch","","squelch","",1
17,"Unignore1","unignore","","unignore","/unignore stops ignoring an account by character name",1
18,"Unignore2","unsquelch","","unsquelch","",1
19,"ClearIgnoreList","clear_ignore_list","","clear_ignore_list","/clear_ignore_list removes all accounts from your ignore list",1
20,"SetStatus","status","","status","",1
21,"InviteToParty","invite","","invite","/invite invites someone to your party by name",1
22,"AddFriend","friend","","friend","/friend adds a friend to your list by name",1
23,"RemoveFriend","unfriend","","unfriend","",1
24,"AcceptFriend","accept","","accept","",1
25,"KickPartyMember","kick","","kick","",1
26,"SetPartyDescription","party_description","","party_description","",1
27,"InitiateTrade","tradewith","","tradewith","",1
28,"ClearMessage1","cls","","cls","",1
29,"ClearMessage2","clear","","clear","",1
30,"ToggleNoChat1","nochat","","nochat","",1
31,"ToggleNoChat2","togglenochat","","togglenochat","",1
32,"AutoReply","autoreply",1,"autoreply","/autoreply [message] Autoreply to whispers with a custom message.",1
33,"SetAFK","afk",1,"afk","/afk [message] Autoreply to whispers that you are AFK. Performing any action, including chatting, will cancel AFK mode.",1
34,"DoNotDisturb1","dnd",1,"dnd","/dnd [message] Autoreply to whispers that you are DND and ignore all incoming messages.",1
35,"DoNotDisturb2","donotdisturb",1,"donotdisturb","",1
36,"ExitToCharacterSelection","exit","","exit","",1
37,"SpectatePvP","",1,"","",1
38,"SpectatePvPReturn","town",1,"town","",1
39,"SetGlobalChatChannel","global","","global","/global [X] changes to global chat channel X.",1
40,"SetTradeChatChannel","trade","","trade","/trade [X] changes to trade chat channel X.",1
41,"RecheckAchievements","",1,"","/recheck_achievements Forces a recheck of certain achievements",1
42,"WarpToHideout","hideout",1,"hideout","/hideout warps you to your personal Hideout.",1
43,"WarpToGuildHideout","guild",1,"guild","/guild warps you to your Guild's Hideout.",1
44,"ResetExperiencePerHour","reset_xp","","reset_xp","/reset_xp Resets your experience per hour calculation.",1
45,"WarpToMenagerie","",1,"","",1
46,"WarpToDelveMineHub","",1,"","",1
47,"SaveHideout","save_hideout",1,"save_hideout","/save_hideout Saves the current Hideout layout to a file that can be later loaded or shared.",1
48,"RecoverOldCraftingBenchItem","",1,"","",1
49,"ForceResyncPlayer","",1,"","",1
50,"SetItemFilter","itemfilter","","itemfilter","/itemfilter allows you to specify a filter by name to instantly switch to using it",1
51,"WarpToKiracVault","",1,"","",1
52,"ShowKills","kills",1,"kills","/kills displays how many experience granting kills you have accrued",1
53,"Feedback","","","","/feedback submits feedback to the dev team",1
54,"Flip","flip",1,"flip","",1
55,"LeaveParty","leave","","leave","/leave Leaves the current party",1
56,"ReloadItemFilter","reloaditemfilter","","reloaditemfilter","",""
57,"WarpToSanctumEntrance","",1,"","",1
58,"ResetAtlas","resetatlas",1,"resetatlas","",1
59,"ConvertRaceRewardToMicro","convertracereward","","convertracereward","",1
