"rownum","Id","StoredItem","XOffset","YOffset","FirstSlotIndex","Width","Height","SlotSize","bool","rid","u16","bool"
0,"Metadata/Items/Currency/CurrencyAfflictionShard",101,326,76,0,1,1,78,"",0,0,""
1,"Metadata/Items/MapFragments/CurrencyAfflictionFragment",621,529,76,1,1,1,78,"",0,0,""
2,"Metadata/Items/Currency/DistilledEmotion1",811,223,268,2,1,1,78,"",0,0,""
3,"Metadata/Items/Currency/DistilledEmotion2",812,326,268,3,1,1,78,"",0,0,""
4,"Metadata/Items/Currency/DistilledEmotion3",813,427,268,4,1,1,78,"",0,0,""
5,"Metadata/Items/Currency/DistilledEmotion4",814,529,268,5,1,1,78,"",0,0,""
6,"Metadata/Items/Currency/DistilledEmotion5",815,632,268,6,1,1,78,"",0,0,""
7,"Metadata/Items/Currency/DistilledEmotion6",816,223,374,7,1,1,78,"",0,0,""
8,"Metadata/Items/Currency/DistilledEmotion7",817,326,374,8,1,1,78,"",0,0,""
9,"Metadata/Items/Currency/DistilledEmotion8",818,427,374,9,1,1,78,"",0,0,""
10,"Metadata/Items/Currency/DistilledEmotion9",819,529,374,10,1,1,78,"",0,0,""
11,"Metadata/Items/Currency/DistilledEmotion10",820,632,374,11,1,1,78,"",0,0,""
12,"DeliriumMapSlot1","",120,500,12,1,1,78,1,0,0,""
13,"DeliriumMapSlot2","",223,500,13,1,1,78,1,0,0,""
14,"DeliriumMapSlot3","",326,500,14,1,1,78,1,0,0,""
15,"DeliriumMapSlot4","",429,500,15,1,1,78,1,0,0,""
16,"DeliriumMapSlot5","",532,500,16,1,1,78,1,0,0,""
17,"DeliriumMapSlot6","",635,500,17,1,1,78,1,0,0,""
18,"DeliriumMapSlot7","",738,500,18,1,1,78,1,0,0,""
19,"DeliriumMapSlot8","",120,600,19,1,1,78,1,0,0,""
20,"DeliriumMapSlot9","",223,600,20,1,1,78,1,0,0,""
21,"DeliriumMapSlot10","",326,600,21,1,1,78,1,0,0,""
22,"DeliriumMapSlot11","",429,600,22,1,1,78,1,0,0,""
23,"DeliriumMapSlot12","",532,600,23,1,1,78,1,0,0,""
24,"DeliriumMapSlot13","",635,600,24,1,1,78,1,0,0,""
25,"DeliriumMapSlot14","",738,600,25,1,1,78,1,0,0,""
26,"DeliriumMapSlot15","",120,700,26,1,1,78,1,0,0,""
27,"DeliriumMapSlot16","",223,700,27,1,1,78,1,0,0,""
28,"DeliriumMapSlot17","",326,700,28,1,1,78,1,0,0,""
29,"DeliriumMapSlot18","",429,700,29,1,1,78,1,0,0,""
30,"DeliriumMapSlot19","",532,700,30,1,1,78,1,0,0,""
31,"DeliriumMapSlot20","",635,700,31,1,1,78,1,0,0,""
32,"DeliriumMapSlot21","",738,700,32,1,1,78,1,0,0,""
33,"DeliriumMapSlot22","",120,800,33,1,1,78,1,0,0,""
34,"DeliriumMapSlot23","",223,800,34,1,1,78,1,0,0,""
35,"DeliriumMapSlot24","",326,800,35,1,1,78,1,0,0,""
36,"DeliriumMapSlot25","",429,800,36,1,1,78,1,0,0,""
37,"DeliriumMapSlot26","",532,800,37,1,1,78,1,0,0,""
38,"DeliriumMapSlot27","",635,800,38,1,1,78,1,0,0,""
39,"DeliriumMapSlot28","",738,800,39,1,1,78,1,0,0,""
