"rownum","Id","[rid]","rid","[i32]","StatsKeys","StatValues"
0,"InnerTreasure",[6307],"",[],[],[]
1,"DropVaalItem",[6314],"",[],[],[]
2,"AlwaysIgnite",[],"",[],"[4809,596]","[1,100]"
3,"RandomCurseOnMeleeHit",[],"",[],[1190],[100]
4,"Maimed",[],508,"[-30,1]",[],[]
5,"AlwaysShock",[],"",[],"[4808,644]","[1,100]"
6,"TormentedExperimenterPossess","[7095,7186,7246,7248]","",[],[],[]
7,"TormentedBlasphemerPossess","[7098,7184,7246,7248]","",[],[],[]
8,"TormentedNecromancerPossess","[7101,7186,7246,7248]","",[],[],[]
9,"TormentedArsonistPossess","[7104,7186,7246,7248]","",[],[],[]
10,"TormentedThiefPossess","[7133,7187,7246,7248]","",[],[],[]
11,"TormentedMutilatorPossess","[7146,7186,7246,7248]","",[],[],[]
12,"TormentedCharlatanPossess","[7114,7186,7246,7248]","",[],[],[]
13,"TormentedCannibalPossess","[7139,7186,7246,7248]","",[],[],[]
14,"TormentedPoisonerPossess","[7107,7186,7246,7248]","",[],[],[]
15,"TormentedCorrupterPossess","[7110,7187,7246,7248]","",[],[],[]
16,"TormentedThugPossess","[7117,7184,7246,7248]","",[],[],[]
17,"TormentedRoguePossess","[7120,7184,7121,7246,7248]","",[],[],[]
18,"TormentedFishermanPossess","[7123,7187,7246,7248]","",[],[],[]
19,"TormentedLibrarianPossess","[7126,7187,7246,7248]","",[],[],[]
20,"TormentedCutthroatPossess","[7130,7184,7246,7248]","",[],[],[]
21,"TormentedSpyPossess","[7136,7184,7246,7248]","",[],[],[]
22,"TormentedMartyrPossess","[7143,7186,7246,7248]","",[],[],[]
23,"TormentedEmbezzlerPossess","[7149,7187,7246,7248]","",[],[],[]
24,"TormentedCounterfeiterPossess","[7155,7186,7246,7248]","",[],[],[]
25,"TormentedWarlordPossess","[7158,7184,7246,7248]","",[],[],[]
26,"TormentedFreezerPossess","[7162,7186,7246,7248]","",[],[],[]
27,"TormentedSmugglerPossess","[7166,7164,7187,7246,7248]","",[],[],[]
