"rownum","Id","WordsKey","FlavourTextKey","MinLevel","ModsKeys","SpawnWeight","[i32]","AOFile","bool","[i32]","AppearanceChestsKey","ChestsKey","[rid]"
0,"UniqueChestTest1",360,665,0,[],0,[],"Metadata/Chests/StrongBoxes/ArmoryStrongBox.ao","",[],"",98,[]
1,"PerandusBank",366,382,20,"[6477,6465,6512,6518,6735]",0,[],"Metadata/Chests/StrongBoxes/PerandusBox.ao","",[],"",93,[9179]
2,"KaomsCache",367,383,20,"[6468,6462,6490,6517,6735]",60,[],"Metadata/Chests/StrongBoxes/KaomBox.ao","",[],"",80,[9179]
3,"EmpyreanApparatus",368,384,60,"[6469,6463,6525,6735]",40,[],"Metadata/Chests/StrongBoxes/MalachaisBox.ao","",[],"",83,[9179]
4,"ObaChest1",406,423,0,"[6516,6513]",0,[],"Metadata/Chests/StrongBoxes/JewellerStrongBox.ao","",[],"",93,[9179]
5,"ObaChest2",407,423,0,[6506],0,[],"Metadata/Chests/StrongBoxes/ArcanistStrongBox.ao","",[],"",77,[9179]
6,"ObaChest3",408,423,0,"[6505,6526]",0,[],"Metadata/Chests/StrongBoxes/GemcutterStrongBox.ao","",[],"",91,[9179]
7,"GrandmasterGemcutters",447,459,0,"[6527,6501,6509,7072]",0,[],"Metadata/Chests/StrongBoxes/OrnateStrongbox.ao",1,[],"",92,[]
8,"GrandmasterArcanists",448,459,0,"[6510,7072]",0,[],"Metadata/Chests/StrongBoxes/OrnateStrongbox.ao",1,[],"",79,[]
9,"GrandmasterCartographers",449,459,0,"[6508,6514,6520,6528,7072]",0,[],"Metadata/Chests/StrongBoxes/OrnateStrongbox.ao",1,[],"",88,[]
10,"GrandmasterOrnateStrongbox",450,459,0,"[6448,6440,6519,7072,6541]",0,[],"Metadata/Chests/StrongBoxes/OrnateStrongbox.ao",1,[],"",97,[]
11,"GrandmasterUniqueItem",451,459,0,"[6459,6442,6450,7072,6541]",0,[],"Metadata/Chests/StrongBoxes/OrnateStrongbox.ao",1,[],"",99,[]
12,"GrandmasterSameBaseType",452,459,0,"[6442,6450,7299,7072,6541]",0,[],"Metadata/Chests/StrongBoxes/OrnateStrongbox.ao",1,[],"",99,[]
13,"GrandmasterVaalVessel",453,459,0,"[6551,6442,6450,7295,7072,6541]",0,[],"Metadata/Chests/StrongBoxes/OrnateStrongbox.ao",1,[],"",99,[]
14,"GrandmasterLargeStrongbox",454,459,0,"[6449,6441,7072,6541]",0,[],"Metadata/Chests/StrongBoxes/OrnateStrongbox.ao",1,[],"",95,[]
15,"BarrelOfSpiders",459,464,30,"[7360,6558,6498]",100,[],"Metadata/Chests/Barrels/GenericBarrel01.ao",1,[],364,98,[9179]
16,"DeshretsStorm",671,840,35,"[8551,6482,8553,6538,6534]",100,[],"Metadata/Chests/UniqueStrongboxes/Vase.ao","",[],"",81,[9179]
17,"AshesOfTheCondemned",672,841,40,"[6470,6481,6443,6454]",100,[],"Metadata/Chests/UniqueStrongboxes/BaroqueVase.ao","",[],"",98,[9179]
18,"MutewindCache",673,842,56,"[6484,8548,6444,6542]",30,[],"Metadata/Chests/UniqueStrongboxes/ChestMetal.ao","",[],"",98,[9179]
19,"RedbladeCache",674,843,56,"[6483,8547,6444,6542]",30,[],"Metadata/Chests/UniqueStrongboxes/ChestMetal.ao","",[],"",98,[9179]
20,"BrinerotCache",675,844,56,"[6485,8549,6444,6542]",30,[],"Metadata/Chests/UniqueStrongboxes/ChestMetal.ao","",[],"",98,[9179]
21,"RenegadesCache",676,845,56,"[6486,8550,6444,6542]",10,[],"Metadata/Chests/UniqueStrongboxes/ChestMetal.ao","",[],"",98,[9179]
22,"ProphecyWickedKing4",776,1028,0,[6507],0,[],"Metadata/Chests/UniqueStrongboxes/ChestMetal.ao","",[],"",78,[9179]
23,"VaultsOfAtziriUnique",799,1050,0,[7072],0,[],"Metadata/Chests/VaalChests/VaalGoldChest02.ao",1,[],"",102,[]
24,"BreachUniqueBox",801,1059,0,[6506],0,[],"Metadata/Chests/Breach/BreachChestLarge.ao",1,[],"",117,[]
25,"DivinationCardUniqueBox",856,847,0,"[7370,6559,6735]",0,[],"Metadata/Chests/UniqueStrongboxes/DivinationCardUniqueStrongbox.ao",1,[],"",1184,[9179]
26,"WeylamsWarChest",867,846,40,"[6511,7366,9084,9144]",60,[],"Metadata/Chests/UniqueStrongboxes/WarChest.ao","",[],"",77,[9179]
27,"ForgottenReliquaryChest",892,1188,0,[9116],0,[],"Metadata/Chests/CopperChests/ClassicVault.ao",1,[],"",131,[]
28,"ForgottenReliquaryChest2",893,1189,0,[9117],0,[],"Metadata/Chests/CopperChests/ClassicVault.ao",1,[],"",132,[]
29,"ForgottenReliquaryChestVaal",894,1190,0,[9118],0,[],"Metadata/Chests/CopperChests/ClassicVault.ao",1,[],"",133,[]
30,"ForgottenReliquaryVenarius",895,1191,0,[9119],0,[],"Metadata/Chests/CopperChests/ClassicVault.ao",1,[],"",134,[]
31,"ForgottenReliquaryEaterOfWorlds",896,1192,0,[9120],0,[],"Metadata/Chests/CopperChests/ClassicVault.ao",1,[],"",135,[]
32,"ForgottenReliquaryMaven",897,1193,0,[9121],0,[],"Metadata/Chests/CopperChests/ClassicVault.ao",1,[],"",136,[]
33,"ForgottenReliquarySearingExarch",898,1194,0,[9122],0,[],"Metadata/Chests/CopperChests/ClassicVault.ao",1,[],"",137,[]
34,"ForgottenReliquarySirus",899,1195,0,[9123],0,[],"Metadata/Chests/CopperChests/ClassicVault.ao",1,[],"",138,[]
35,"ForgottenReliquaryShaper",900,1196,0,[9124],0,[],"Metadata/Chests/CopperChests/ClassicVault.ao",1,[],"",139,[]
36,"ForgottenReliquaryUberElder",901,1197,0,[9125],0,[],"Metadata/Chests/CopperChests/ClassicVault.ao",1,[],"",140,[]
37,"ForgottenReliquaryCosmic",902,1198,0,[9126],0,[],"Metadata/Chests/Legacy/ForgottenReliquaryCosmic.ao",1,[],"",141,[]
38,"EmpyreanApparatus2",368,384,68,"[6469,6463,6525,6735]",40,[],"Metadata/Chests/StrongBoxes/MalachaisBox.ao","",[],"",84,[9179]
39,"EmpyreanApparatus3",368,384,72,"[6469,6463,6525,6735]",40,[],"Metadata/Chests/StrongBoxes/MalachaisBox.ao","",[],"",85,[9179]
40,"EmpyreanApparatus4",368,384,76,"[6469,6463,6525,6735]",40,[],"Metadata/Chests/StrongBoxes/MalachaisBox.ao","",[],"",86,[9179]
41,"EmpyreanApparatus5",368,384,80,"[6469,6463,6525,6735]",40,[],"Metadata/Chests/StrongBoxes/MalachaisBox.ao","",[],"",87,[9179]
42,"BookStandUniqueBox",959,665,0,[],0,[],"Metadata/Chests/StrongBoxes/BookStandStrongBox.ao","",[],"",100,[]
43,"VaalStrongboxSacrifice",1169,2090,0,[10479],0,[],"Metadata/Chests/VaalChests/VaalGoldChest02.ao",1,[],"",1185,[9179]
44,"VaalStrongboxMortal",1170,2091,0,[10480],0,[],"Metadata/Chests/VaalChests/VaalGoldChest03.ao",1,[],"",1186,[9179]
