"rownum","string","string","rid"
0,"Move_1","",1
1,"FirstWeapon_1","<tutorialgesture>{Get ready for battle!}\r\nLoot the Weapon Rack",2
2,"FirstWeapon_2","<tutorialgesture>{[Tap]} to pick up items or\r\nuse the Interact button",2
3,"FirstSkillGem_1","<tutorialgesture>{[Tap]} to pick up <gem>{Skill Gem}",3
4,"FirstSkillGem_2","<gem>{Skill gems} <tutorialgesture>{must be equipped \r\nto harness its power}\r\n<tutorialgesture>{[Tap]} to open your Character Menu",3
5,"FirstSkillGem_3","Navigate to the Skills Tab",3
6,"FirstSkillGem_4","<tutorialgesture>{[Drag and Drop]} the <gem>{Skill Gem}\r\ninto a skill gem socket",3
7,"FirstSkillGem_5","<tutorialgesture>{New skill acquired!}\r\nClose the Character Menu",3
8,"FirstSkillGem_6","<tutorialgesture>{[Tap]} or <tutorialgesture>{[Tap-Hold]} to\r\ndisplay item information",3
9,"FirstSkillGem_7","<tutorialgesture>{[Drag and Drop]} the <gem>{Skill gem}\r\nto take the item",3
10,"FirstSkillGem_8","[DNT]END OF SKILL GEM TUTORIAL. HIGHLIGHT SKILL BUTTON ASSOCIATED TO STARTING SKILL GEM",3
11,"FirstSupportGem_1","Pick up <gem>{Support Gem}",4
12,"FirstSupportGem_2","<gem>{Support gems} <tutorialgesture>{are used to augment \r\nyour} <gem>{Skill gems}\r\nOpen your Character Menu",4
13,"FirstSupportGem_3","Navigate to the Skills Tab",4
14,"FirstSupportGem_4","Place the <gem>{Support Gem} into\r\na support socket of the same colour",4
15,"FirstSupportGem_5","<tutorialgesture>{Your skill has been augmented!}\r\nClose the Character Menu",4
16,"UseFlask_1","<tutorialgesture>{You have taken damage!}\r\n<tutorialgesture>{[Tap]} a Life Flask or\r\nyour Life Orb to recover",5
17,"Attack_1","<tutorialgesture>{Combat has begun!}\r\n<tutorialgesture>{[Tap]} to attack",6
