"rownum","TaggedStat","rid_16","BuffTemplate","RewardType1","RewardType2"
0,16344,24,[],"",""
1,16345,9161,[],"",""
2,16453,"",[476],"",""
3,16460,"",[479],"",""
4,16472,"",[],"",""
5,16473,"",[],"",""
6,16474,"",[],"",""
7,16475,"",[],"",""
8,16476,"",[],"",""
9,16477,"",[],"",""
10,16478,"",[],"",""
11,16535,10778,[],"",""
12,16536,10779,[],"",""
13,16537,16470,[],"",""
14,16538,1788,[],"",""
15,16539,7777,[],"",""
16,16459,"",[],"",""
17,16465,"",[],"",""
18,16466,"",[],"",""
19,16502,"",[],"",""
20,16503,"",[],"",""
21,16504,"",[],"",""
22,16505,"",[],"",""
23,16506,"",[],"",""
24,16507,"",[],"",""
25,16508,"",[],"",""
26,16509,"",[],"",""
27,16510,"",[],"",""
28,16513,"",[],"",""
29,16514,"",[],"",""
30,16515,"",[],"",""
31,16516,"",[],"",""
32,16517,"",[],"",""
33,16518,"",[],"",""
34,16519,"",[],"",""
35,16520,"",[],"",""
36,16521,"",[],"",""
37,16623,2448,[],"",""
