"rownum","Id","AscendancyButtonNormal","AscendancyInfoPlate","ButtonBackground","ButtonBackgroundDouble","NameBackground","AscendancyButtonHighlight","AscendancyButtonPressed","Color","ClientStrings","RespcBGTop","RespcBGMiddle","RespcBGBottom","i32_112"
0,"Default","Art/2DArt/UIImages/InGame/PassiveSkillScreenAscendancyButton","Art/2DArt/UIImages/InGame/Ascendancy/AscendancyInfoPlate","Art/2DArt/UIImages/InGame/Ascendancy/ButtonBackground","Art/2DArt/UIImages/InGame/Ascendancy/ButtonBackgroundDouble","Art/2DArt/UIImages/InGame/Ascendancy/NameBackground","Art/2DArt/UIImages/InGame/PassiveSkillScreenAscendancyButtonHighlight","Art/2DArt/UIImages/InGame/PassiveSkillScreenAscendancyButtonPressed","255,234,197",1031,"Art/2DArt/UIImages/InGame/Azmeri/AzmeriRespcBGTop","Art/2DArt/UIImages/InGame/Azmeri/AzmeriRespcBGMiddle","Art/2DArt/UIImages/InGame/Azmeri/AzmeriRespcBGBottom",0
1,"DescendancyAzmeri","Art/2DArt/UIImages/InGame/Azmeri/PassiveSkillScreenAlternateAscendancyButton","Art/2DArt/UIImages/InGame/Azmeri/AzmeriAscendancyInfoPlate","Art/2DArt/UIImages/InGame/Azmeri/AzmeriButtonBackground","Art/2DArt/UIImages/InGame/Azmeri/AzmeriButtonBackgroundDouble","Art/2DArt/UIImages/InGame/Azmeri/AzmeriNameBackground","Art/2DArt/UIImages/InGame/Azmeri/PassiveSkillScreenAlternateAscendancyButtonHighlight","Art/2DArt/UIImages/InGame/Azmeri/PassiveSkillScreenAlternateAscendancyButtonPressed","188,204,187",7079,"Art/2DArt/UIImages/InGame/Azmeri/AzmeriRespcBGTop","Art/2DArt/UIImages/InGame/Azmeri/AzmeriRespcBGMiddle","Art/2DArt/UIImages/InGame/Azmeri/AzmeriRespcBGBottom",-5
2,"DescendancyTrialmaster","Art/2DArt/UIImages/InGame/BossAscendancy/ArchitectofChaos/ArchitectofChaosPassiveSkillScreenAlternateAscendancyButton","Art/2DArt/UIImages/InGame/BossAscendancy/ArchitectofChaos/ArchitectofChaosAscendancyInfoPlate","Art/2DArt/UIImages/InGame/BossAscendancy/ArchitectofChaos/ArchitectofChaosButtonBackground","Art/2DArt/UIImages/InGame/BossAscendancy/ArchitectofChaos/ArchitectofChaosButtonBackgroundDouble","Art/2DArt/UIImages/InGame/BossAscendancy/ArchitectofChaos/ArchitectofChaosNameBackground","Art/2DArt/UIImages/InGame/BossAscendancy/ArchitectofChaos/ArchitectofChaosPassiveSkillScreenAlternateAscendancyButtonHighlight","Art/2DArt/UIImages/InGame/BossAscendancy/ArchitectofChaos/ArchitectofChaosPassiveSkillScreenAlternateAscendancyButtonPressed","193,167,107",7079,"Art/2DArt/UIImages/InGame/BossAscendancy/ArchitectofChaos/ArchitectofChaosRespcBGTop","Art/2DArt/UIImages/InGame/BossAscendancy/ArchitectofChaos/ArchitectofChaosRespcBGMiddle","Art/2DArt/UIImages/InGame/BossAscendancy/ArchitectofChaos/ArchitectofChaosRespcBGBottom",-5
3,"DescendancyOshabi","Art/2DArt/UIImages/InGame/BossAscendancy/DaughterofOshabi/DaughterofOshabiPassiveSkillScreenAlternateAscendancyButton","Art/2DArt/UIImages/InGame/BossAscendancy/DaughterofOshabi/DaughterofOshabiAscendancyInfoPlate","Art/2DArt/UIImages/InGame/BossAscendancy/DaughterofOshabi/DaughterofOshabiButtonBackground","Art/2DArt/UIImages/InGame/BossAscendancy/DaughterofOshabi/DaughterofOshabiButtonBackgroundDouble","Art/2DArt/UIImages/InGame/BossAscendancy/DaughterofOshabi/DaughterofOshabiNameBackground","Art/2DArt/UIImages/InGame/BossAscendancy/DaughterofOshabi/DaughterofOshabiPassiveSkillScreenAlternateAscendancyButtonHighlight","Art/2DArt/UIImages/InGame/BossAscendancy/DaughterofOshabi/DaughterofOshabiPassiveSkillScreenAlternateAscendancyButtonPressed","146,192,226",7079,"Art/2DArt/UIImages/InGame/BossAscendancy/DaughterofOshabi/DaughterofOshabiRespcBGTop","Art/2DArt/UIImages/InGame/BossAscendancy/DaughterofOshabi/DaughterofOshabiRespcBGMiddle","Art/2DArt/UIImages/InGame/BossAscendancy/DaughterofOshabi/DaughterofOshabiRespcBGBottom",-8
4,"DescendancyKingInTheMists","Art/2DArt/UIImages/InGame/BossAscendancy/Ritualist/RitualistPassiveSkillScreenAlternateAscendancyButton","Art/2DArt/UIImages/InGame/BossAscendancy/Ritualist/RitualistAscendancyInfoPlate","Art/2DArt/UIImages/InGame/BossAscendancy/Ritualist/RitualistButtonBackground","Art/2DArt/UIImages/InGame/BossAscendancy/Ritualist/RitualistButtonBackgroundDouble","Art/2DArt/UIImages/InGame/BossAscendancy/Ritualist/RitualistNameBackground","Art/2DArt/UIImages/InGame/BossAscendancy/Ritualist/RitualistPassiveSkillScreenAlternateAscendancyButtonHighlight","Art/2DArt/UIImages/InGame/BossAscendancy/Ritualist/RitualistPassiveSkillScreenAlternateAscendancyButtonPressed","127,122,183",7079,"Art/2DArt/UIImages/InGame/BossAscendancy/Ritualist/RitualistRespcBGTop","Art/2DArt/UIImages/InGame/BossAscendancy/Ritualist/RitualistRespcBGMiddle","Art/2DArt/UIImages/InGame/BossAscendancy/Ritualist/RitualistRespcBGBottom",-5
5,"DescendancyCatarina","Art/2DArt/UIImages/InGame/BossAscendancy/Lich/LichPassiveSkillScreenAlternateAscendancyButton","Art/2DArt/UIImages/InGame/BossAscendancy/Lich/LichAscendancyInfoPlate","Art/2DArt/UIImages/InGame/BossAscendancy/Lich/LichButtonBackground","Art/2DArt/UIImages/InGame/BossAscendancy/Lich/LichButtonBackgroundDouble","Art/2DArt/UIImages/InGame/BossAscendancy/Lich/LichNameBackground","Art/2DArt/UIImages/InGame/BossAscendancy/Lich/LichPassiveSkillScreenAlternateAscendancyButtonHighlight","Art/2DArt/UIImages/InGame/BossAscendancy/Lich/LichPassiveSkillScreenAlternateAscendancyButtonPressed","180,238,204",7079,"Art/2DArt/UIImages/InGame/BossAscendancy/Lich/LichRespcBGTop","Art/2DArt/UIImages/InGame/BossAscendancy/Lich/LichRespcBGMiddle","Art/2DArt/UIImages/InGame/BossAscendancy/Lich/LichRespcBGBottom",-6
6,"DescendancyAul","Art/2DArt/UIImages/InGame/BossAscendancy/PrimordialKnight/PrimordialKnightPassiveSkillScreenAlternateAscendancyButton","Art/2DArt/UIImages/InGame/BossAscendancy/PrimordialKnight/PrimordialKnightAscendancyInfoPlate","Art/2DArt/UIImages/InGame/BossAscendancy/PrimordialKnight/PrimordialKnightButtonBackground","Art/2DArt/UIImages/InGame/BossAscendancy/PrimordialKnight/PrimordialKnightButtonBackgroundDouble","Art/2DArt/UIImages/InGame/BossAscendancy/PrimordialKnight/PrimordialKnightNameBackground","Art/2DArt/UIImages/InGame/BossAscendancy/PrimordialKnight/PrimordialKnightPassiveSkillScreenAlternateAscendancyButtonHighlight","Art/2DArt/UIImages/InGame/BossAscendancy/PrimordialKnight/PrimordialKnightPassiveSkillScreenAlternateAscendancyButtonPressed","220,250,255",7079,"Art/2DArt/UIImages/InGame/BossAscendancy/PrimordialKnight/PrimordialKnightRespcBGTop","Art/2DArt/UIImages/InGame/BossAscendancy/PrimordialKnight/PrimordialKnightRespcBGMiddle","Art/2DArt/UIImages/InGame/BossAscendancy/PrimordialKnight/PrimordialKnightRespcBGBottom",-6
7,"DescendancyLycia","Art/2DArt/UIImages/InGame/BossAscendancy/Herald/HeraldPassiveSkillScreenAlternateAscendancyButton","Art/2DArt/UIImages/InGame/BossAscendancy/Herald/HeraldAscendancyInfoPlate","Art/2DArt/UIImages/InGame/BossAscendancy/Herald/HeraldButtonBackground","Art/2DArt/UIImages/InGame/BossAscendancy/Herald/HeraldButtonBackgroundDouble","Art/2DArt/UIImages/InGame/BossAscendancy/Herald/HeraldNameBackground","Art/2DArt/UIImages/InGame/BossAscendancy/Herald/HeraldPassiveSkillScreenAlternateAscendancyButtonHighlight","Art/2DArt/UIImages/InGame/BossAscendancy/Herald/HeraldPassiveSkillScreenAlternateAscendancyButtonPressed","232,194,167",7079,"Art/2DArt/UIImages/InGame/BossAscendancy/Herald/HeraldRespcBGTop","Art/2DArt/UIImages/InGame/BossAscendancy/Herald/HeraldRespcBGMiddle","Art/2DArt/UIImages/InGame/BossAscendancy/Herald/HeraldRespcBGBottom",-5
8,"DescendancyOlroth","Art/2DArt/UIImages/InGame/BossAscendancy/Runesmith/RunesmithPassiveSkillScreenAlternateAscendancyButton","Art/2DArt/UIImages/InGame/BossAscendancy/Runesmith/RunesmithAscendancyInfoPlate","Art/2DArt/UIImages/InGame/BossAscendancy/Runesmith/RunesmithButtonBackground","Art/2DArt/UIImages/InGame/BossAscendancy/Runesmith/RunesmithButtonBackgroundDouble","Art/2DArt/UIImages/InGame/BossAscendancy/Runesmith/RunesmithNameBackground","Art/2DArt/UIImages/InGame/BossAscendancy/Runesmith/RunesmithPassiveSkillScreenAlternateAscendancyButtonHighlight","Art/2DArt/UIImages/InGame/BossAscendancy/Runesmith/RunesmithPassiveSkillScreenAlternateAscendancyButtonPressed","144,168,198",7079,"Art/2DArt/UIImages/InGame/BossAscendancy/Runesmith/RunesmithRespcBGTop","Art/2DArt/UIImages/InGame/BossAscendancy/Runesmith/RunesmithRespcBGMiddle","Art/2DArt/UIImages/InGame/BossAscendancy/Runesmith/RunesmithRespcBGBottom",-22
9,"DescendancyFarrul","Art/2DArt/UIImages/InGame/BossAscendancy/Animist/AnimistPassiveSkillScreenAlternateAscendancyButton","Art/2DArt/UIImages/InGame/BossAscendancy/Animist/AnimistAscendancyInfoPlate","Art/2DArt/UIImages/InGame/BossAscendancy/Animist/AnimistButtonBackground","Art/2DArt/UIImages/InGame/BossAscendancy/Animist/AnimistButtonBackgroundDouble","Art/2DArt/UIImages/InGame/BossAscendancy/Animist/AnimistNameBackground","Art/2DArt/UIImages/InGame/BossAscendancy/Animist/AnimistPassiveSkillScreenAlternateAscendancyButtonHighlight","Art/2DArt/UIImages/InGame/BossAscendancy/Animist/AnimistPassiveSkillScreenAlternateAscendancyButtonPressed","255,203,175",7079,"Art/2DArt/UIImages/InGame/BossAscendancy/Animist/AnimistRespcBGTop","Art/2DArt/UIImages/InGame/BossAscendancy/Animist/AnimistRespcBGMiddle","Art/2DArt/UIImages/InGame/BossAscendancy/Animist/AnimistRespcBGBottom",-6
10,"DescendancyDelirious","Art/2DArt/UIImages/InGame/BossAscendancy/Imposter/ImposterPassiveSkillScreenAlternateAscendancyButton","Art/2DArt/UIImages/InGame/BossAscendancy/Imposter/ImposterAscendancyInfoPlate","Art/2DArt/UIImages/InGame/BossAscendancy/Imposter/ImposterButtonBackground","Art/2DArt/UIImages/InGame/BossAscendancy/Imposter/ImposterButtonBackgroundDouble","Art/2DArt/UIImages/InGame/BossAscendancy/Imposter/ImposterNameBackground","Art/2DArt/UIImages/InGame/BossAscendancy/Imposter/ImposterPassiveSkillScreenAlternateAscendancyButtonHighlight","Art/2DArt/UIImages/InGame/BossAscendancy/Imposter/ImposterPassiveSkillScreenAlternateAscendancyButtonPressed","188,204,187",7079,"Art/2DArt/UIImages/InGame/BossAscendancy/Imposter/ImposterRespcBGTop","Art/2DArt/UIImages/InGame/BossAscendancy/Imposter/ImposterRespcBGMiddle","Art/2DArt/UIImages/InGame/BossAscendancy/Imposter/ImposterRespcBGBottom",-5
11,"DescendancyBreachlord","Art/2DArt/UIImages/InGame/BossAscendancy/Breachlord/BreachlordPassiveSkillScreenAlternateAscendancyButton","Art/2DArt/UIImages/InGame/BossAscendancy/Breachlord/BreachlordAscendancyInfoPlate","Art/2DArt/UIImages/InGame/BossAscendancy/Breachlord/BreachlordButtonBackground","Art/2DArt/UIImages/InGame/BossAscendancy/Breachlord/BreachlordButtonBackgroundDouble","Art/2DArt/UIImages/InGame/BossAscendancy/Breachlord/BreachlordNameBackground","Art/2DArt/UIImages/InGame/BossAscendancy/Breachlord/BreachlordPassiveSkillScreenAlternateAscendancyButtonHighlight","Art/2DArt/UIImages/InGame/BossAscendancy/Breachlord/BreachlordPassiveSkillScreenAlternateAscendancyButtonPressed","220,175,255",7079,"Art/2DArt/UIImages/InGame/BossAscendancy/Breachlord/BreachlordRespcBGTop","Art/2DArt/UIImages/InGame/BossAscendancy/Breachlord/BreachlordRespcBGMiddle","Art/2DArt/UIImages/InGame/BossAscendancy/Breachlord/BreachlordRespcBGBottom",-13
12,"DescendancyNecromantic","Art/2DArt/UIImages/InGame/BossAscendancy/Saresh/SareshPassiveSkillScreenAlternateAscendancyButton","Art/2DArt/UIImages/InGame/BossAscendancy/Saresh/SareshAscendancyInfoPlate","Art/2DArt/UIImages/InGame/BossAscendancy/Saresh/SareshButtonBackground","Art/2DArt/UIImages/InGame/BossAscendancy/Saresh/SareshButtonBackgroundDouble","Art/2DArt/UIImages/InGame/BossAscendancy/Saresh/SareshNameBackground","Art/2DArt/UIImages/InGame/BossAscendancy/Saresh/SareshPassiveSkillScreenAlternateAscendancyButtonHighlight","Art/2DArt/UIImages/InGame/BossAscendancy/Saresh/SareshPassiveSkillScreenAlternateAscendancyButtonPressed","220,175,255",7079,"Art/2DArt/UIImages/InGame/BossAscendancy/Saresh/SareshRespcBGTop","Art/2DArt/UIImages/InGame/BossAscendancy/Saresh/SareshRespcBGMiddle","Art/2DArt/UIImages/InGame/BossAscendancy/Saresh/SareshRespcBGBottom",-13
13,"DescendancyBrinerot","Art/2DArt/UIImages/InGame/BossAscendancy/Deepwater/DeepwaterPassiveSkillScreenAlternateAscendancyButton","Art/2DArt/UIImages/InGame/BossAscendancy/Deepwater/DeepwaterAscendancyInfoPlate","Art/2DArt/UIImages/InGame/BossAscendancy/Deepwater/DeepwaterButtonBackground","Art/2DArt/UIImages/InGame/BossAscendancy/Deepwater/DeepwaterButtonBackgroundDouble","Art/2DArt/UIImages/InGame/BossAscendancy/Deepwater/DeepwaterNameBackground","Art/2DArt/UIImages/InGame/BossAscendancy/Deepwater/DeepwaterPassiveSkillScreenAlternateAscendancyButtonHighlight","Art/2DArt/UIImages/InGame/BossAscendancy/Deepwater/DeepwaterPassiveSkillScreenAlternateAscendancyButtonPressed","220,175,255",7079,"Art/2DArt/UIImages/InGame/BossAscendancy/Deepwater/DeepwaterRespcBGTop","Art/2DArt/UIImages/InGame/BossAscendancy/Deepwater/DeepwaterRespcBGMiddle","Art/2DArt/UIImages/InGame/BossAscendancy/Deepwater/DeepwaterRespcBGBottom",-13
