"rownum","Action","Cost","bool_12"
0,"transmute_to_magic",4,""
1,"add_mod_to_magic",4,""
2,"reroll_magic",4,""
3,"upgrade_magic_to_rare",8,""
4,"transmute_to_rare",25,""
5,"add_mod_to_rare",8,1
6,"reroll",25,""
7,"transmute_to_rare_with_sockets",25,""
8,"add_influence_mod_to_rare",8,1
9,"transfer_item_influence",50,""
10,"reroll_rare_hellscape",30,""
11,"add_mod_to_rare_hellscape",8,1
12,"reroll_rare_eldritch",30,""
13,"add_mod_to_rare_eldritch",8,1
14,"reroll_rare_veiled",40,""
15,"use_essence",40,""
16,"use_high_essence",40,""
17,"mutated_add_mod_to_magic",16,""
18,"mutated_upgrade_magic_to_rare",24,""
19,"mutated_add_mod_to_rare",14,1
20,"transmute_to_random",25,""
