"rownum","string_0","[rid]_8","[i32]_24","rid_40","i32_56","i32_60","rid_64"
0,"Generic","[21317,21318,22692,22703,22725]","[1,5,1,1,1]",5313,6,9,""
1,"Harvest","[11946,13488,22693,22703,22726]","[1,100,1,1,1]",5314,6,9,""
2,"Abyss","[6745,22694,22703,22727]","[1,1,1,1]",5315,6,9,""
3,"Breach","[5563,22695,22703,22728]","[1,1,1,1]",5316,6,9,""
4,"Ritual","[14213,22696,22703,22729]","[1,1,1,1]",5317,6,9,""
5,"Blight","[10182,22697,22703,22730]","[1,1,1,1]",5318,6,9,""
6,"Ultimatum","[19186,22698,22703,22731]","[1,1,1,1]",5319,6,9,""
7,"Delirium","[12620,22699,22703,22732]","[1,1,1,1]",5320,6,9,""
8,"Legion","[9477,10417,22700,22703,22733]","[1,1,1,1,1]",5321,6,9,""
9,"Expedition","[14380,22701,22703,22734]","[1,1,1,1]",5322,6,9,""
10,"Settlers","[21273,22702,22703]","[1,1,1]",5323,6,9,""
