"rownum","RegularLeagueMonster","GauntletMonster"
0,1166,1161
1,162,163
2,6047,6048
3,6008,6009
4,6012,6013
5,4391,4392
6,4382,4383
7,4400,4401
8,150,153
9,37,41
10,158,160
11,154,155
12,2887,2888
13,1421,1423
14,42,8443
15,33,36
16,1678,1679
17,979,984
18,4334,4344
19,5692,5697
20,5493,5494
21,1688,1690
22,4270,4271
23,5740,5742
24,5756,5757
25,6378,6381
26,1162,1163
27,1425,1428
28,9589,9590
29,6384,6385
30,8376,8384
31,5747,5748
32,9587,9588
33,4407,4408
34,4409,4410
35,10400,10403
36,10393,10396
37,10382,10384
38,6192,6194
39,5469,5471
40,5276,5279
41,3600,3602
42,10394,10397
43,10401,10404
44,10383,10385
