"rownum","Id","Stat","ItemVisualIdentity","bool_48","bool_49","bool_50","bool_51"
0,4732,17869,14973,1,"","",""
1,4729,17869,14973,1,"","",""
2,4728,17869,14973,1,"","",""
3,4733,17869,14973,1,"","",""
4,4727,17869,14973,1,"","",""
5,4731,17869,14973,1,"","",""
6,4730,17869,14973,1,"","",""
7,3858,17869,14973,1,"","",""
8,3857,17869,14973,1,"","",""
9,3869,17869,14974,1,"","",""
10,3868,17869,14973,1,"","",""
11,3867,17869,14972,1,"","",""
12,3866,17869,14972,1,"","",""
13,3865,17869,14972,1,"","",""
14,3864,17869,14971,1,"","",""
15,3863,17869,14971,1,"","",""
16,3862,17869,14971,1,"","",""
17,3861,17869,14971,1,"","",""
18,3872,17869,14970,1,"","",""
19,3871,17869,14970,1,"","",""
20,3870,17869,14970,1,"","",""
21,3860,17869,14970,1,"","",""
22,0,17869,14970,1,"","",""
23,35,17869,14970,1,"","",""
24,231,17869,14971,1,"","",""
25,7,17869,14971,1,"","",""
26,11,17869,14970,1,"","",""
27,8,17869,14970,1,"","",""
28,15,17869,14971,1,"","",""
29,4115,17869,14973,1,"","",""
30,36,17869,14974,1,"","",""
31,37,17869,14974,1,"","",""
32,38,17869,14974,1,"","",""
33,236,17869,14973,1,"","",""
34,63,17869,14974,1,"","",""
35,22,17869,14970,1,"","",""
36,21,17869,14970,1,"","",""
37,20,17869,14970,1,"","",""
38,62,17869,14974,1,"","",""
39,3,17869,14973,1,"","",""
40,4,17869,14973,1,"","",""
41,2,17869,14972,1,"","",""
42,12,17869,14970,1,"","",""
43,24,17869,14971,1,"","",""
44,25,17869,14974,1,"","",""
45,230,17869,14973,1,"","",""
46,4221,17869,14973,1,"","",""
47,4220,17869,14973,1,"","",""
48,4219,17869,14973,1,"","",""
49,4218,17869,14973,1,"","",""
50,17,17869,14970,1,"","",""
51,9,17869,14970,1,"","",""
52,23,17869,14974,1,"","",""
53,26,17869,14970,1,"","",""
54,43,17869,14973,1,"","",""
55,318,17869,14973,1,"","",""
56,314,17869,14973,1,"","",""
57,315,17869,14973,1,"","",""
58,317,17869,14972,1,"","",""
59,310,17869,14972,1,"","",""
60,313,17869,14972,1,"","",""
61,319,17869,14972,1,"","",""
62,311,17869,14971,1,"","",""
63,316,17869,14971,1,"","",""
64,312,17869,14971,1,"","",""
65,4217,17869,14972,1,"","",""
66,260,17869,14972,1,"","",""
67,262,17869,14972,1,"","",""
68,265,17869,14972,1,"","",""
69,263,17869,14972,1,"","",""
70,261,17869,14972,1,"","",""
71,264,17869,14972,1,"","",""
72,267,17869,14974,1,"","",""
73,266,17869,14973,1,"","",""
74,268,17869,14972,1,"","",""
75,3598,17869,14973,1,"","",""
76,3568,17869,14973,1,"","",""
77,3582,17869,14973,1,"","",""
78,3552,17869,14973,1,"","",""
79,3584,17869,14973,1,"","",""
80,3554,17869,14973,1,"","",""
81,3596,17869,14973,1,"","",""
82,3566,17869,14974,1,"","",""
83,3599,17869,14973,1,"","",""
84,3569,17869,14973,1,"","",""
85,3592,17869,14973,1,"","",""
86,3562,17869,14973,1,"","",""
87,3587,17869,14973,1,"","",""
88,3557,17869,14973,1,"","",""
89,3590,17869,14973,1,"","",""
90,3560,17869,14973,1,"","",""
91,3608,17869,14973,1,"","",""
92,3578,17869,14973,1,"","",""
93,3583,17869,14973,1,"","",""
94,3553,17869,14973,1,"","",""
95,3600,17869,14973,1,"","",""
96,3570,17869,14973,1,"","",""
97,3593,17869,14973,1,"","",""
98,3563,17869,14973,1,"","",""
99,3602,17869,14973,1,"","",""
100,3572,17869,14973,1,"","",""
101,3604,17869,14973,1,"","",""
102,3574,17869,14973,1,"","",""
103,3603,17869,14973,1,"","",""
104,3605,17869,14973,1,"","",""
105,3575,17869,14973,1,"","",""
106,3573,17869,14973,1,"","",""
107,3586,17869,14973,1,"","",""
108,3556,17869,14973,1,"","",""
109,3589,17869,14973,1,"","",""
110,3559,17869,14973,1,"","",""
111,3580,17869,14973,1,"","",""
112,3588,17869,14973,1,"","",""
113,3558,17869,14973,1,"","",""
114,3550,17869,14973,1,"","",""
115,3591,17869,14973,1,"","",""
116,3561,17869,14973,1,"","",""
117,3609,17869,14973,1,"","",""
118,3579,17869,14973,1,"","",""
119,3581,17869,14973,1,"","",""
120,3595,17869,14973,1,"","",""
121,3565,17869,14973,1,"","",""
122,3551,17869,14973,1,"","",""
123,3601,17869,14973,1,"","",""
124,3571,17869,14973,1,"","",""
125,3607,17869,14973,1,"","",""
126,3577,17869,14973,1,"","",""
127,3606,17869,14973,1,"","",""
128,3576,17869,14973,1,"","",""
129,3597,17869,14973,1,"","",""
130,3567,17869,14973,1,"","",""
131,3594,17869,14973,1,"","",""
132,3564,17869,14973,1,"","",""
133,3585,17869,14973,1,"","",""
134,3555,17869,14973,1,"","",""
135,1,17869,14970,1,"","",""
136,4245,17869,14973,1,"","",""
137,4243,17869,14973,1,"","",""
138,4246,17869,14974,1,"","",""
139,4240,17869,14972,1,"","",""
140,4239,17869,14972,1,"","",""
141,4238,17869,14972,1,"","",""
142,4241,17869,14973,1,"","",""
143,4244,17869,14972,1,"","",""
144,4242,17869,14973,1,"","",""
145,64,17869,14974,1,"","",""
146,65,17869,14974,1,"","",""
147,326,17869,14973,1,"","",""
148,327,17869,14973,1,"","",""
149,328,17869,14973,1,"","",""
150,324,17869,14973,1,"","",""
151,325,17869,14973,1,"","",""
152,323,17869,14974,1,"","",""
153,19,17869,14972,1,"","",""
154,248,17869,14974,1,"","",""
155,237,17869,14974,1,"","",""
156,18,17869,14970,1,"","",""
157,4700,17869,14972,1,"","",""
158,185,17869,14973,1,"","",""
159,184,17869,14972,1,"","",""
160,183,17869,14971,1,"","",""
161,182,17869,14970,1,"","",""
162,164,17869,14973,1,"","",""
163,163,17869,14973,1,"","",""
164,162,17869,14972,1,"","",""
165,161,17869,14971,1,"","",""
166,160,17869,14970,1,"","",""
167,111,17869,14973,1,"","",""
168,110,17869,14973,1,"","",""
169,109,17869,14972,1,"","",""
170,108,17869,14972,1,"","",""
171,107,17869,14971,1,"","",""
172,106,17869,14971,1,"","",""
173,105,17869,14970,1,"","",""
174,143,17869,14973,1,"","",""
175,142,17869,14973,1,"","",""
176,141,17869,14972,1,"","",""
177,140,17869,14972,1,"","",""
178,139,17869,14971,1,"","",""
179,138,17869,14970,1,"","",""
180,154,17869,14973,1,"","",""
181,153,17869,14972,1,"","",""
182,152,17869,14972,1,"","",""
183,151,17869,14971,1,"","",""
184,150,17869,14970,1,"","",""
185,181,17869,14973,1,"","",""
186,180,17869,14972,1,"","",""
187,179,17869,14971,1,"","",""
188,178,17869,14970,1,"","",""
189,131,17869,14973,1,"","",""
190,130,17869,14973,1,"","",""
191,129,17869,14972,1,"","",""
192,128,17869,14972,1,"","",""
193,127,17869,14971,1,"","",""
194,126,17869,14970,1,"","",""
195,194,17869,14973,1,"","",""
196,193,17869,14972,1,"","",""
197,192,17869,14971,1,"","",""
198,159,17869,14973,1,"","",""
199,158,17869,14973,1,"","",""
200,157,17869,14972,1,"","",""
201,156,17869,14971,1,"","",""
202,155,17869,14970,1,"","",""
203,188,17869,14973,1,"","",""
204,187,17869,14972,1,"","",""
205,186,17869,14971,1,"","",""
206,177,17869,14973,1,"","",""
207,176,17869,14972,1,"","",""
208,175,17869,14971,1,"","",""
209,174,17869,14970,1,"","",""
210,199,17869,14974,1,"","",""
211,198,17869,14974,1,"","",""
212,200,17869,14974,1,"","",""
213,104,17869,14973,1,"","",""
214,103,17869,14973,1,"","",""
215,102,17869,14972,1,"","",""
216,101,17869,14972,1,"","",""
217,100,17869,14971,1,"","",""
218,99,17869,14971,1,"","",""
219,98,17869,14970,1,"","",""
220,118,17869,14973,1,"","",""
221,117,17869,14973,1,"","",""
222,116,17869,14972,1,"","",""
223,115,17869,14972,1,"","",""
224,114,17869,14971,1,"","",""
225,113,17869,14971,1,"","",""
226,112,17869,14970,1,"","",""
227,149,17869,14973,1,"","",""
228,148,17869,14973,1,"","",""
229,147,17869,14972,1,"","",""
230,146,17869,14971,1,"","",""
231,145,17869,14971,1,"","",""
232,144,17869,14970,1,"","",""
233,197,17869,14973,1,"","",""
234,196,17869,14972,1,"","",""
235,195,17869,14971,1,"","",""
236,191,17869,14973,1,"","",""
237,190,17869,14972,1,"","",""
238,189,17869,14971,1,"","",""
239,169,17869,14973,1,"","",""
240,168,17869,14972,1,"","",""
241,167,17869,14972,1,"","",""
242,166,17869,14971,1,"","",""
243,165,17869,14970,1,"","",""
244,201,17869,14974,1,"","",""
245,125,17869,14973,1,"","",""
246,124,17869,14973,1,"","",""
247,123,17869,14972,1,"","",""
248,122,17869,14972,1,"","",""
249,121,17869,14971,1,"","",""
250,120,17869,14971,1,"","",""
251,119,17869,14970,1,"","",""
252,173,17869,14973,1,"","",""
253,172,17869,14972,1,"","",""
254,171,17869,14971,1,"","",""
255,170,17869,14970,1,"","",""
256,137,17869,14973,1,"","",""
257,136,17869,14973,1,"","",""
258,135,17869,14972,1,"","",""
259,134,17869,14972,1,"","",""
260,133,17869,14971,1,"","",""
261,132,17869,14970,1,"","",""
262,4216,17869,14971,1,"","",""
263,4670,17869,14973,1,"","",""
264,4672,17869,14973,1,"","",""
265,340,17869,14974,1,"","",""
266,339,17869,14973,1,"","",""
267,338,17869,14972,1,"","",""
268,337,17869,14971,1,"","",""
269,336,17869,14974,1,"","",""
