"rownum","Id","MonsterPack","Faction","IsDonutPack","IsElite","MinLevel","MaxLevel"
0,"0",2577,0,"","",1,100
1,"1",2578,0,"","",1,100
2,"2",2579,0,"","",1,100
3,"3",2580,0,"",1,6,100
4,"4",2581,0,"",1,12,100
5,"5",2584,1,"","",1,100
6,"6",2585,1,"","",1,100
7,"7",2586,1,"","",1,100
8,"8",2587,1,"",1,28,100
9,"9",2588,1,"",1,34,100
10,"10",2591,2,"","",1,100
11,"11",2592,2,"","",1,100
12,"12",2593,2,"","",1,100
13,"13",2594,2,"",1,16,100
14,"14",2595,2,"",1,22,100
15,"15",2599,0,1,"",16,100
16,"16",2602,0,1,"",16,100
17,"17",2605,1,1,"",16,100
18,"18",2608,1,1,"",16,100
19,"19",2611,2,1,"",16,100
20,"20",2614,2,1,"",16,100
21,"21",2600,0,1,"",40,100
22,"22",2603,0,1,"",40,100
23,"23",2606,1,1,"",40,100
24,"24",2609,1,1,"",40,100
25,"25",2612,2,1,"",40,100
26,"26",2615,2,1,"",40,100
27,"27",2582,0,"",1,1,5
28,"28",2583,0,"",1,1,11
29,"29",2589,1,"",1,1,27
30,"30",2590,1,"",1,1,33
31,"31",2596,2,"",1,1,15
32,"32",2597,2,"",1,1,21
33,"33",2598,0,1,"",1,15
34,"34",2601,0,1,"",1,15
35,"35",2604,1,1,"",1,15
36,"36",2607,1,1,"",1,15
37,"37",2610,2,1,"",1,15
38,"38",2613,2,1,"",1,15
