"rownum","Id","i32_8","i32_12","i32_16","i32_20","rid_24","Mods"
0,"ElderInfluenceSpawnTentacleFiend1A",2,100,1,16,"",[15972]
1,"ElderInfluenceSpawnTentacleFiend1B",2,33,11,16,"","[15972,16167]"
2,"ElderInfluencePortalPack1A",2,100,1,16,"",[16162]
3,"ElderInfluencePortalPack1B",2,33,11,16,"","[16162,16167]"
4,"ElderInfluencePortalPack2A",2,100,1,16,"",[16163]
5,"ElderInfluencePortalPack2B",2,33,11,16,"","[16163,16167]"
6,"ElderInfluencePortalPack3A",2,100,1,16,"",[16164]
7,"ElderInfluencePortalPack3B",2,33,11,16,"","[16164,16167]"
8,"ElderInfluenceTentacleMinionPack1A",2,100,1,16,"",[16165]
9,"ElderInfluenceTentacleMinionPack1B",2,33,11,16,"","[16165,16167]"
10,"ElderInfluenceTentacleMinions1A",2,100,1,16,"",[16166]
11,"ElderInfluenceTentacleMinions1B",2,33,11,16,"","[16166,16167]"
12,"ShaperInfluenceSpawnAnomaly1_1",1,100,1,16,"",[15961]
13,"ShaperInfluenceSpawnAnomaly1_2",1,33,11,16,"","[15961,15962]"
14,"ShaperInfluenceSpawnAnomaly2_1",1,10,1,16,0,[15961]
15,"ShaperInfluenceSpawnAnomaly2_2",1,10,1,16,1,[15961]
16,"ShaperInfluenceSpawnAnomaly2_3",1,10,1,16,2,[15961]
17,"ShaperInfluenceSpawnAnomaly2_4",1,10,1,16,3,[15961]
18,"ShaperInfluenceSpawnGolems1_1_1",1,100,1,16,"",[15963]
19,"ShaperInfluenceSpawnGolems1_1_2",1,33,11,16,"","[15963,15962]"
20,"ShaperInfluenceSpawnGolems1_2_1",1,10,1,16,0,[15963]
21,"ShaperInfluenceSpawnGolems1_2_2",1,10,1,16,1,[15963]
22,"ShaperInfluenceSpawnGolems1_2_3",1,10,1,16,2,[15963]
23,"ShaperInfluenceSpawnGolems1_2_4",1,10,1,16,3,[15963]
24,"ShaperInfluenceSpawnGolems2_1_1",1,100,6,16,"",[15964]
25,"ShaperInfluenceSpawnGolems2_1_2",1,33,11,16,"","[15964,15962]"
26,"ShaperInfluenceSpawnGolems2_2_1",1,10,6,16,0,[15964]
27,"ShaperInfluenceSpawnGolems2_2_2",1,10,6,16,1,[15964]
28,"ShaperInfluenceSpawnGolems2_2_3",1,10,6,16,2,[15964]
29,"ShaperInfluenceSpawnGolems2_2_4",1,10,6,16,3,[15964]
30,"ShaperInfluenceSpawnGolems3_1_1",1,100,6,16,"",[15965]
31,"ShaperInfluenceSpawnGolems3_1_2",1,33,11,16,"","[15965,15962]"
32,"ShaperInfluenceSpawnGolems3_2_1",1,10,6,16,0,[15965]
33,"ShaperInfluenceSpawnGolems3_2_2",1,10,6,16,1,[15965]
34,"ShaperInfluenceSpawnGolems3_2_3",1,10,6,16,2,[15965]
35,"ShaperInfluenceSpawnGolems3_2_4",1,10,6,16,3,[15965]
36,"ShaperInfluenceSpawnGolems4_1_1",1,100,6,16,"",[15966]
37,"ShaperInfluenceSpawnGolems4_1_2",1,33,11,16,"","[15966,15962]"
38,"ShaperInfluenceSpawnGolems4_2_1",1,10,6,16,0,[15966]
39,"ShaperInfluenceSpawnGolems4_2_2",1,10,6,16,1,[15966]
40,"ShaperInfluenceSpawnGolems4_2_3",1,10,6,16,2,[15966]
41,"ShaperInfluenceSpawnGolems4_2_4",1,10,6,16,3,[15966]
42,"ShaperInfluenceSpawnVoidAgent1_1_1",1,40,6,16,"","[15969,15967]"
43,"ShaperInfluenceSpawnVoidAgent1_1_2",1,15,11,16,"","[15969,15967,15962]"
44,"ShaperInfluenceSpawnVoidAgent1_2_1",1,20,6,16,0,"[15969,15967]"
45,"ShaperInfluenceSpawnVoidAgent1_2_2",1,20,6,16,1,"[15969,15967]"
46,"ShaperInfluenceSpawnVoidAgent1_2_3",1,20,6,16,2,"[15969,15967]"
47,"ShaperInfluenceSpawnVoidAgent1_2_4",1,20,6,16,3,"[15969,15967]"
48,"ShaperInfluenceSpawnVoidAgent2_1_1",1,40,6,16,"","[15970,15968]"
49,"ShaperInfluenceSpawnVoidAgent2_1_2",1,15,11,16,"","[15970,15968,15962]"
50,"ShaperInfluenceSpawnVoidAgent2_2_1",1,20,6,16,0,"[15970,15968]"
51,"ShaperInfluenceSpawnVoidAgent2_2_2",1,20,6,16,1,"[15970,15968]"
52,"ShaperInfluenceSpawnVoidAgent2_2_3",1,20,6,16,2,"[15970,15968]"
53,"ShaperInfluenceSpawnVoidAgent2_2_4",1,20,6,16,3,"[15970,15968]"
54,"ShaperInfluenceMaelstromCell1_1",1,12,6,16,"","[15971,15961]"
55,"ShaperInfluenceMaelstromCell1_2",1,12,11,16,"","[15971,15969]"
56,"ShaperSuperInfluenceSpawn1",3,100,1,16,0,"[15961,15962,20939]"
57,"ShaperSuperInfluenceSpawn2",3,100,1,16,1,"[15961,15962,20939]"
58,"ShaperSuperInfluenceSpawn3",3,100,1,16,2,"[15961,15962,20939]"
59,"ShaperSuperInfluenceSpawn4",3,100,1,16,3,"[15961,15962,20939]"
