"rownum","Item","Red","Green","Blue","RgbCode"
0,"BreachChest",166,90,255,"rgb(166,90,255)"
1,"DelveAzuriteChest",175,238,238,"rgb(175,238,238)"
2,"DelveSupplyChest",218,165,32,"rgb(218,165,32)"
3,"LegionChest",218,165,32,"rgb(218,165,32)"
4,"BlightChest",102,255,255,"rgb(102,255,255)"
5,"HeistChest",207,177,95,"rgb(207,177,95)"
6,"AstralChest",145,29,171,"rgb(145,29,171)"
7,"ExpeditionChestText",116,177,255,"rgb(116,177,255)"
8,"ExpeditionChestOutline",14,46,85,"rgb(14,46,85)"
9,"KaruiChest",143,41,41,"rgb(143,41,41)"
10,"SanctumChest",218,165,32,"rgb(218,165,32)"
11,"AzmeriChest",116,177,255,"rgb(116,177,255)"
12,"ItemRelic_Green1",115,255,115,"rgb(115,255,115)"
13,"ItemRelic_Green2",26,255,13,"rgb(26,255,13)"
14,"ItemRelic_GreenGlow",0,153,13,"rgb(0,153,13)"
15,"ItemRelic_Blue1",0,153,255,"rgb(0,153,255)"
16,"ItemRelic_Blue2",5,51,255,"rgb(5,51,255)"
17,"ItemRelic_BlueGlow",0,255,255,"rgb(0,255,255)"
18,"ItemRelic_Purple1",255,26,26,"rgb(255,26,26)"
19,"ItemRelic_Purple2",255,51,255,"rgb(255,51,255)"
20,"ItemRelic_PurpleGlow",153,26,153,"rgb(153,26,153)"
21,"ItemRelic_Yellow1",255,204,13,"rgb(255,204,13)"
22,"ItemRelic_Yellow2",204,230,26,"rgb(204,230,26)"
23,"ItemRelic_YellowGlow",179,77,5,"rgb(179,77,5)"
24,"ItemRelic_PurpleTeal1",128,51,230,"rgb(128,51,230)"
25,"ItemRelic_PurpleTeal2",77,255,255,"rgb(77,255,255)"
26,"ItemRelic_PurpleTealGlow",77,255,255,"rgb(77,255,255)"
27,"ItemRelic_White1",255,255,179,"rgb(255,255,179)"
28,"ItemRelic_White2",204,255,153,"rgb(204,255,153)"
29,"ItemRelic_WhiteGlow",255,255,255,"rgb(255,255,255)"
30,"ItemRelic_Red1",128,13,0,"rgb(128,13,0)"
31,"ItemRelic_Red2",255,26,0,"rgb(255,26,0)"
32,"ItemRelic_RedGlow",255,102,13,"rgb(255,102,13)"
33,"ItemRelic_Teal1",51,128,255,"rgb(51,128,255)"
34,"ItemRelic_Teal2",0,255,255,"rgb(0,255,255)"
35,"ItemRelic_TealGlow",0,255,255,"rgb(0,255,255)"
36,"DefaultTabColour",124,84,54,"rgb(124,84,54)"
37,"RedGems",180,0,0,"rgb(180,0,0)"
38,"GreenGems",0,180,0,"rgb(0,180,0)"
39,"BlueGems",0,0,180,"rgb(0,0,180)"
40,"WhiteGems",220,220,220,"rgb(220,220,220)"
41,"MapTierLow",255,255,255,"rgb(255,255,255)"
42,"MapTierMedium",241,155,54,"rgb(241,155,54)"
43,"MapTierHigh",255,0,0,"rgb(255,0,0)"
44,"AspirantChest",68,150,108,"rgb(68,150,108)"
45,"AtlasVoidstoneEffect_Maven",130,158,255,"rgb(130,158,255)"
46,"AtlasVoidstoneEffect_Elder",224,245,179,"rgb(224,245,179)"
47,"AtlasVoidstoneEffect_TangledCleansing",228,106,252,"rgb(228,106,252)"
48,"AtlasVoidstoneEffect_Zana",255,88,99,"rgb(255,88,99)"
