"rownum","string_0","i32_8","i32_12","bool_16"
0,"NeglectBoss_DivineProj_Erase",7500,10000,""
1,"NeglectBoss_DivineProj_Invocate",7500,10000,""
2,"NeglectBoss_DivineProj_Providence",7500,10000,""
3,"Merc_UltimateSkill",60000,120000,""
4,"Merc_Inspect",5000,7500,""
5,"Merc_WalkAway",5000,7500,""
6,"Merc_UniqueKill",30000,40000,""
7,"Merc_ChangeGear",10000,20000,""
8,"Merc_Rehire",5000,7500,""
9,"Merc_Reserve",5000,7500,""
10,"Merc_EnemyUltimateSkill",8000,15000,""
11,"Merc_PlayerDies",3000,3000,""
12,"BenevolenceBoss_ZanaRose",4000,5000,""
13,"FragmentBoss_GenericCooldown",4000,5000,""
14,"DjinnMTXApproach",30000,45000,""
15,"GenericShop",15000,20000,""
16,"AsyncTradeBuy",6000,6000,""
17,"AsyncTradeDelist",6000,6000,""
18,"AsyncPriceAdjust",6000,6000,""
19,"AsyncTradeSold",6000,6000,""
20,"AsyncTradeGeneric",6000,6000,""
21,"Vruun_WildBreachBoss",5000,7500,""
22,"Ailith_BeingHit",5000,6000,""
23,"Treasurer_ControlZone",20000,20000,""
24,"Treasurer_BoughtOrSold",20000,30000,""
25,"Ailith_Fertilise",15000,15000,""
26,"Ailith_Ability",4000,4000,""
