"rownum","BaseItemTypesKey","AddedModsKeys","NegativeWeight_TagsKeys","NegativeWeight_Values","ForcedAddModsKeys","ForbiddenDelveCraftingTagsKeys","AllowedDelveCraftingTagsKeys","CanMirrorItem","CorruptedEssenceChance","CanImproveQuality","HasLuckyRolls","SellPrice_ModsKeys","CanRollWhiteSockets","Weight_TagsKeys","Weight_Values","DelveCraftingModifierDescriptionsKeys","BlockedDelveCraftingModifierDescriptionsKeys","bool_200","bool_201","[i32]_202","[i32]_218","bool_234","bool_235"
0,269,[],[309],[0],[],[],[],"",0,"","",[],"",[308],[1000],"[11,29]","[12,57]","","",[200],[0],"",""
1,270,[],[308],[0],[],[],[],"",0,"","",[],"",[309],[1000],"[12,28]","[11,51]","","",[200],[0],"",""
2,271,[],[312],[0],[],[],[],"",0,"","",[],"",[310],[1000],"[13,27]","[10,45]","","",[200],[0],"",""
3,272,[],[311],[0],[],[],[],"",0,"","",[],"",[312],[1000],"[10,31]","[14,58]","","",[200],[0],"",""
4,273,[],[310],[0],[],[],[],"",0,"","",[],"",[311],[1000],"[14,30]","[13,48]","","",[200],[0],"",""
5,274,[],[316],[0],[],[],[],"",0,"","",[],"",[315],[1000],"[17,33]","[18,53]","","",[200],[0],"",""
6,275,[],[315],[0],[],[],[],"",0,"","",[],"",[316],[1000],"[18,32]","[17,49]","","",[200],[0],"",""
7,276,[],[317],[0],[],[],[],"",0,"","",[],"","[314,313]","[1000,1000]","[16,34]","[15,52]","","","[200,200]",[0],"",""
8,277,[],"[314,313]","[0,0]",[],[],[],"",0,"","",[],"",[317],[600],"[15,35]","[16,63]","","",[150],"[0,0]","",""
9,278,[],[318],[15],[],[],[],"",0,"","",[],"",[34],[1000],"[19,26]",[25],"","",[200],[15],"",""
10,279,[],[34],[15],[],[],[],"",0,"","",[],"",[318],[1000],"[20,25]",[26],"","",[200],[15],"",""
11,280,[],[323],[0],[],[],[],"",0,"","",[],"",[322],[1000],"[21,37]","[22,43]","","",[200],[0],"",""
12,281,[],[322],[0],[],[],[],"",0,"","",[],"",[323],[1000],"[22,36]","[21,47]","","",[200],[0],"",""
13,282,[],[],[],[],[],[],"",0,"","",[],"","[319,320,639]","[1000,1000,1000]",[23],[],"","","[200,200,200]",[],"",""
14,283,[],[],[],[],[],[],"",0,"","",[],"",[1162],[1000],"[80,81]",[],"","",[200],[],1,""
15,284,[],[633],[0],[],[],[],"",0,"","",[],"",[624],[1000],"[39,42]","[41,61]","","",[200],[0],"",""
16,285,[],[624],[0],[],[],[],"",0,"","",[],"",[633],[1000],"[41,40]","[39,56]","","",[200],[0],"",""
17,286,"[17170,17171,17172]",[],[],[],[],[],"",0,"","",[],"",[27],[1000],[24],[],"","",[200],[],"",""
18,287,[],[],[],[],"[13,14,15]",[],"",0,"","",[],"",[],[],[38],[],1,"",[],[],"",""
19,288,[],[],[],[17173],[],"[0,4,6,5,2]","",0,"","",[],"",[],[],[5],[],"","",[],[],"",""
20,289,[],[],[],[],[],[],"",0,"","",[],"",[],[],[82],[],"","",[],[],"",1
21,290,[],[],[],[],[],"[0,2,5,6,4,3,8,9,10,11]","",100,"","",[],"",[],[],[3],[],"","",[],[],"",""
22,291,"[17170,17171,17172,17174,17175,17176,17178,17179,17180,17177,17173]",[],[],[],[],[],"",10,"","",[],"",[],[],[2],[],"",1,[],[],"",""
23,292,[],[],[],[],[],[],"",0,"",1,[],"",[],[],[1],[],"","",[],[],"",""
24,293,[],[],[],[],[],[],"",0,"","","[16816,16817,16818,16819,16820,16821,16822,16823,16824]","",[],[],[0],[],"","",[],[],"",""
25,4250,[],[632],[0],[],[],[],"",0,"","",[],"",[323],[3000],"[43,64]","[44,73]","","",[1000],[0],"",""
26,4251,[],[312],[0],[],[],[],"",0,"","",[],"",[323],[3000],"[43,27]","[45,10]","","",[1000],[0],"",""
27,4252,[],[319],[0],[],[],[],"",0,"","",[],"",[323],[3000],"[43,65]","[46,74]","","",[1000],[0],"",""
28,4253,[],[322],[0],[],[],[],"",0,"","",[],"",[323],[3000],"[43,36]","[47,21]","","",[1000],[0],"",""
29,4254,[],[310],[0],[],[],[],"",0,"","",[],"",[323],[3000],"[43,30]","[48,13]","","",[1000],[0],"",""
30,4255,[],[315],[0],[],[],[],"",0,"","",[],"",[323],[3000],"[43,32]","[49,17]","","",[1000],[0],"",""
31,4256,[],[27],[0],[],[],[],"",0,"","",[],"",[323],[3000],"[43,66]","[50,75]","","",[1000],[0],"",""
32,4257,[],[308],[0],[],[],[],"",0,"","",[],"",[323],[3000],"[43,28]","[51,11]","","",[1000],[0],"",""
33,4258,[],[317],[0],[],[],[],"",0,"","",[],"",[323],[3000],"[43,34]","[52,15]","","",[1000],[0],"",""
34,4259,[],[316],[0],[],[],[],"",0,"","",[],"",[323],[3000],"[43,33]","[53,18]","","",[1000],[0],"",""
35,4260,[],[631],[0],[],[],[],"",0,"","",[],"",[323],[3000],"[43,67]","[54,76]","","",[1000],[0],"",""
36,4261,[],[639],[0],[],[],[],"",0,"","",[],"",[323],[3000],"[43,68]","[55,77]","","",[1000],[0],"",""
37,4262,[],[624],[0],[],[],[],"",0,"","",[],"",[323],[3000],"[43,40]","[56,39]","","",[1000],[0],"",""
38,4263,[],[309],[0],[],[],[],"",0,"","",[],"",[323],[3000],"[43,29]","[57,12]","","",[1000],[0],"",""
39,4264,[],[311],[0],[],[],[],"",0,"","",[],"",[323],[3000],"[43,31]","[58,14]","","",[1000],[0],"",""
40,4265,[],[34],[0],[],[],[],"",0,"","",[],"",[323],[3000],"[43,69]","[59,19,25]","","",[1000],[0],"",""
41,4266,[],[320],[0],[],[],[],"",0,"","",[],"",[323],[3000],"[43,70]","[60,78]","","",[1000],[0],"",""
42,4267,[],[633],[0],[],[],[],"",0,"","",[],"",[323],[3000],"[43,42]","[61,41]","","",[1000],[0],"",""
43,4268,[],[318],[0],[],[],[],"",0,"","",[],"",[323],[3000],"[43,71]","[62,20,26]","","",[1000],[0],"",""
44,4269,[],[635],[0],[],[],[],"",0,"","",[],"",[323],[3000],"[43,72]","[63,79,16]","","",[1000],[0],"",""
45,4270,[],[323],[0],[],[],[],"",0,"","",[],"",[632],[3000],"[44,37]","[43,22]","","",[1000],[0],"",""
46,4271,[],[312],[0],[],[],[],"",0,"","",[],"",[632],[3000],"[44,27]","[45,10]","","",[1000],[0],"",""
47,4272,[],[319],[0],[],[],[],"",0,"","",[],"",[632],[3000],"[44,65]","[46,74]","","",[1000],[0],"",""
48,4273,[],[322],[0],[],[],[],"",0,"","",[],"",[632],[3000],"[44,36]","[47,21]","","",[1000],[0],"",""
49,4274,[],[310],[0],[],[],[],"",0,"","",[],"",[632],[3000],"[44,30]","[48,13]","","",[1000],[0],"",""
50,4275,[],[315],[0],[],[],[],"",0,"","",[],"",[632],[3000],"[44,32]","[49,17]","","",[1000],[0],"",""
51,4276,[],[27],[0],[],[],[],"",0,"","",[],"",[632],[3000],"[44,66]","[50,75]","","",[1000],[0],"",""
52,4277,[],[308],[0],[],[],[],"",0,"","",[],"",[632],[3000],"[44,28]","[51,11]","","",[1000],[0],"",""
53,4278,[],[317],[0],[],[],[],"",0,"","",[],"",[632],[3000],"[44,34]","[52,15]","","",[1000],[0],"",""
54,4279,[],[316],[0],[],[],[],"",0,"","",[],"",[632],[3000],"[44,33]","[53,18]","","",[1000],[0],"",""
55,4280,[],[631],[0],[],[],[],"",0,"","",[],"",[632],[3000],"[44,67]","[54,76]","","",[1000],[0],"",""
56,4281,[],[639],[0],[],[],[],"",0,"","",[],"",[632],[3000],"[44,68]","[55,77]","","",[1000],[0],"",""
57,4282,[],[624],[0],[],[],[],"",0,"","",[],"",[632],[3000],"[44,40]","[56,39]","","",[1000],[0],"",""
58,4283,[],[309],[0],[],[],[],"",0,"","",[],"",[632],[3000],"[44,29]","[57,12]","","",[1000],[0],"",""
59,4284,[],[311],[0],[],[],[],"",0,"","",[],"",[632],[3000],"[44,31]","[58,14]","","",[1000],[0],"",""
60,4285,[],[34],[0],[],[],[],"",0,"","",[],"",[632],[3000],"[44,69]","[59,19,25]","","",[1000],[0],"",""
61,4286,[],[320],[0],[],[],[],"",0,"","",[],"",[632],[3000],"[44,70]","[60,78]","","",[1000],[0],"",""
62,4287,[],[633],[0],[],[],[],"",0,"","",[],"",[632],[3000],"[44,42]","[61,41]","","",[1000],[0],"",""
63,4288,[],[318],[0],[],[],[],"",0,"","",[],"",[632],[3000],"[44,71]","[62,20,26]","","",[1000],[0],"",""
64,4289,[],[635],[0],[],[],[],"",0,"","",[],"",[632],[3000],"[44,72]","[63,79,16]","","",[1000],[0],"",""
65,4290,[],[323],[0],[],[],[],"",0,"","",[],"",[312],[3000],"[45,37]","[43,22]","","",[1000],[0],"",""
66,4291,[],[632],[0],[],[],[],"",0,"","",[],"",[312],[3000],"[45,64]","[44,73]","","",[1000],[0],"",""
67,4292,[],[319],[0],[],[],[],"",0,"","",[],"",[312],[3000],"[45,65]","[46,74]","","",[1000],[0],"",""
68,4293,[],[322],[0],[],[],[],"",0,"","",[],"",[312],[3000],"[45,36]","[47,21]","","",[1000],[0],"",""
69,4294,[],[310],[0],[],[],[],"",0,"","",[],"",[312],[3000],"[45,30]","[48,13]","","",[1000],[0],"",""
70,4295,[],[315],[0],[],[],[],"",0,"","",[],"",[312],[3000],"[45,32]","[49,17]","","",[1000],[0],"",""
71,4296,[],[27],[0],[],[],[],"",0,"","",[],"",[312],[3000],"[45,66]","[50,75]","","",[1000],[0],"",""
72,4297,[],[308],[0],[],[],[],"",0,"","",[],"",[312],[3000],"[45,28]","[51,11]","","",[1000],[0],"",""
