"rownum","Id","ObjectEffect1","ObjectEffect2","KillCondition","HASH32","OnKillBeam","i32_76","Stat","Counter","[i32]_112"
0,"MicrotransactionBreachHandOnKill","",0,2,3212740081,"",1,"",[],[]
1,"MicrotransactionSkySwordOnKill","",1,2,2662727316,"",1,"",[],[]
2,"MicrotransactionBirdsOnRareKill","",2,2,3880813492,"",1,"",[],[]
3,"MicrotransactionMoltenLiquifyOnKill","",3,2,2484157167,"",1,"",[],[]
4,"MicrotransactionBloodAndGoreOnKill","",4,2,4105273131,"",1,"",[],[]
5,"RaijuScourgeLightningOnKill","",5,1,3288854024,"",0,"",[],[]
6,"MicrotransactionBloodGolemBeamOnKill","","",3,111394361,0,0,"",[],[]
7,"MicrotransactionCordycepBowOnKill","",6,3,2441565426,"",0,"",[],[]
8,"MicrotransactionStatueOnKill","",7,4,1768826260,"",2,"",[],[]
9,"MicrotransactionAnchorDropOnKill","",8,2,817073343,"",1,"",[],[]
10,"MicrotransactionSharkAttackOnKill","",9,2,995650503,"",1,"",[],[]
11,"MicrotransactionTentacleConsumeOnKill","",10,2,689328310,"",1,"",[],[]
12,"MicrotransactionDragonFireOnKill","",11,2,3401346647,"",1,"",[],[]
13,"MicrotransactionBlackHoleOnKill","",12,2,203057589,"",1,"",[],[]
14,"MicrotransactionVaalPalmHoleOnKill","",13,4,299289212,"",2,"",[],[]
15,"MicrotransactionCelestialEmperorOnKill","",14,2,4098419053,"",1,"",[],[]
16,"MicrotransactionBlackstarMeteorOnKill","",15,2,2206415883,"",1,"",[],[]
17,"MicrotransactionNecroticFlamesOnKill","",16,2,223926138,"",1,"",[],[]
18,"MicrotransactionAesirZeusLightningOnKill","",17,2,1920265919,"",1,"",[],[]
19,"MicrotransactionSulphiteShatterOnKill","",18,2,2355431971,"",1,"",[],[]
20,"MicrotransactionVoodooKingGlovesOnKillNormal","",19,6,4225439892,"",0,"",[],[]
21,"MicrotransactionVoodooKingGlovesOnKillMagic","",20,7,870416627,"",0,"",[],[]
22,"MicrotransactionVoodooKingGlovesOnKillRare","",21,8,919553805,"",0,"",[],[]
23,"MicrotransactionVoodooKingGlovesOnKillUnique","",22,9,1415584878,"",0,"",[],[]
24,"MicrotransactionSandwraithMastodon",24,23,5,2691284437,"",0,19830,[],[]
25,"MicrotransactionSandwraithBeam","","",3,1674253101,1,0,"",[],[]
26,"NightLotusRareUniqueOnKill","",25,1,3710093142,"",0,19797,[],[]
27,"LocustOnKillEffect","",26,2,4278153467,"",1,"",[],[]
