"rownum","Id","string_8","Script1","Script2","EffectPack","MiscObject","CorpseSinkVariation","MiscAnimated","bool_96","bool_97","bool_98","i32_99","i32_103","i32_107","[string]_111","f32_127","bool_131","i32_132","i32_136"
0,"MicrotransactionBreachHandOnKill","","Delay( 1.75,\r\n{\r\n    AddEffectPack( \""Metadata/Effects/Microtransactions/Misc/rare_unique_kill/breach/epks/corpse_dragged_down.epk\"" );\r\n} );","Delay( 1.0,\r\n{\r\n  PlayEffect( \""Metadata/Effects/Microtransactions/Misc/rare_unique_kill/breach/breachhole.ao\"", scale:0.65 );\r\n} );",[],[],4,[],"","","",0,0,0,[],0,"",0,0
1,"MicrotransactionSkySwordOnKill","","","",[585],[1232],"",[],"","","",0,0,0,[],0,"",0,0
2,"MicrotransactionBirdsOnRareKill","","","",[586],[1233],1,[],"","","",0,0,0,[],0,"",0,0
3,"MicrotransactionMoltenLiquifyOnKill","","SetCurrentAnimationSpeed(0.02);","",[592],[],5,[7113],"","","",0,0,0,[],0,"",0,0
4,"MicrotransactionBloodAndGoreOnKill","","","",[595],[],6,[7112],"","","",0,0,0,[],0,"",0,0
5,"RaijuScourgeLightningOnKill","","","",[],[],"","[7056,7056,7056,7056,7056]","","","",1,7,0,[],0,"",0,0
6,"MicrotransactionCordycepBowOnKill","","","","[603,604]",[],"",[],"","","",0,0,2,[],0,"",0,0
7,"MicrotransactionStatueOnKill","","","",[],[],"",[7114],"","","",0,0,0,[],0,"",0,0
8,"MicrotransactionAnchorOnKill","","","",[615],[],"",[7290],"","","",0,0,0,"[""frameupper""]",0.28,"",0,0
9,"MicrotransactionSharkAttackOnKill","","Delay( 1.13,\r\n{\r\n    AddEffectPack( \""Metadata/Effects/Microtransactions/Misc/rare_unique_kill/shark/epk/chomped_down.epk\"", 1.5 );\r\n} );","",[],[],"",[7291],"","","",0,0,0,"[""frameupper""]",1,"",0,0
10,"MicrotransactionTentacleConsumeOnKill","","Delay( 1.9,\r\n{\r\n    AddEffectPack( \""Metadata/Effects/Microtransactions/Misc/rare_unique_kill/tentacle/epk/chomped_down.epk\"", 1.5 );\r\n} );","",[],[],"","[7292,7293,7294,7295,7296]","","","",0,0,0,"[""root""]",1,1,0,0
