"rownum","Id","EssenceType","IsCorruptedEssence","WordsKey","ChanceForAdditionalEssenceStat"
0,"Hatred",1,"",2774,20354
1,"Woe",1,"",2775,20355
2,"Greed",1,"",2776,20356
3,"Contempt",1,"",2777,20357
4,"Sorrow",2,"",2778,20358
5,"Anger",2,"",2779,20359
6,"Torment",2,"",2780,20360
7,"Fear",2,"",2781,20361
8,"Suffering",3,"",2782,20362
9,"Rage",3,"",2784,20363
10,"Wrath",3,"",2783,20364
11,"Doubt",3,"",2785,20365
12,"Anguish",4,"",2786,20366
13,"Loathing",4,"",2787,20367
14,"Spite",4,"",2789,20368
15,"Zeal",4,"",2788,20369
16,"Misery",5,"",2790,20370
17,"Dread",5,"",2791,20371
18,"Scorn",5,"",2792,20372
19,"Envy",5,"",2793,20373
20,"Hysteria",6,1,2794,20374
21,"Insanity",6,1,2795,20375
22,"Horror",6,1,2796,20376
23,"Delirium",6,1,2797,20377
24,"Desolation",6,"",2799,""
25,"NotEssence",0,"",2798,20378
