"rownum","i32_0","f32_4","f32_8","bool_12","rid_13","bool_29","[rid]_30","rid_46","i32_62","i32_66","i32_70","i32_74","bool_78","bool_79","rid_80","rid_96","i32_112","bool_116","i32_117","i32_121","i32_125","i32_129","i32_133","i32_137","i32_141","bool_145","bool_146","i32_147"
0,0,600,0.75,1,754,1,"[917,918]",919,0,120,50,41,"","","","",0,"",-50,100,200,0,100,8,16,1,1,-1
1,1,650,0.8,1,"","",[],"",0,120,150,0,1,1,"","",0,"",0,0,0,0,100,12,20,1,"",-1
2,2,690,0.4,1,"","",[],"",30,70,0,0,1,"","","",0,"",0,0,0,0,100,10,16,1,"",-1
3,3,600,0.67,1,"","",[],"",30,120,-10,0,"","","","",0,"",0,0,0,0,100,10,16,1,"",-1
4,4,690,0.4,1,"","",[],"",30,120,0,0,1,"","","",0,"",0,0,0,0,100,10,16,1,"",-1
5,5,645.63,0.93,1,"","",[],"",0,120,60,0,1,"","","",0,"",120,0,0,0,100,0,0,1,"",-1
6,6,645.63,0.93,1,"","",[],"",60,120,60,0,1,"","","",0,"",120,0,0,0,100,0,0,1,"",-1
7,7,750,0.4,1,"","",[],"",30,120,-5,0,"","","","",0,"",114,0,0,0,0,0,0,1,"",-1
8,8,670,0.66,1,"",1,[],"",30,120,50,0,1,"","","",0,"",100,0,0,0,100,12,12,1,"",-1
9,9,700,1.07,1,"",1,[],"",30,120,-5,0,"","","","",0,"",100,0,0,0,100,9,6,1,"",-1
10,10,800,0.5,1,"","",[],"",0,120,50,0,1,"","","",0,"",0,150,200,0,100,8,16,1,"",-1
11,11,1170,0.53,"","","",[],"",0,100,30,0,1,"","","",0,"",234,334,200,0,100,10,10,1,1,1
12,12,1170,0.53,1,"",1,[],"",0,160,30,0,1,"","","",0,"",100,334,600,0,100,10,10,1,1,1
