"rownum","Id","Description","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","Invisible","Removable","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","StatsKeys","CancelOnDeath","i32_43","ShowCount","Maximum_StatsKey","Current_StatsKey","bool_80","i32_81","BuffVisualsKey","bool_101","bool_102","BuffCategory","bool_107","bool_108","bool_109","bool_110","BuffLimit","bool_115","Id2","IsRecovery","bool_125","MinStat","bool_142","UIStackMode","bool_147","IsSkillBuff","i32_149","[i32]_153","bool_169","bool_170","MultiPartAchievement","bool_187","Stats2","GrantedFlags","GrantedStats","ConditionStats","bool_252","bool_253","bool_254","bool_255","bool_256","rid_257","[i32]_273","string_289","string_289 (French)","string_289 (German)","string_289 (Japanese)","string_289 (Korean)","string_289 (Portuguese)","string_289 (Russian)","string_289 (Spanish)","string_289 (Thai)","string_289 (Traditional Chinese)","[rid]_297","bool_313"
0,"ignited","You're on fire","Vous brûlez.","Ihr steht in Flammen.","火が付いている","몸에 불이 붙었습니다.","Você está em chamas","Вы горите","Estás ardiendo","ตัวคุณติดไฟ","你被點燃了。","","","Ignited","Embrasement ","Entzündet","発火","점화","Incendiado","Подожжен","Quemado","ลุกไหม้","點燃",[8196],"",13,"","","",1,36,2,"","",2,"",1,1,"",0,"","","","","","",5,"","",0,[],"","",[],"",[],[],[8196],[14717],"","","","","","",[],"","","","","","","","","","",[],""
1,"chilled","You are slowed","Vous êtes ralenti.","Ihr seid verlangsamt.","減速状態","움직임이 느려집니다.","Você está desacelerado","Вы замедлены","Estás ralentizado","คุณถูกทำให้เชื่องช้า","你被冰緩一段時間。","","","Chilled","Frigorification ","Unterkühlt","冷却","냉각된","Resfriado","Охлаждён","Escarchado","หนาวเย็น","冰緩",[8541],1,13,"","","",1,1,3,"","",2,"",1,1,"",0,"","",1,"","","",5,"","",0,[],"","",[],"",[],[],[8541],[14718],"","",1,1,"","",[],"","","","","","","","","","",[],1
2,"frozen","Frozen solid","Votre corps est entièrement congelé.","Ihr seid festgefroren.","凍結している","단단히 얼어붙었습니다.","Congelado","Вы заморожены","Estás congelado","แช่แข็ง","你被冰凍了。","","","Frozen","Gel ","Eingefroren","凍結","동결","Congelado","Заморожен","Congelado","แช่แข็ง","冰凍",[12581],1,13,"","","",1,36,4,"","",2,"",1,1,"",0,"","FreezeBuff","","","","",5,"","",0,[],"","",[],"",[],[],[12581],"[14719,2042]","","","",1,"","",[],"","","","","","","","","","",[],""
3,"shocked","You take up to 50% increased Damage","Vous avez jusqu'à 50% d'Augmentation des Dégâts subis.","Ihr erleidet bis zu 50 % erhöhten Schaden.","受けるダメージが最大50%増加","받는 피해가 최대 50% 증가합니다.","Você sofre até 50% de Dano aumentado","Вы получаете на 50% больше урона","Recibes hasta un 50% de daño aumentado","คุณได้รับความเสียหาย เพิ่มขึ้น สูงสุด 50%","你受到 50% 額外傷害。","","","Shocked","Électrocution ","Geschockt","感電","감전","Eletrizado","Шокирован","Electrocutado","ช็อค","感電",[16659],"",13,"","","",1,2,5,"","",2,"",1,1,"",0,"","",1,"","","",5,"","",0,[],"","",[],"",[],[],[16659],[14720],"","",1,1,"","",[],"","","","","","","","","","",[],1
4,"sprinting","Increased movement velocity","Votre Vitesse de déplacement est augmentée.","Erhöhte Bewegungsgeschwindigkeit","移動スピード増加","이동 속도 증가","Velocidade de movimento aumentada","Ваша скорость передвижения повышена","Velocidad de movimiento aumentada","ความเร็วการเคลื่อนที่ เพิ่มขึ้น","增加移動速度。","",1,"Faster Run","Course rapide ","Schneller laufen","高速移動","빠른 달리기","Corrida Rápida","Быстрый бег","Correr más rápido","วิ่งเร็วขึ้น","疾跑",[179],1,2,"","","","",36,7,1,"",1,"",1,1,"",0,"","","","","","",5,"","",0,[],"","",[],"",[],[],[179],[],"","","","","","",[],"","","","","","","","","","",[],""
5,"flask_effect_life","","","","","","","","","","",1,"","Healing","Soin ","Heilen","ライフ回復","치유","Cura","Лечение","Curación","กำลังเยียวยา","生命回復",[7814],1,5,"","","","",36,0,1,"",4,"",1,1,1,0,"","",1,"","","",5,"","",0,[],"","",[],"",[],[],[7814],[],"","","","","","",[],"","","","","","","","","","",[],""
6,"grace_period","You can't be damaged","Vous ne pouvez pas subir de Dégâts.","Ihr erleidet keinen Schaden.","ダメージを受けることがない","피해를 받지 않습니다.","Você não pode sofrer dano","Вы не получаете урон","No puedes ser dañado","คุณไม่ได้รับความเสียหาย","你不會受到傷害。","",1,"Grace Period","Période de grâce ","Gnadenfrist","恩寵の時間","은총 상태","Período de Graça","Временная неуязвимость","Período de gracia","ระยะเวลาผ่อนปรน","恩典","[141,862,1310,8288,3023,6939,6938]",1,2,"","","","",36,8,1,"",18,1,1,1,"",0,"","","","","","",5,"","",0,[],"","",[],"",[],[],"[141,862,1310,8288,3023,6939,6938]",[],"","","","","","",[],"","","","","","","","","","",[],""
7,"god_mode","You cannot be damaged","Vous ne pouvez pas subir de Dégâts.","Ihr erleidet keinen Schaden.","ダメージを受けることがない","피해를 받지 않습니다.","Você não pode sofrer dano","Вы не получаете урон","No puedes ser dañado","คุณไม่ได้รับความเสียหาย","你不會受到任何傷害。","",1,"Invulnerability","Invulnérabilité ","Unverwundbarkeit","不死身","무적","Invulnerabilidade","Неуязвимость","Invulnerabilidad","อมตะ","無敵",[141],1,3,"","","","",36,9,1,"",1,"",1,1,"",0,"","","","","","",5,"","",0,[],"","",[],"",[],[],[141],[],"","","","","","",[],"","","","","","","","","","",[],""
8,"experience","Increased experience for 30 seconds","Vous gagnez plus d'expérience pendant 30 secondes.","Erhöht Eure Erfahrung für 30 Sekunden.","30秒間経験値増加","30초간 경험치 증가","Experiência aumentada por 30 segundos","Получаемый опыт увеличен на 30 секунд","Experiencia aumentada durante 30 segundos","ค่าประสบการณ์ เพิ่มขึ้น 30 วินาที","30 秒內增加經驗值。","",1,"Increased Experience","Bonus d'expérience ","Erhöhte Erfahrung","経験値増加","경험치 증가","Experiência Aumentada","Опыт увеличен","Experiencia aumentada","เพิ่มค่าประสบการณ์","經驗增加",[159],1,2,"","","","",36,10,1,"",1,"",1,1,"",0,"","","","","","",5,"","",0,[],"","",[],"",[],[],[159],[],"","","","","","",[],"","","","","","","","","","",[],""
9,"flask_effect_mana","","","","","","","","","","",1,"","Regenerating Mana","Régénération de mana","Manaregeneration","マナ回復","마나 재생","Regenerando Mana","Мана восстанавливается","Regenerando maná","กำลังฟื้นฟูมานา","魔力回復",[7815],1,5,"","","","",15,0,1,"",4,"",1,1,1,0,"","",1,"","","",5,"","",0,[],"","",[],"",[],[],[7815],[],"","","","","","",[],"","","","","","","","","","",[],""
